mmsi,shipname
205570110,JMAX
205577710,SPIRIWIRI
205582010,CEL
205587210,SUNTANA
205587910,TAUANEA
205589710,MARYPOLES
205593510,DOLCEFARNIENTE
205595910,EMOTION
205601210,GOLVENDANSERJR
205602110,GMR
205605410,OKAHEGA
205612700,AGAPI
205613610,ELCYRO
205615410,LADYTWIN
205618910,MANDULA
205621910,HAVILLO
205624810,TIBO
205625610,ALIZE
205628110,INTI
205629410,SYAMUITZ
205636110,STERN
205640400,ERROL
205644200,MOJO
205646910,SHELBY
205649100,MAGDA
205649110,LINA
205653910,GARGALOU
205654710,EOS1
205656200,BIRDY
205656910,FEELINGFREE
205660910,SCHERZO
205662310,CORNELIA
205662910,RUPELBOYS
205663310,FILUTEIENTU
205664310,AMELIA
205667210,SOTHIS
205670610,REBELHEART3
205679010,CARIANN
205680400,VIPIWOREKA
205681610,BELLOHORIZONTE
205686110,WURREL
205690700,CIRCE
205691510,AUBINE
205693510,COURANTDR
205695200,DCNS1000
205695310,MOOIEMEID
205695810,MAWIMBI
205697710,PRUTS
205697810,MARLIESEPPET
205698810,LAPUNTA
205700910,SCIROCCO
205704510,LIESZ
205705510,ORION
205706010,DIVELANDER
205709110,BEAUFORT
205711510,JULIE
205717810,LILIS
205724510,NUFSED
205729510,INDY
205734410,THORP2
205735410,POLARIS
205736010,DJANGIORIX
205737710,QUERENCIA2
205744400,JUSTYNA
205744500,THEIA
205746710,TAMATA
205747110,AMANZI
205754100,ENTERPRISE
205758510,THEBIGFIVE
205759710,TUMTUM
205759910,BONOBO
205764310,DRAGO
205765010,SUSY
205766410,GAZELLE
205767510,NETWERKSOLOSAILOP2
205768110,GONZO
205769710,SKUA
205770600,WAYNE
205774700,QUICKFLASH
205777410,LADYMUSGRAVE
205777600,AZZURRA
205785010,HOMARUS
205787210,GOODFEELING
205788310,SARBACANE
205794700,VLOTTER
205796110,PERLETICO4
205801910,CAPICUA
205805610,NORMANDIE
205808200,AMAWEY
205809900,PLUSBLEU
205819710,BLUEDREAM3
205823410,PREAHKHAN
205823900,BOMBADIL
205826810,MONAMI
205827400,ALBATROS
205829010,WITTERAAF
205830010,OXYGENE
205832110,LAISSEZFAIRE
205833510,AGERA
205838410,THEEXCEPTION
205839010,TORO
205842010,AEGIR
205843010,SHEHERAZADE
205844410,THETIS
205849410,PLUCKYLADY
205852010,KALON
205855510,PANCHITO2
205862010,MAKOKI
205867510,LIBERTABOOM
205869210,GIAMPYDAMORIRE
205872710,CARINA
205873010,SHOCK
205880800,KYRA
205881100,WITJE
205881310,OCCAP
205886710,BATODIGA
205886910,AVIJORDI
205887200,HUMAR
205890610,BRIES
205895200,SANIBEL
205896300,DIVA
205896610,EUFORIA
205897410,MOIRA
205899910,REDROOSTERTOO
205901110,GWENVED
205907610,EVASEGUNDA
205909310,CATALAMAR
205909710,IDEMO
205910810,OUVERTURE
205913310,BISCOTO
205913610,SANDETTIE
205914310,CHINCHON
205914410,DONNA
205915410,LEPILET
205915600,LADYBLUE
205916410,DOLCEVITA
205918910,BLEUKE
205920110,AMALUR
205928810,TIMELESS
205933210,MAGALLANES
205934610,SHERLY
205934900,SEABREEZE
205938010,MARYBLUE
205939600,PERFECTSIN
205941010,LEGRANDJACK
205941410,PLUS
205942410,OVICTORIA
205943900,ANTHIENNE
205947200,AQUAMARIN
205948410,PONCEDELEON
205950810,ALIZE
205952310,STARLIGHT
205955510,BLUECHIP
205958910,GANDALF
205961710,ISBJOERN
205964900,LADYGREY
205967710,MUSTANGSALLY
205968710,ELGAVIA
205969010,TIARE
205971500,SYRTIS
205972310,REVELATION
205975700,JUPILER
205978700,LADYNARA
205979610,VUNIWAI
205979710,GIORGIA
205980710,NAMIBOR
205981310,AMIRI
205981710,KINGDAVID
205983500,HADDOCK
205983510,CALIMA
205987910,AUGUSTINE
205988010,VOLANTE
205990310,RUMBERO
205990500,NOVICA
205990810,VICTORIA
205991010,HELIOS
205991610,MAGICATI
205991700,ALCHEMIST
205991900,LEONA2
205993910,CONACHAIR
205994210,EPICURE
205994400,LIBERTY
205996600,REDRUSH
205998210,ROXANE
205999710,PETAL
207020000,LILIANADIMITROVA
207823260,MARYMAGDALENE
209384042,EMERALD
209384059,EMERALD
210046088,RUNA
210493003,ZALIVAMURSKIY
210551000,KATERINA1000
210568000,JOKRA1
210632708,AMAZONITH
211000561,BARBAROSSA
211011111,BUSSARD
211014528,EMTE
211025082,ERLENHOF
211032234,HEILBRONN
211037564,PIROL
211100280,GREIF
211100660,ORFEO
211100700,ATLAS
211101290,CERVO
211101460,ANNABELLA
211101510,SYBLUELADY
211102190,JASINA
211102220,TURBULENCE
211103040,MAIKE2
211106240,BRIOSA
211107140,JUSTDOIT
211107780,NORDWIND
211108330,CAQCIQUE
211108490,ALBATROS
211110100,BLUEMAPLE
211110630,BUEFFEL
211111240,SHAKER
211112110,EISVOGEL
211112900,NESSIE
211113450,FREJA
211113880,DESTINY
211114110,TOPAS
211114850,BIJORKA
211115210,FALKOR
211115490,LADYSUMMERFIELD
211115600,THW8062
211116150,LALE
211116470,AMRUMBANKPLATTFORM
211117630,PELIKAN
211118150,KATINA
211118750,APHRODITE
211118970,FREELIFE
211119230,ZENIT
211119390,STINE
211119560,MORGI
211120020,FLEURDEMER
211120080,PICO
211120310,GAUDI
211120640,SYBONITA
211120690,MILAN
211120710,PAMINA
211121550,CAPRIOLE
211122240,MICKYS2
211122300,JETTE
211122870,SYSANSSOUCI
211123360,MIRANDA
211124020,SYADASTRA
211124180,WOLJA
211124220,TIKA
211124290,LUBA1
211124300,KNUSPERTUETE
211124500,GIRELLE
211124530,FLORIAN
211124750,PINGUIN
211125180,LIBRA
211125570,JAZZVGROSSENBRODE
211126230,JAMBO
211126800,LUCIE
211128600,VICTORIA
211129200,NAJADE
211129530,SYRAIN
211129660,NEPOMUK
211129830,KALYPSO
211131820,PINGO
211131860,SYMOOREA3
211131980,GHISLAINE
211132210,ANNA
211132450,MIAAMARA
211132660,MAREN
211133360,ONKELJULE
211133590,DESPERADO
211134290,RASJA
211134400,SAL
211134670,TARA
211134830,FILIAMARIS
211134880,CATANIA
211135370,LENIE
211135430,VERA
211135440,UNDA
211136070,ATHENA
211136330,FINDUS
211137520,SYJOLYBRISE
211138110,SANTORIN
211138680,BALDUR
211139840,OUTSIDER
211139950,FRIEDRICHSRUH
211140180,CAPELLA
211140430,SEEWOLF
211140580,BOHEME
211141390,GREYMATTER
211141600,SPOEKENKIEKER
211141780,XANTHIPPE
211141800,ROLANDVONRINGE
