"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","NPS_LANDED_WEIGHT_MTONS","NPS_LANDED_WEIGHT_PPP","NPS_EXVESSEL_REVENUE","NPS_CONFIDENTIAL_FLAG","SPS_LANDED_WEIGHT_MTONS","SPS_LANDED_WEIGHT_PPP","SPS_EXVESSEL_REVENUE","SPS_CONFIDENTIAL_FLAG","CWA_LANDED_WEIGHT_MTONS","CWA_LANDED_WEIGHT_PPP","CWA_EXVESSEL_REVENUE","CWA_CONFIDENTIAL_FLAG","CLW_LANDED_WEIGHT_MTONS","CLW_LANDED_WEIGHT_PPP","CLW_EXVESSEL_REVENUE","CLW_CONFIDENTIAL_FLAG","WA5_LANDED_WEIGHT_MTONS","WA5_LANDED_WEIGHT_PPP","WA5_EXVESSEL_REVENUE","WA5_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1982","W","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",.1,.2,57,"",.2,.2,109,"",1.1,.19,470,"",,,,"*",,,,"",1.4,,636,"*"
"1982","W","GRND","ROCK","PACIFIC OCEAN PERCH","POP",102.3,.19,43755,"",66.6,.19,28276,"",58.8,.2,25735,"",,,,"*",,,,"",227.7,,97766,"*"
"1982","W","GRND","ROCK","REDBANDED ROCKFISH","RDBD",2.6,.19,1055,"",2.6,.19,1060,"",2.3,.19,992,"",,,,"*",,,,"",7.5,,3107,"*"
"1982","W","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",19.8,.19,8183,"",38.5,.18,14941,"",62.9,.18,24817,"",,,,"*",,,,"",121.2,,47941,"*"
"1982","W","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",14.5,.18,5735,"",,,,"*",8.3,.19,3499,"",,,,"*",,,,"",22.8,,9234,"*"
"1982","W","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",,,,"*",,,,"*",.7,.17,272,"",,,,"*",,,,"",.7,,272,"*"
"1982","W","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",16.3,.18,6468,"",39.3,.18,15524,"",12.5,.18,5097,"",,,,"*",,,,"",68.1,,27089,"*"
"1982","W","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",3.6,.19,1549,"",,,,"*",.7,.21,337,"",,,,"*",,,,"",4.3,,1886,"*"
"1982","W","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",.9,.19,381,"",.6,.19,262,"",2.6,.19,1066,"",,,,"*",,,,"",4.1,,1709,"*"
"1982","W","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",30.7,.18,12300,"",13.6,.18,5442,"",24.5,.17,9436,"",,,,"*",,,,"",68.8,,27178,"*"
