"LANDING_YEAR","PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","FIRST_QTR_LANDED_WEIGHT_MTONS","FIRST_QTR_EXVESSEL_REVENUE","FIRST_QTR_LANDED_PPP","FIRST_QTR_NUMBER_OF_VESSELS","FIRST_QTR_NUMBER_OF_DEALERS","FIRST_QTR_CONFIDENTIAL_FLAG","SECOND_QTR_LANDED_WEIGHT_MTONS","SECOND_QTR_EXVESSEL_REVENUE","SECOND_QTR_LANDED_PPP","SECOND_QTR_NUMBER_OF_VESSELS","SECOND_QTR_NUMBER_OF_DEALERS","SECOND_QTR_CONFIDENTIAL_FLAG","THIRD_QTR_LANDED_WEIGHT_MTONS","THIRD_QTR_EXVESSEL_REVENUE","THIRD_QTR_LANDED_PPP","THIRD_QTR_NUMBER_OF_VESSELS","THIRD_QTR_NUMBER_OF_DEALERS","THIRD_QTR_CONFIDENTIAL_FLAG","FOURTH_QTR_LANDED_WEIGHT_MTONS","FOURTH_QTR_EXVESSEL_REVENUE","FOURTH_QTR_LANDED_PPP","FOURTH_QTR_NUMBER_OF_VESSELS","FOURTH_QTR_NUMBER_OF_DEALERS","FOURTH_QTR_CONFIDENTIAL_FLAG"
"2015","UMCK","UNSP. MACKEREL",.1,422.5,1.86,6,6," ",1.85,4503.9,1.1,10,9," ",82.58,28376.66,.16,20,17," ",1.79,3021.25,.76,18,16," "
"2015","XXXX Subtotal","",,,,,,"*",0,0,0,,," ",0,0,0,,," ",0,0,0,,," "
"2015 TOTAL","","",6216.43,1089383.98,.08,,,"*",12914.27,2350317.97,.08,,," ",32353.84,19171311.38,.27,,," ",14221.05,6603432.6,.21,,," "
"2016","CMCK","CHUB MACKEREL",62.67,18489.89,.13,23,20," ",585.32,135159.04,.1,48,30," ",443.68,119215.5,.12,56,31," ",737.7,206485,.13,47,27," "
"2016","JMCK","JACK MACKEREL",.63,604.86,.44,5,6," ",78.29,19401.14,.11,31,16," ",143.97,17813.96,.06,37,17," ",151.05,24550.98,.07,28,14," "
"2016","MSQD","MARKET SQUID",31.94,33624.8,.48,8,6," ",8101.67,8525684.86,.48,57,24," ",20694.52,21384592.11,.47,72,22," ",9523.66,10319159.73,.49,83,22," "
"2016","NANC","NORTHERN ANCHOVY",3596.56,397423.67,.05,14,6," ",2033.5,318102.2,.07,17,12," ",5965.92,1280000,.1,23,10," ",2310.6,343391.67,.07,10,6," "
"2016","PSDN","PACIFIC SARDINE",33.24,7883.55,.11,7,5," ",60.22,12220.06,.09,31,15," ",140.28,16872.36,.05,38,18," ",288.33,68393.75,.11,22,11," "
"2016","UMCK","UNSP. MACKEREL",.44,2490.49,2.57,8,8," ",.17,247.8,.68,7,7," ",.1,394.96,1.84,6,4," ",.18,844.3,2.15,8,6," "
"2016 TOTAL","","",3725.47,460517.25,.06,,," ",10859.16,9010815.09,.38,,," ",27388.47,22818888.88,.38,,," ",13011.52,10962825.43,.38,,," "
"2017","CMCK","CHUB MACKEREL",371.8,109069,.13,20,16," ",942.25,257652.91,.12,45,27," ",325.67,99915.09,.14,51,26," ",655.37,173770.27,.12,62,23," "
"2017","JMCK","JACK MACKEREL",19.74,5517.8,.13,9,7," ",23.96,18257.21,.35,65,23," ",240.48,15646.91,.03,51,24," ",199.82,17762.43,.04,30,13," "
"2017","MSQD","MARKET SQUID",1402.02,1545479.44,.5,47,16," ",13692.68,15051679.52,.5,69,23," ",8140.57,8933418.21,.5,59,20," ",39176.49,43172194.1,.5,86,25," "
"2017","NANC","NORTHERN ANCHOVY",175.89,40250.86,.1,6,5," ",561.13,127598.52,.1,10,10," ",2941.39,383141.53,.06,25,9," ",1888.73,255863.13,.06,20,9," "
"2017","PSDN","PACIFIC SARDINE",27.34,4109.72,.07,7,5," ",146.36,21701.16,.07,28,13," ",80.47,11626.3,.07,30,16," ",179.29,24267.55,.06,33,12," "
"2017","UMCK","UNSP. MACKEREL",.51,2252.7,2.02,8,6," ",1.85,7337.35,1.8,27,13," ",.74,4134.48,2.55,20,15," ",1.04,5022.15,2.2,19,13," "
"2017 TOTAL","","",1997.29,1706679.52,.39,,," ",15368.22,15484226.66,.46,,," ",11729.32,9447882.53,.37,,," ",42100.73,43648879.63,.47,,," "
"2018","CMCK","CHUB MACKEREL",160.9,69006.24,.19,17,11," ",295.94,140148.95,.21,25,20," ",1962.68,689301.11,.16,58,30," ",166,90477.62,.25,46,24," "
"2018","JMCK","JACK MACKEREL",36.6,14204.11,.18,18,11," ",18.37,7206.61,.18,33,15," ",111.35,5050.21,.02,42,19," ",38.75,2626.38,.03,23,11," "
"2018","MSQD","MARKET SQUID",5861.42,6308188,.49,38,12," ",12509.71,12901232.59,.47,58,27," ",2869.23,3142497.76,.5,50,21," ",15133.99,16489203.81,.49,90,24," "
"2018","NANC","NORTHERN ANCHOVY",3602.65,404204.65,.05,10,8," ",4767.32,536887.89,.05,10,14," ",7251.39,843534.57,.05,28,16," ",1869.92,205971.75,.05,8,7," "
"2018","PSDN","PACIFIC SARDINE",16.59,1823.05,.05,11,7," ",6.75,6719.5,.45,7,9," ",137.57,45354.59,.15,34,17," ",177.22,26706.07,.07,42,15," "
"2018","UMCK","UNSP. MACKEREL",1.28,5891.5,2.1,14,11," ",1.08,2493.8,1.05,18,19," ",.46,2101.4,2.06,22,18," ",2.34,2191.35,.43,9,9," "
"2018 TOTAL","","",9679.42,6803317.55,.32,,," ",17599.16,13594689.34,.35,,," ",12332.69,4727839.64,.17,,," ",17388.22,16817176.98,.44,,," "
"2019","CMCK","CHUB MACKEREL",21.15,10436.42,.22,27,15," ",167.54,55934.47,.15,89,54," ",3310.54,1081531.23,.15,97,47," ",373.8,134544.07,.16,62,33," "
"2019","JMCK","JACK MACKEREL",.02,1.3,.03,8,7," ",94.58,8523.45,.04,43,21," ",190.15,15003.34,.04,54,27," ",270.15,12711.85,.02,44,19," "
"2019","MSQD","MARKET SQUID",3749.07,4030961.95,.49,51,17," ",1635.91,1875302.66,.52,40,27," ",3813.43,4358445.11,.52,44,32," ",5532.48,6107967.84,.5,62,31," "
"2019","NANC","NORTHERN ANCHOVY",1891.91,208517.9,.05,11,5," ",2508.96,315090.92,.06,23,21," ",1248.56,148449.68,.05,28,16," ",4568,504112.08,.05,12,14," "
"2019","PSDN","PACIFIC SARDINE",178.93,26477.63,.07,18,10," ",632.53,104666.77,.08,37,30," ",652.37,56155.67,.04,46,26," ",401.04,27906.13,.03,63,36," "
"2019","UMCK","UNSP. MACKEREL",.48,994.4,.93,6,5," ",.96,1592.96,.75,17,17," ",,,,1,1,"*",,,,1,1,"*"
"2019","XXXX Subtotal","",0,0,0,,," ",0,0,0,,," ",,,,,,"*",,,,,,"*"
"2019 TOTAL","","",5841.56,4277389.6,.33,,," ",5040.48,2361111.22,.21,,," ",9215.05,5659585.04,.28,,,"*",11145.47,6787241.97,.28,,,"*"
"2020","CMCK","CHUB MACKEREL",42.26,27527.71,.3,31,23," ",113.92,40956.6,.16,100,45," ",215.96,49360.96,.1,105,51," ",333.3,154532.1,.21,50,32," "
"2020","JMCK","JACK MACKEREL",3.29,635.51,.09,13,12," ",16.1,2060.65,.06,47,23," ",265.19,7857.47,.01,59,30," ",187.2,8022.27,.02,31,16," "
"2020","MSQD","MARKET SQUID",6089.82,6868256.44,.51,62,32," ",12942.85,16929516.21,.59,81,33," ",5352.33,7356464.06,.62,54,26," ",734.08,957800.35,.59,45,23," "
"2020","NANC","NORTHERN ANCHOVY",3455.92,401476.9,.05,16,14," ",570.05,64648.64,.05,23,18," ",678.67,106876.9,.07,27,16," ",984.83,108896.3,.05,11,9," "
"2020","PSDN","PACIFIC SARDINE",148.09,19559.56,.06,31,26," ",861.79,181979.46,.1,48,24," ",929.41,96039.96,.05,60,27," ",925.23,198347.55,.1,37,22," "
"2020 TOTAL","","",9739.38,7317456.12,.34,,," ",14504.71,17219161.55,.54,,," ",7441.56,7616599.35,.46,,," ",3164.64,1427598.57,.2,,," "
"2021","CMCK","CHUB MACKEREL",31.39,89191.78,1.29,15,13," ",0,0,0,0,0," ",0,0,0,0,0," ",0,0,0,0,0," "
"2021","JMCK","JACK MACKEREL",.83,530.51,.29,17,12," ",0,0,0,0,0," ",0,0,0,0,0," ",0,0,0,0,0," "
"2021","MSQD","MARKET SQUID",3259.44,4279867.17,.6,68,26," ",0,0,0,0,0," ",0,0,0,0,0," ",0,0,0,0,0," "
"2021","NANC","NORTHERN ANCHOVY",1039.8,113864.1,.05,13,11," ",0,0,0,0,0," ",0,0,0,0,0," ",0,0,0,0,0," "
"2021","PSDN","PACIFIC SARDINE",153.06,32772.26,.1,32,21," ",0,0,0,0,0," ",0,0,0,0,0," ",0,0,0,0,0," "
"2021 TOTAL","","",4484.52,4516225.82,.46,,," ",0,0,0,,," ",0,0,0,,," ",0,0,0,,," "
