"LANDING_YEAR","PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","FIRST_QTR_LANDED_WEIGHT_MTONS","FIRST_QTR_EXVESSEL_REVENUE","FIRST_QTR_LANDED_PPP","FIRST_QTR_NUMBER_OF_VESSELS","FIRST_QTR_NUMBER_OF_DEALERS","FIRST_QTR_CONFIDENTIAL_FLAG","SECOND_QTR_LANDED_WEIGHT_MTONS","SECOND_QTR_EXVESSEL_REVENUE","SECOND_QTR_LANDED_PPP","SECOND_QTR_NUMBER_OF_VESSELS","SECOND_QTR_NUMBER_OF_DEALERS","SECOND_QTR_CONFIDENTIAL_FLAG","THIRD_QTR_LANDED_WEIGHT_MTONS","THIRD_QTR_EXVESSEL_REVENUE","THIRD_QTR_LANDED_PPP","THIRD_QTR_NUMBER_OF_VESSELS","THIRD_QTR_NUMBER_OF_DEALERS","THIRD_QTR_CONFIDENTIAL_FLAG","FOURTH_QTR_LANDED_WEIGHT_MTONS","FOURTH_QTR_EXVESSEL_REVENUE","FOURTH_QTR_LANDED_PPP","FOURTH_QTR_NUMBER_OF_VESSELS","FOURTH_QTR_NUMBER_OF_DEALERS","FOURTH_QTR_CONFIDENTIAL_FLAG"
"1988","CMCK","CHUB MACKEREL",3679.57,656059.31,.08,88,42," ",12813.26,2165908.77,.08,91,45," ",9009.49,1537414.51,.08,193,60," ",4625.3,759835.33,.07,71,34," "
"1988","JMCK","JACK MACKEREL",1925.95,260138.52,.06,26,10," ",1059.79,168102.2,.07,49,21," ",1703.1,288522.98,.08,47,20," ",378.63,79046.87,.09,14,10," "
"1988","MSQD","MARKET SQUID",8284.72,1498846.49,.08,46,21," ",4904.7,900169.42,.08,41,22," ",3852.41,918077.17,.11,59,35," ",20273.56,4242019.29,.09,74,46," "
"1988","NANC","NORTHERN ANCHOVY",124.62,27331.45,.1,15,11," ",558.32,132046.08,.11,18,12," ",475.99,225520.61,.21,17,17," ",359.22,32159.35,.04,9,11," "
"1988","PSDN","PACIFIC SARDINE",999.87,116098.54,.05,26,12," ",46.8,37578.3,.36,11,8," ",25.47,3132.7,.06,11,10," ",116.27,14712.7,.06,7,5," "
"1988","UMCK","UNSP. MACKEREL",7077.1,819952.74,.05,58,33," ",4170.9,665779.35,.07,98,52," ",3970.46,690107.93,.08,148,57," ",5517.22,918443.61,.08,55,34," "
"1988 TOTAL","","",22091.83,3378427.04,.07,,," ",23553.78,4069584.11,.08,,," ",19036.92,3662775.89,.09,,," ",31270.19,6046217.14,.09,,," "
"1989","CMCK","CHUB MACKEREL",7709.75,1205935,.07,79,39," ",6464.48,1093596.34,.08,94,41," ",5513.9,847882.33,.07,235,61," ",1383.48,202414.39,.07,63,41," "
"1989","JMCK","JACK MACKEREL",730.81,182093.16,.11,14,8," ",1488.04,218962.6,.07,33,15," ",5064.27,763809.41,.07,46,22," ",3462.17,492445.69,.06,33,13," "
"1989","MSQD","MARKET SQUID",14855.45,3126417.29,.1,51,26," ",5315.85,1132947.11,.1,46,30," ",2781.61,645992.85,.11,37,24," ",18022.21,2608907.77,.07,73,41," "
"1989","NANC","NORTHERN ANCHOVY",88.15,14793.57,.08,11,11," ",833.04,190290.26,.1,19,18," ",1156.78,370952.51,.15,17,17," ",433.2,121558.01,.13,16,16," "
"1989","PSDN","PACIFIC SARDINE",626.11,171109.47,.12,35,22," ",92.39,10208.12,.05,8,5," ",18.2,2205.2,.05,8,7," ",100,11639.04,.05,4,3," "
