"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","B_d_d","B_d_pd","w_cmck","w_msqd","c_msqd","w_psdn","c_psdn","w_nanc","w_jmck","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","asc_no_participation","B_unem_rate_nopart","w_nopart","lambda_part","lambda_laa","lambda_sba","lambda_mna","logLike"
0.314370273156817,0.533028616394233,-0.0436729244800832,-0.0076846198449135,-0.018244586212407,3.30460944479739,0.705566066846003,0.256269615835023,-0.371407315780915,-0.164373988286591,-1.10697044294361,-1.91083596319439,-3.00001930485633,-1.04087996923729,-1.98828987909099,-1.04618425192225,-1.00930507684692,-4.96918353889108,-5.33582217799921,-5.25964331664579,-5.19573021388317,-4.63694050233937,-5.33657380637921,-4.10514233861776,-5.05902132122754,-4.36110122192976,-4.97755900310014,-5.08966986072164,-5.24306053988877,-4.57440187804655,-5.4837358624374,0,0,0,0.821755965838593,0.775084440275235,0.469723590256579,0.719606487006608,-1842.36540716562
0.342733884074344,0.207144275023333,-0.0400182009140109,-0.00806987476313154,-0.0155482212198295,3.52957397557586,0.451387977135708,0.250559004893772,-0.435645056004895,-0.211748949256859,-1.17326749286879,-2.53284137543813,-3.00007175402594,-1.071729535476,-1.99504604250857,-1.07395034755555,-1.00762222429164,-4.90425997428566,-5.55180900088921,-5.37239834012298,-5.30378347720292,-4.39949376279181,-5.46428691958093,-3.96258772797026,-5.07806436152866,-3.98607819783802,-4.92274586962865,-5.16080027993978,-5.38650381813179,-4.42100668948864,-5.56162896457573,0,0,0,0.865279546918929,0.817370137883234,0.448492904803639,0.772658105769923,-1795.62421157784
0.403466030789943,0.44738585660686,-0.0452654750918099,-0.00840492062499985,-0.0156209302769067,3.57981030957279,0.144330818690248,0.248031811581889,-0.385083568346842,-0.271417716133818,-1.22168764913584,-3.02215883674299,-3.00017436921795,-1.11223492226687,-1.99501022372513,-1.09537975235731,-1.00488159811897,-4.83006369886847,-5.68888711521518,-5.45727658419407,-5.41410872756048,-4.16471871388975,-5.52280838879931,-4.03002527623899,-5.06156215201849,-3.71601979555228,-4.88340031303422,-5.24146590110232,-5.52917088065589,-4.30502130225228,-5.46516648990736,0,0,0,0.843761911084357,0.7961913221144,0.481972110729434,0.729186653344203,-1769.90643763448
0.409539395831237,0.436673385884495,-0.0421329480268072,-0.00829079234728845,-0.015141411513713,3.50137199871725,0.206336579326866,0.245465760977869,-0.329794134721215,-0.30863309200188,-1.23583927607933,-3.16575946557506,-3.00028572551872,-1.13518288471512,-1.99324355877453,-1.11694915041696,-1.00378444423338,-4.76777316466091,-5.71118792377943,-5.4813389326699,-5.48031775938912,-4.10289142737319,-5.51289279379464,-4.06823020661514,-5.01624776140044,-3.69392145046947,-4.82933891050141,-5.28204006593045,-5.59776120976453,-4.32160204043066,-5.38138216239819,0,0,0,0.822990859377031,0.775647200940129,0.526139480413938,0.792110616198742,-1763.3295477323
0.432616618046481,0.408628858730209,-0.0386390481245434,-0.00806397225397559,-0.0152060754598829,3.43019523367386,0.27386599275236,0.245167889219011,-0.23185972959961,-0.378030540240367,-1.26191097971299,-3.3472658697316,-3.00051696486478,-1.17603184120968,-1.99378214021896,-1.1592565721083,-0.9950712608935,-4.65342022634173,-5.73797128098362,-5.50649869256316,-5.581614274755,-4.11487753153545,-5.4778618558332,-4.02279182257556,-4.91524655047862,-3.69977763600338,-4.71010699081715,-5.35260014346336,-5.70425748480573,-4.37326571134729,-5.25980280464002,0,0,0,0.816820361951403,0.769920563029751,0.532378064208454,0.673479285005657,-1756.3601215066
0.474066984933342,0.416998852972688,-0.0390865769256061,-0.00793023981835703,-0.014819440770596,3.40990796775698,0.241437968506347,0.242088780617099,-0.147751763576188,-0.444158081264435,-1.28686971731235,-3.44375549968355,-3.00074082317832,-1.21482504423796,-1.99196468482307,-1.18191964979805,-0.979282014682299,-4.58677777874106,-5.73034397539868,-5.51022532641209,-5.64376215651706,-4.17696971028021,-5.43243799089611,-3.94796984248475,-4.81250665490555,-3.72637504639815,-4.61665155955793,-5.39649209420145,-5.76130334536001,-4.39196438601079,-5.20927170850757,0,0,0,0.809068772778324,0.76282962262846,0.458833179283378,0.73011983206343,-1751.60959570881
0.513619404685449,0.405794281599845,-0.0385791393988757,-0.00784980336359694,-0.0144045590282018,3.41180424826997,0.249539229914035,0.235917484368094,-0.10667886797482,-0.511421329906985,-1.31655649920154,-3.48428181805864,-3.00094798348017,-1.25449167353326,-1.99159098858229,-1.17189562501582,-0.955628038893763,-4.57283028414732,-5.7135196357338,-5.50051166006157,-5.67636668168411,-4.15223966374123,-5.38288777026643,-3.96458624724578,-4.71250879545195,-3.75465264080327,-4.56887935623714,-5.42161530130049,-5.7891782545574,-4.33162537311084,-5.23015331683059,0,0,0,0.811589189869118,0.765565028346657,0.404234789384184,0.730589049472605,-1747.95458997656
0.559390449693287,0.394915357357576,-0.03885933242538,-0.00767524112885283,-0.0147588623664442,3.40602228644237,0.217942039379259,0.237733768015049,-0.0974865038693404,-0.655460427574519,-1.38025727220215,-3.53024466088389,-3.00139682936335,-1.33922752910265,-1.99057361718759,-1.15140167629282,-0.897354821671812,-4.56206054459845,-5.66990368172596,-5.47558037013422,-5.71742272565521,-4.08580178279932,-5.28467383873086,-3.91989058969353,-4.51032256641472,-3.76800021015425,-4.50926846680607,-5.45445145491814,-5.82208883766204,-4.31625693228446,-5.29657984156924,0,0,0,0.798584238725094,0.752734287400867,0.463889087328625,0.736549322882612,-1740.20894101339
0.849657480133883,0.361785159594895,-0.0374511187724776,-0.00737162938166021,-0.0141667243856579,3.61931353723232,0.320225904313244,0.181848971966492,-0.403384547680731,-1.35117595032801,-1.66773748910842,-3.64484248171847,-3.0038908736343,-1.73042357031714,-1.96704295543798,-1.06370351010027,-0.587698834026518,-4.411639264628,-5.6010586759115,-5.31233321521743,-5.79443475560567,-3.99340087100036,-4.86159950837864,-3.91370014785727,-3.76777861657659,-3.3619471396867,-4.56625895006623,-5.43081272405136,-5.89104386807419,-4.38155132874005,-4.9744780505252,0,0,0,0.843876990593287,0.798295331295678,0.433458564869291,0.820509292309458,-1712.3520684508
0.865037412803104,0.350725358417231,-0.0363966248407956,-0.00713607206684956,-0.0141306351454828,3.54235909716549,0.312246983600171,0.184863031297714,-0.426088961945563,-1.42699413598967,-1.68485018631022,-3.65020522396918,-3.00420011130274,-1.74875410718586,-1.96016982985696,-1.09386395085908,-0.557716263669539,-4.39602949096256,-5.62953490075888,-5.28319840360693,-5.78871322565124,-3.95853372424946,-4.82287994283498,-3.86476173911436,-3.77692971991531,-3.32792660526548,-4.56850555741427,-5.39737371470648,-5.88955460735278,-4.33956978383132,-4.9484194053384,0,0,0,0.830468838231694,0.785613828195348,0.401182551175639,0.818288050011206,-1707.66320147332
