"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","asc_no_participation","logLike"
-5.24649074757278,-3.01394669755204,-3.51293944460598,-1.43308279443846,-6.15509715557346,-1.24436254296642,-1.13889762938881,-6.60682583460347,-1.66344279871534,-3.44128546440803,-6.24387380574145,-4.43653134335082,-3.45745786621016,-2.13431947623267,0.924406169218437,11.9999990338437,0.214699578435532,-0.0632490892413236,0.423377328401489,11.9999802684339,0,-31806.8812363141
-5.56375783320473,-3.16301379596168,-3.46571150432483,-1.39474849072852,-6.6896427893527,-1.17010673787633,-1.08013589649099,-7.39817398056387,-1.6131521079577,-3.34882584761663,-6.81528139131547,-3.31956954409613,-3.48123941784338,-2.16910799429272,1.04521387018963,12.0000036485516,0.0775012271861922,-0.0295934755105682,0.320985215487424,11.9999760370926,0,-31581.0141052624
-5.85194619403904,-3.19133280627085,-3.3391525974859,-1.34084443154218,-7.12773432913911,-1.08737850392534,-1.01271155580666,-8.10164056216434,-1.54930803316786,-3.8098923691706,-7.29130994432971,-2.22709903163875,-3.40337094282674,-2.16001177838756,1.14409272060401,12.0000107817567,-0.0423115596850352,-0.0307755314351225,0.357206537411781,11.9999727885234,0,-31515.1263121413
-5.86034845197082,-3.16128659433049,-3.35322160836273,-1.33632236821671,-7.12716299143195,-1.08320645409695,-1.00868363486823,-8.15594682841772,-1.54678744753122,-3.8417162571309,-7.29800531520124,-2.15394695649414,-3.51869829505839,-2.15779701544367,1.15825238851241,12.0000133797843,-0.0559322108458602,0.00179649689034963,0.391253886687052,11.9999727884276,0,-31506.9556922836
-5.62992081829471,-3.7117712245957,-3.83316779362517,-1.38456552822245,-6.64043788614906,-1.15437098833301,-1.06849794253505,-8.98909274616559,-1.62761456651687,-4.23501776932641,-6.97834695477481,-2.11255379069153,-3.80618376061609,-2.33596915503914,1.39379213068444,12.0000736788882,-0.237081014553065,0.363812089989834,0.160430460963114,11.999974322836,0,-31501.6640589399
-4.51645659600972,-3.78969848371816,-3.68304973978521,-1.32475962992381,-5.01496753521564,-1.16154469159866,-1.0266979830105,-11.8759152048808,-1.63485631088717,-4.43943911546472,-5.89646186287833,-2.30657009133816,-3.83547224537226,-2.33852241451757,1.40959859063252,12.0002693217521,-0.167310070887522,1.58056165870129,0.105931858306084,11.9999825376046,0,-31350.3242115518
-4.73817022352199,-3.79364566939482,-3.66068607282355,-1.31085182860819,-5.31666538281957,-1.16276688988514,-1.02195756898781,-12.0824325890227,-1.6338354088025,-4.35482286478994,-5.11207786425546,-2.29890331291033,-3.82964524927299,-2.33341109520885,1.39850652979376,12.000338037676,-0.154315137752454,1.35511915626166,0.195441455481457,12.0000459421284,0,-31319.7246502819
-6.80925271853501,-3.73822495165361,-3.49544619098475,-1.23006445895531,-4.2562368978633,-1.16054236516684,-1.00268801385192,-10.9058703105106,-1.61452786297957,-3.56556917714569,-5.3254861384165,-2.1308359780942,-3.70189939528261,-2.29851015050931,1.2990678264628,12.0007149454745,-0.0903311386992951,-0.748191524562689,0.825763675877819,12.0006397055722,0,-31228.9791410036
-7.15410122445376,-3.63070619361435,-3.34737492651939,-1.20561386764085,-4.58511072600925,-1.15726533461452,-0.992159078103395,-9.94231569851236,-1.60909064223967,-3.47933257845504,-5.58141116422047,-2.13056442163345,-3.59747862904187,-2.32000523342649,1.28887030348708,12.0008450401821,-0.0789769617519838,-0.367071687299858,0.654208935329457,12.0008737008902,0,-31185.3754994425
-7.1687734179893,-4.24394144995483,-3.34153165905911,-1.16590920036961,-5.25926269001226,-1.12667968903105,-0.983406664805563,-7.40873531183736,-1.6021489834023,-3.45429300873061,-5.84420167623523,-2.22305914948425,-3.70080491271359,-2.29622194596563,1.27200003964555,12.0011595479219,-0.051274863283771,-0.46508576416314,1.90507474408545,12.0015359348735,0,-31122.2659398904
