"asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_sba","logLike"
-2.43846747160515,-3.08152313628191,-3.27868909254474,-3.20488604113979,-1.86536075738862,-3.45094705181126,-1.57260425515832,-2.77436152234682,-2.27430121472868,-2.55325960464464,-3.20488599101541,-3.363927899138,-1.64102388708939,-2.18119180816314,0.211621288113828,126.842464857813,-2409.55756816886
-1.98693439925355,-2.44953749800181,-2.59137603538531,-2.53828281267532,-1.57452025520214,-2.71515237749091,-1.3603651964428,-2.22843055527941,-1.86869989005298,-2.06951310396509,-2.53828293740369,-2.65269584042031,-1.40904159608381,-1.80688331996107,-0.416949855300004,168.027963937426,-2409.40653007989
-1.91008384245744,-2.34199517196876,-2.4744225811992,-2.42485230527362,-1.52454328585285,-2.58950470441293,-1.32619509880725,-2.13507384172707,-1.79920792141208,-1.98718409265021,-2.42485237106957,-2.53167398889314,-1.37243556512565,-1.73788601835943,-0.523510183386319,165.603498759099,-2409.37775823271
-1.83428893145472,-2.23596922418563,-2.35912791937638,-2.31302718493944,-1.47567633685718,-2.46609574913215,-1.29149639607176,-2.04347223955616,-1.73111534125911,-1.90599266736405,-2.3130270901971,-2.4123719365648,-1.33460981943795,-1.67435917694474,-0.638218827558202,187.890327369616,-2409.35856385862
-1.79883770235079,-2.18629080770852,-2.30508696649556,-2.26061913454036,-1.45274521704738,-2.40808563163058,-1.27510533765746,-2.00043198451774,-1.69913800959718,-1.86800187165657,-2.26061917431836,-2.35644511616782,-1.31687391020506,-1.64371478128275,-0.693752723057719,200.968181914098,-2409.35014063446
-1.73347346586649,-2.09483531622911,-2.20563172020486,-2.16415838042182,-1.41071276089158,-2.30172051732832,-1.2450345200003,-1.92151797845985,-1.64051322935539,-1.79798009365097,-2.16415836607805,-2.253531179996,-1.28396491893701,-1.58933557505543,-0.795220528040093,200.968181914098,-2409.33725303654
-1.70646403305723,-2.05701201147606,-2.16449279344124,-2.12426044288644,-1.39323557450341,-2.25757875417091,-1.23249000818462,-1.88875421076223,-1.61615893019597,-1.76904022550267,-2.12426044695565,-2.21095871852162,-1.27037795392084,-1.56604198397843,-0.840902976040342,220.697524885132,-2409.33147745983
-1.60326378964668,-1.91261290431715,-2.00746171681137,-1.97195787083809,-1.32680809079025,-2.08956712355546,-1.18494880460748,-1.76408964583926,-1.52353173855945,-1.65848556506045,-1.97195789378779,-2.04846670442988,-1.21842309157567,-1.47955024681476,-1.009728271795,267.226291419774,-2409.31907752527
-1.50361143666442,-1.77348108722284,-1.85622688991988,-1.82525403806769,-1.2623645111481,-1.92777747485434,-1.13866816647129,-1.6438314712864,-1.43397561163828,-1.55178523478142,-1.82525410158452,-1.89200035954293,-1.16795807845292,-1.3957573303328,-1.19219701033109,421.04053581575,-2409.30553368068
-1.40662268744419,-1.63710755994177,-1.70777254069387,-1.68132214306013,-1.2005868416656,-1.7688960299703,-1.09488342569152,-1.52640336082101,-1.34716782120773,-1.44776759996058,-1.68132223717581,-1.7383220972417,-1.11987285241078,-1.31479197495595,-1.40199873694075,735.150367349892,-2409.29536386357
-1.38984010530847,-1.61395594935716,-1.68267236906774,-1.65695037665972,-1.18948917725549,-1.74208878533119,-1.08673899729348,-1.50628593835981,-1.33200845301963,-1.42984667873137,-1.6569503267744,-1.71237998179646,-1.11106187087938,-1.30009140170989,-1.43232466582004,735.150367349892,-2409.29004092801
-1.37432185163403,-1.59225849200693,-1.65907970065778,-1.63406715242496,-1.17948289882983,-1.71684765214994,-1.0795628558298,-1.487548130255,-1.31807484906019,-1.41322564848218,-1.63406711036786,-1.68796782829021,-1.10322482001984,-1.28709233564511,-1.46683868568839,735.150367349892,-2409.28891264323
-1.35866447573043,-1.57035102940463,-1.63525591386742,-1.61096068652871,-1.16941068359065,-1.69136464067297,-1.07235621390107,-1.46864098777515,-1.30402796978682,-1.39645255620596,-1.61096067569434,-1.66331562283068,-1.09534219346219,-1.27393512726954,-1.50249367871806,735.150367349892,-2409.28786338636
-1.3274767979175,-1.52669465356055,-1.5877769751669,-1.56491265221689,-1.149388763183,-1.64059750814737,-1.05805329941164,-1.43099093099442,-1.27607479878273,-1.36303884055769,-1.56491264879023,-1.61418434600044,-1.07966914527027,-1.24775613033109,-1.57558742212206,852.501323312626,-2409.28619399351
-1.31997184363511,-1.51621261615283,-1.5763817332735,-1.55385918660621,-1.14451321196742,-1.62838255222574,-1.05454043363032,-1.42190994131298,-1.26930803249026,-1.35500268689635,-1.55385918644527,-1.60239406584898,-1.07586309043755,-1.241390039535,-1.59464930516015,852.501323312626,-2409.28560389273
-1.31286271627653,-1.50626327706799,-1.56556149773846,-1.54336495964756,-1.13994035981081,-1.61680664827992,-1.05126967272101,-1.41332240765069,-1.26292908394388,-1.34738656433879,-1.54336495824195,-1.59119735929078,-1.07228685834252,-1.23540965972764,-1.61216268732601,852.501323312626,-2409.28525160007
-1.28445765877792,-1.46652296008581,-1.52234570953777,-1.50144999481736,-1.12165724055026,-1.57057407415601,-1.03818361130196,-1.37901622370574,-1.23743754586155,-1.3169581031597,-1.50144998464734,-1.54647877335187,-1.05798210375426,-1.21150278129054,-1.68256387379362,852.501323260327,-2409.28457060723
-1.256428567387,-1.42733546267985,-1.47973672796858,-1.46012211246293,-1.10359222490904,-1.52499563369795,-1.02523485117528,-1.34517754074136,-1.21227607147784,-1.28693699805042,-1.46012211208487,-1.50239151789221,-1.04383422917679,-1.18790460423584,-1.75814451167461,852.501307580313,-2409.28320096556
-1.24431003091433,-1.41035168986432,-1.46126145448668,-1.44220486608403,-1.09584263708111,-1.50525019813991,-1.01971557884319,-1.33055134257216,-1.20143303226226,-1.27395003627739,-1.44220486892488,-1.48327080617906,-1.0377667271492,-1.17784072551001,-1.7922089235244,852.501307580313,-2409.28282015134
-1.23223567666638,-1.39345796743859,-1.44289011477023,-1.42438665570524,-1.08807747963769,-1.4856020666892,-1.01415999067947,-1.31597376688457,-1.19060311487222,-1.26101539372674,-1.42438665424207,-1.46426061728864,-1.03168725641734,-1.16769035726324,-1.8264653656054,852.501307580313,-2409.28256437234
