"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_nanc","w_cmck","w_msqd","w_tuna","w_psdn","theta_part","theta_msqd","theta_psdn","theta_nanc","B_mean_avail","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","B_dist_to_cog","logLike"
-2.63289346419898,-2.83371593622931,-2.47666612152363,-1.9810717786431,-3.05023912209652,-2.19054593715822,-1.96840580781473,-3.2357618802191,-2.16002412368474,-2.66137723525955,-2.48153434688209,-2.52676802152762,-2.68775589490475,-2.39863513883297,-0.498780291789402,-4.71249049916793,-3.76090865953318,-3.73746175508055,-2.97147757348836,-4.02246907625111,-0.464443663395486,3.98502111486363,2.09961823912487,0.655563411829469,1.03081636272533,0.203801628833663,-0.0400074703475399,-1.05920173100965,-0.89162552941184,-0.00433939648941175,1.25834879908756,0.160965942586695,0.189112623592811,-0.00155560406446391,-22483.2029905508
-2.62817078903705,-2.83376910950883,-2.47473855940019,-1.97751258138607,-3.04510774437164,-2.18718512859347,-1.96483755492747,-3.226710986705,-2.15729572215754,-2.65885436457359,-2.47885004031771,-2.52411200960554,-2.68603236553302,-2.39715270270786,-0.498144699361208,-4.70940243736875,-3.7615343890874,-3.7375254944446,-2.97159194749018,-4.0223401460036,-0.4644638371687,4.06885926708655,2.14779759050751,0.658659197567602,1.03264558709107,0.200924923992159,-0.0401061236282554,-1.05907594464708,-0.890292949614732,-0.00434642245147865,1.259758188819,0.160911320135163,0.188963797476693,-0.00155682905853465,-22483.1702280459
-2.62711306869507,-2.82875487287883,-2.46934019854408,-1.97880491629045,-3.0374833815119,-2.18956492909884,-1.96592483132766,-3.21968571461049,-2.15942669811548,-2.65522993248761,-2.46989152020194,-2.52967555090631,-2.68015144892192,-2.39604160498739,-0.492626156576303,-4.70067612086652,-3.75664847764152,-3.73526912226621,-2.98256417635329,-4.02053148850927,-0.474687409147732,4.81377292834513,2.31243990870325,0.68256439298212,1.03052797123927,0.201876691144263,-0.0401097911697436,-1.05722447094088,-0.888868261296146,-0.00436825911805382,1.26138199547533,0.16130231779651,0.189006248846935,-0.00156274003662103,-22483.1051919282
-2.62065499289241,-2.82416433961437,-2.4675536010374,-1.9762592601761,-3.03744751001706,-2.1858455885586,-1.96335350763186,-3.21856946021425,-2.15727554681383,-2.65134514762177,-2.46941619248529,-2.5249115819711,-2.68017644780417,-2.3911958337506,-0.492789752462577,-4.70771564506135,-3.75917554260364,-3.73684826538171,-2.97180599406666,-4.01786130298424,-0.475549594074395,4.95689831301032,2.25836691863059,0.674959254073428,1.03172279649128,0.200813015141791,-0.0401427164089816,-1.05561615385089,-0.88402158608581,-0.00434754505231317,1.25789413018996,0.160636410168519,0.188994572016239,-0.00154904009159769,-22483.0723158526
-2.62923947364523,-2.8307224118879,-2.47325705293246,-1.98136894402427,-3.04558259832118,-2.19201783221854,-1.96841841802615,-3.22913665182483,-2.16287208626115,-2.65856240449591,-2.4747790286938,-2.53184368725488,-2.68582540555805,-2.39756582228501,-0.49398583650936,-4.70922331333023,-3.75838431059814,-3.73607614850407,-2.97569024789552,-4.01955288264722,-0.471390863395159,4.96124431216192,2.29671245702628,0.67612225232024,1.03326647393314,0.202730750704441,-0.0401149231149944,-1.05954575134626,-0.887280344739797,-0.0043614507272225,1.26157861836397,0.160883488672885,0.189122542859962,-0.001559314154771,-22483.0567575426
-2.62860779841016,-2.82999126303317,-2.47213799182582,-1.98091466825085,-3.04487125794295,-2.19158461968903,-1.96803653979339,-3.22888723054752,-2.16255921222185,-2.65749799063966,-2.47333640006055,-2.53149062664192,-2.68450105377032,-2.39676750778311,-0.493480207142906,-4.70810014009319,-3.75839022063928,-3.73633190092508,-2.97590517188947,-4.01967208399472,-0.472732956357883,5.00996490514201,2.29825666964298,0.677684286811768,1.03330726961818,0.203093205058003,-0.0401251692142659,-1.05904776059745,-0.886652576905552,-0.00436169440131528,1.26095103897044,0.160803247519803,0.189130985217044,-0.00155880732901096,-22483.0558366071
-2.62767647460227,-2.82930897590442,-2.471268079484,-1.980468066957,-3.04328528065078,-2.19114199961477,-1.96753659982249,-3.22681824589543,-2.16207155824429,-2.65668560563858,-2.47218230336368,-2.53136734038145,-2.6835715391124,-2.39626126377911,-0.493162684267122,-4.70739020777117,-3.75796101398725,-3.73623509870316,-2.97651632683835,-4.01974357826146,-0.473677352924654,5.18123719182303,2.31389331945601,0.679686160556973,1.03292400739246,0.202788238219105,-0.0401262352626683,-1.0589324071383,-0.886437553856255,-0.00436286067659163,1.2610388410119,0.1608404129031,0.189104545104064,-0.00155938399700578,-22483.0550168588
-2.62819545828381,-2.82926688947511,-2.47163745263852,-1.98100935140232,-3.04447504496976,-2.19163284953533,-1.96808293007522,-3.22866442428487,-2.16271062370397,-2.65687577419755,-2.47257835618126,-2.5318094216118,-2.68402689602614,-2.39628222435852,-0.493100018072388,-4.70820356463121,-3.75819480473433,-3.73632305031031,-2.97587077743226,-4.01963543560479,-0.47367499650928,5.15718046191996,2.30949529970853,0.679178912803591,1.03318124011612,0.203257549603173,-0.0401265530759309,-1.05894794247016,-0.886014934324697,-0.00436183457675744,1.26078812686423,0.16079233355886,0.189136682071416,-0.0015584747209105,-22483.0549721907
-2.62805946683037,-2.82941417532014,-2.47158525433996,-1.98084740428374,-3.04416069355084,-2.19153243358722,-1.96791570543669,-3.22807034833618,-2.16256556420122,-2.65697009752855,-2.4725217169031,-2.53176113241622,-2.68400073803937,-2.39640259877141,-0.493176202965884,-4.70809982092574,-3.75806526660584,-3.73627884669868,-2.97613417430922,-4.01969404998417,-0.47358487988533,5.17512719540634,2.31268000434891,0.6794086300745,1.03319082171228,0.203052904757234,-0.0401257126384454,-1.05909602572207,-0.886188556010674,-0.00436249377502151,1.26097902205149,0.160803072336004,0.189123740922988,-0.00155906395568398,-22483.0548899967
-2.6281630052718,-2.82945536812341,-2.47162819299263,-1.98093657539081,-3.04429321302501,-2.1916152821546,-1.96800426923837,-3.22829882157991,-2.16264839163273,-2.65700505979141,-2.47254158879712,-2.53185131313352,-2.68403090209631,-2.39642981992026,-0.493171274927799,-4.70810843268032,-3.7580819421641,-3.73629785438081,-2.97615988655619,-4.01972736210398,-0.473610325862032,5.17851091090594,2.31290968280319,0.679444364523577,1.03318702209303,0.203131527850897,-0.0401264075667028,-1.05909614686748,-0.886173286913122,-0.00436256156944419,1.26097619884215,0.160802103144375,0.189128703733694,-0.0015590672382542,-22483.0548894484
