"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_btna","c_psdn","w_nanc","w_cmck","w_msqd","w_tuna","w_psdn","lambda_part","lambda_cmck","lambda_msqd","lambda_psdn","lambda_nanc","lambda_tuna","B_mean_avail","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_d_pd","B_d_pcd","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_unem_rate_nopart","w_nopart","B_dist_to_cog","logLike"
-2.78166340294467,-2.77649429701416,-2.79511326987044,-2.57694667002934,-2.82653848584107,-2.73380112666035,-2.54049395804104,-2.78436708022434,-2.73241242137,-2.77976673264873,-2.75024956622395,-2.8285095273843,-2.80098403201202,-2.77774704304741,-4.40000265178282,-0.392057615926436,-4.0056833456891,-4.0001269552326,-3.98997613916722,-3.99754362667371,-4.00192114916721,0.574387461583959,0.497789710772301,0.519047982136443,0.470661472475151,0.40514241814953,0.476668267053375,0.997595051092713,0.077978514614292,-0.00013491012980872,-0.969280795242599,-1.00001544850522,-0.991454378033289,-1.00001544850522,-0.00477968072100676,1.30088091328743,0.230527511807434,0.183542903179014,0,0,0,-0.00395000258264047,-24628.6715849153
-2.7974950612553,-2.78051541506314,-2.78768453768173,-2.5345526771814,-2.83933298692266,-2.69450897305508,-2.52734677505487,-2.79520115154577,-2.71694780270611,-2.79678924196901,-2.74717347363712,-2.86574795043056,-2.81239571023846,-2.77447375908074,-4.40000232730552,-0.386355619582915,-4.00886859893554,-3.99960574817148,-3.98636380722759,-3.99493782584824,-4.00267657678923,0.57780721545751,0.492224559429054,0.464927061956603,0.452613221802409,0.368722504761932,0.47271412642891,0.982048821852883,0.0542045488047415,0.000536472325160079,-0.953729560254792,-1.00003950405093,-0.98501474354442,-1.00003950405093,-0.00431205867518666,1.31242991361403,0.215352625056765,0.177415483494327,0,0,0,-0.00371009141160219,-24517.4304422147
-2.89670680524494,-2.7960398270406,-2.71934907468052,-2.34092935531142,-2.89464191372025,-2.41622484932089,-2.57439625397477,-2.87295267413291,-2.53404345421317,-2.92290986110578,-2.74143825213662,-3.03192397256207,-2.8694380440406,-2.73798822614315,-4.39999769648053,-0.348253740176593,-4.03144857108997,-3.99594939839215,-3.96091780666763,-3.97490328440206,-4.00754206524225,0.555048772418506,0.418381234048374,0.536239985775632,0.306333566633828,0.150188880199655,0.44902865070573,0.930459168263179,-0.0357952214677518,0.00370342598622067,-0.833446156444842,-1.00015840973423,-0.941105161934918,-1.00015840973423,-0.00260991830523745,1.28355808536401,0.0161313385784864,0.186056007850347,0,0,0,-0.0039106038790755,-24395.1975334865
-2.9282921148563,-2.7928080334057,-2.6715161242716,-2.379750952345,-2.90217478890212,-2.34271895600636,-2.50706914667565,-2.91405377332196,-2.4068350031772,-2.9803252109377,-2.7536070556292,-3.0934769873472,-2.87573180236643,-2.71020162517356,-4.39999227082969,-0.317917692067605,-4.04583017239155,-3.99359410412698,-3.94694049519605,-3.96013514111678,-4.00942067618916,0.551181654674635,0.357609887740017,0.518698647309265,0.221134809098655,0.159814280765543,0.449509478144423,0.936544377208051,0.0148221772795959,0.00208764615771122,-0.752625443470313,-1.00018782389026,-0.914670026196662,-1.00018782389026,-0.00260946317476357,1.25983553310451,-0.01503620303809,0.184612166838061,0,0,0,-0.00393266253754409,-24298.0275007171
-2.95361540215786,-2.79380242747777,-2.63451196616309,-2.36911199647837,-2.90572053486177,-2.36175561774525,-2.50167238596015,-2.95339515677015,-2.29171676284241,-3.01149814138522,-2.75478113720982,-3.10750005241568,-2.86136272012569,-2.65222726585784,-4.39998457941219,-0.282301417315326,-4.06228490337476,-3.99071862105572,-3.93310129654567,-3.94165472332589,-4.01022877005081,0.537070312376043,0.311028240837732,0.511181842779,0.140254604619574,0.193612235898055,0.453422700790822,0.939985552777574,-0.0423671720948716,0.00421804705836249,-0.679948924145722,-1.00021560283449,-0.885038484691852,-1.00021560283449,-0.00200369376133955,1.23913293759787,0.0262398526672202,0.183038810570061,0,0,0,-0.00390580511061918,-24253.9232324371
-2.96185684007749,-2.79533354649923,-2.63609383218658,-2.34576835704546,-2.89850407399775,-2.34874049536279,-2.52041710522253,-2.97243068676915,-2.268454968884,-3.00408381749619,-2.74786503910273,-3.07887824075345,-2.84475899861808,-2.64404242662245,-4.39997778059812,-0.253523791220282,-4.07559208795516,-3.98869158639397,-3.92351077397155,-3.92610452318435,-4.00994334928267,0.539905199930656,0.306286501316978,0.503254024250199,0.104353042919612,0.193158858575022,0.464306095961758,0.937721378078379,-0.0179203766349551,0.00384684056234014,-0.643691467683671,-1.00022271096067,-0.864308563082846,-1.00022271096067,-0.00210235305753066,1.24388572919387,0.0568720767002849,0.177783698027098,0,0,0,-0.00384902678572803,-24236.9491470044
-2.97394227621074,-2.79781716660343,-2.63290077233263,-2.34842866404747,-2.88769952152447,-2.33604817973836,-2.50045505385056,-2.99591098132242,-2.26224938668481,-2.98251643541227,-2.73423091677578,-3.02713523948591,-2.82247019168279,-2.62960344390702,-4.39996717663564,-0.211243611565267,-4.09699757061784,-3.98522253742382,-3.90921065368264,-3.9004365047371,-4.0092382729254,0.540102460921421,0.310079013384883,0.501211955064942,0.0850790374398662,0.179653487968698,0.482520337735814,0.932047105682054,-0.0268011937857635,0.00314050072648718,-0.606844279037146,-1.00023813275801,-0.832340254335763,-1.00023813275801,-0.00191196620617221,1.25869373153872,0.0514045086726263,0.175201735775006,0,0,0,-0.0037951533278705,-24213.4740263724
-2.99526619911617,-2.79709401964668,-2.60800996207526,-2.31731029766724,-2.87730058902302,-2.28507848734079,-2.46724491204764,-3.03899648766612,-2.24004491492847,-2.94448198599197,-2.71941973227053,-2.94466604595812,-2.79997017085762,-2.59572382452092,-4.39994747717179,-0.133456409517938,-4.14414437409009,-3.97720323224126,-3.87883696164994,-3.84279027710499,-4.00808391963337,0.541686639041277,0.299059445661552,0.502137955373967,0.135513542609352,0.208659803322734,0.517149257983413,0.916241666431919,-0.0365061335450215,0.00196198882711953,-0.553007051245503,-1.00027501211784,-0.767538671646989,-1.00027501211784,-0.00154951249539336,1.27672004370198,0.0480013152507918,0.169554932798563,0,0,0,-0.00377932920468548,-24173.2701694578
-2.99613396976037,-2.79368433661361,-2.60263939844829,-2.31449983557784,-2.87574780052805,-2.28224200604196,-2.46401533664717,-3.03897054608227,-2.23645972176275,-2.94205850965549,-2.71877461127151,-2.93914005732707,-2.79991595639845,-2.58905723942345,-4.39994651757514,-0.129811780010366,-4.14973889693105,-3.97608717995245,-3.87620007799258,-3.83525427598594,-4.00791190149861,0.541199025067338,0.301303609321945,0.501838733333491,0.136676637526325,0.206845802644543,0.521810876964817,0.916962548819908,-0.0351626467249988,0.00188312313105749,-0.558029166175785,-1.00027886795667,-0.762607331807496,-1.00027886795667,-0.00157076197733143,1.27640172363599,0.049446131555288,0.169188688980407,0,0,0,-0.00377631908217713,-24168.0873643485
-2.99381859371846,-2.77937320083186,-2.59974182013669,-2.3033472337096,-2.87141178427975,-2.27417256417684,-2.45427971563491,-3.03511939729441,-2.22791358553963,-2.93479754343619,-2.70979383287654,-2.92955987630265,-2.79653126198206,-2.58362866266881,-4.39994825255705,-0.126097695775664,-4.16456522623515,-3.972952711786,-3.8708284750979,-3.81443306754293,-4.00723764980257,0.540355315548703,0.304282360099481,0.50193294465403,0.13074590483794,0.214695256294,0.529773912130101,0.919136118838067,-0.0357321764961551,0.00168920214150895,-0.571844427352439,-1.0002926564188,-0.753946797260359,-1.0002926564188,-0.00160306592622996,1.27733523422014,0.0462147442971705,0.168863458991339,0,0,0,-0.00377891603895818,-24154.8265915465
-2.98768756013525,-2.7621767887043,-2.59549469771864,-2.29730601356727,-2.86468958835845,-2.2660506736543,-2.44545843341598,-3.02816282810698,-2.21768567989012,-2.92600224303606,-2.69409324632843,-2.92193979546484,-2.78620220222482,-2.58322602149127,-4.39995773515771,-0.128840351043739,-4.1811822267816,-3.96892453728669,-3.86755810238328,-3.78962675631181,-4.00616095816936,0.537871292172065,0.297885098141963,0.501094815048762,0.133546084795067,0.210085528116921,0.52978493785495,0.92365287645473,-0.0375981626174904,0.00159329358989115,-0.577994574091574,-1.00031447751917,-0.751649470599445,-1.00031447751917,-0.00161821171952984,1.27443208589605,0.0505234318312748,0.168507003612234,0,0,0,-0.00377001478614574,-24139.4349343834
