"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","theta_part","theta_msqd","theta_psdn","theta_nanc","logLike"
-3.21812617263554,-2.96461136475693,-3.34813978750569,-2.10177808847474,-4.88954986152573,-1.93109533277735,-1.74056889031029,-5.31555489872112,-2.77766937489164,-2.85419816514284,-4.93986485919491,-4.08966059091266,-2.8551259052629,-2.73509493887562,1.88144592868797,3.64939859278439,-4.88094509710158,-2.02308200120792,-31162.4976346197
-3.21322020492784,-2.96424769856339,-3.35783861307684,-2.08748416006571,-4.90582488738497,-1.90721172496519,-1.70400073813912,-5.33564637701057,-2.78788004806899,-2.85421326777646,-4.95621003180176,-4.12752848046313,-2.85516064964952,-2.73441130268901,1.9036654157502,3.8634606211992,-5.04972211994798,-2.0106519760737,-31120.322739249
-3.21037894953889,-2.96416709456687,-3.3613442886197,-2.08195521851866,-4.91186112702497,-1.89795545243805,-1.68968994698652,-5.34308617495936,-2.79174362641786,-2.85422199500225,-4.96227593719849,-4.14206462335661,-2.8551663777292,-2.73406358210467,1.91202859193178,3.95403916665226,-5.10130798606279,-2.00568039549699,-31105.73489798
-3.20398037367499,-2.96413539434145,-3.36706140556569,-2.07081885312048,-4.92280299273628,-1.87958550719784,-1.66157178448933,-5.35681815630289,-2.79914925182518,-2.85425129567923,-4.97328828944088,-4.17116649279201,-2.85516653229988,-2.73281922564208,1.92419185484542,4.16712637403943,-5.19804760535139,-1.99619262941031,-31079.8105298885
-3.20090552416755,-2.96414750156449,-3.36919588596643,-2.0662290316785,-4.92705308434203,-1.87201780523317,-1.64993741337001,-5.3621588695023,-2.80207702627123,-2.85426351454133,-4.97756776637153,-4.18276894339868,-2.85516473322468,-2.73224033615144,1.92854075039564,4.26113381098445,-5.2305111478956,-1.992132342052,-31070.2628935427
-3.19419631086473,-2.96419755437474,-3.37245960638817,-2.05674844783122,-4.93450661938335,-1.85664170693082,-1.62646207573442,-5.37169155707437,-2.80741197885223,-2.85429367898918,-4.9850824515735,-4.2050366076642,-2.8551566605514,-2.73069696195466,1.93378487719086,4.43033825490006,-5.29076956913033,-1.98371972704653,-31053.1911135213
-3.19148486984846,-2.96421294036055,-3.3735390483494,-2.05291576123011,-4.93724899188365,-1.85050373618036,-1.61717886641473,-5.37525908876292,-2.80943141222432,-2.85430544293753,-4.98784951139791,-4.21383483978503,-2.85515313994856,-2.72998404412792,1.93516272606493,4.52103702575517,-5.31525936613135,-1.9803672900493,-31046.9747727587
-3.18576362139418,-2.96418044327517,-3.37474373219171,-2.04512910257286,-4.94158510236229,-1.83823315711762,-1.59879332239951,-5.38111815406104,-2.81297439506568,-2.85433230697486,-4.9922312835406,-4.23038355044129,-2.85514368957979,-2.72825677604418,1.93498785391531,4.71517027057365,-5.36283128569341,-1.97335991482332,-31035.7658864717
-3.18367545059609,-2.96415590749447,-3.37504381748003,-2.04226273421554,-4.94299233778659,-1.83377166872655,-1.59215684653322,-5.38306396879714,-2.81416537659174,-2.85434169284031,-4.9936545760817,-4.23624769790401,-2.8551402772852,-2.72757695708988,1.9345495854769,4.79088282626403,-5.38030009488837,-1.97076662012675,-31032.070657471
-3.17989013532113,-2.9640476629452,-3.3750573524839,-2.03695367301718,-4.94488875576696,-1.82566512966834,-1.58025704976258,-5.3858805808124,-2.81601063515626,-2.85436007841142,-4.99557724999252,-4.24634769535488,-2.85513323918658,-2.72616667679295,1.93227561345876,4.93635977305955,-5.41282373048142,-1.96588343246208,-31025.8675993985
