"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_wa","c_dcrb","c_psdn","B_mean_price_part","B_mean_price_crab","B_mean_price_slmn","w_psdn","w_nanc","w_dcrb","w_slmn","w_cmck","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","lambda_part","lambda_nanc","lambda_psdn","asc_no_participation","w_nopart","B_mean_price_no_part","B_d_cd","c_no_participation","logLike"
2.83706932679706,-0.0493620171795893,-0.00464542807244087,-0.0180421646992985,2.08961716688536,0.333107062450412,0.353572913314122,-0.940728943774912,-4.63367183604763,-2,-2.05814805534879,4.10210217415823,0.16603520937993,5.60423293004227,-0.0775248593615569,-0.4977029047531,-0.392894697274235,0.71879438689047,-0.0373023676614896,-4.40982133655088,-5.29979938307827,-5.26757895559994,-4.95202002257907,-6.08320000318329,-9.40622487265185,-5.37543261581607,-5.48601700375545,-7.46873123048743,-16.3084144754872,0.474996097733585,0.471648828013328,0.365244894804496,0,0,0,-4.00019435301967,0,-1889.21723465027
2.84610807975913,-0.0519481149893472,-0.00464819768943353,-0.0178839610466364,2.10732313388132,0.338190118408641,0.353903047678911,-0.932429877642682,-4.63367188098983,-2,-2.08368729660076,4.09779867021422,0.167997807476535,5.60316824644856,-0.0689698615045903,-0.49774667928126,-0.39147031561264,0.718674738252353,-0.0392133216565737,-4.40971586381093,-5.29345015338054,-5.25864432615711,-4.94637380200002,-6.08781989292487,-9.41073057418472,-5.37456684678621,-5.49301758405743,-7.46671659602504,-16.3089857097809,0.481682900963433,0.478436419592081,0.353947940104368,0,0,0,-4.00027705402617,0,-1888.91982261449
2.85076947660827,-0.0504066193504882,-0.00459357467553258,-0.0175571501188692,2.11590065999483,0.338902566498672,0.347382032116935,-0.929388074250626,-4.63367190639211,-2,-2.09816934312392,4.09548661794455,0.169047095447491,5.60277169185067,-0.0659890274500423,-0.497003045486534,-0.390666957973194,0.718665688365935,-0.0401156003972265,-4.40961143137646,-5.28998875131941,-5.25547779825569,-4.94463619132846,-6.08984185576374,-9.41296513756437,-5.3730032598459,-5.4967577303524,-7.46557568494543,-16.3091989049511,0.485779281529912,0.481495414825558,0.349448412384784,0,0,0,-4.00032349861476,0,-1888.75080393136
2.91968461484644,-0.0530047201143233,-0.00466390478097039,-0.016820671111589,2.22703583564654,0.307529022234983,0.323860390533648,-0.893728820015355,-4.6336722606375,-2,-2.31359997211782,4.07552197844885,0.174512221872859,5.60163964494915,-0.0580476495091597,-0.466702160113267,-0.378922012822022,0.720058679879969,-0.0477612386919477,-4.40648511129828,-5.23852922095401,-5.2382935358266,-4.94865876546069,-6.09815692495239,-9.43579790080814,-5.32791861321268,-5.54401280793751,-7.4495926876476,-16.3098223047657,0.531316493346713,0.52843206299407,0.391718733315676,0,0,0,-4.00100738725363,0,-1887.79915969898
3.00497967913372,-0.0547043732365224,-0.00446953334336171,-0.0179794568067492,2.38178525837028,0.271655396261464,0.305010959707136,-0.889643415815941,-4.63367286618843,-2,-2.5990469043279,4.05640140426581,0.177561742237469,5.60972472898819,-0.0668100746823472,-0.439811211375746,-0.363345600577336,0.724635771585175,-0.0526299571664653,-4.39771343451959,-5.17837467632196,-5.24267576683283,-4.93377688027194,-6.08558127688556,-9.44818431586809,-5.32081326082975,-5.60231220335793,-7.42824091447633,-16.3055259942167,0.506397099010907,0.490819652208525,0.421649920621184,0,0,0,-4.00190897388853,0,-1887.72070747605
3.08334370995498,-0.0532366806006353,-0.00447003363755929,-0.0208098604412561,2.48645057108131,0.213222730027037,0.301971907425784,-0.928866276483745,-4.63367373567028,-2,-2.90223657154986,4.04202871516711,0.169180967386685,5.62094648053416,-0.0887594566042625,-0.438421420131646,-0.347094607900546,0.730363078550802,-0.0470386241996007,-4.38288962894392,-5.11896892086007,-5.27386930184204,-4.89884170822759,-6.04550989083195,-9.44035828311519,-5.39499692140146,-5.64374110857436,-7.40619783308328,-16.2995546017053,0.528037957962709,0.511587777151984,0.429446909361002,0,0,0,-4.00287366466833,0,-1886.91149156744
3.11210935634027,-0.0533259918432748,-0.00451605035573387,-0.0225658368260092,2.49400627033099,0.240210999105502,0.303111417541025,-0.953065939606992,-4.63367448366425,-2,-3.06998752153146,4.04699689014269,0.168501368206722,5.61445251831693,-0.105583651494797,-0.457774963171325,-0.338120966442188,0.730362410391992,-0.036901907934264,-4.36947497836399,-5.07862714780527,-5.31514340242882,-4.88070904316351,-6.07025464746246,-9.42392339976634,-5.40675781619121,-5.65617218144868,-7.39275079100105,-16.3030405451901,0.534002395505296,0.51794692547408,0.439933159666708,0,0,0,-4.00343461784103,0,-1886.02719124188
3.13782523850928,-0.0525568766377732,-0.00458649119925251,-0.0247622165441719,2.46713316794473,0.226343542848496,0.315206157503738,-0.993080225466593,-4.63367583709057,-2,-3.27946029656381,4.06165983852391,0.163640009009286,5.60169627315379,-0.112039581908804,-0.492362003344431,-0.327471585658551,0.729111419338785,-0.0198048825627985,-4.34641613837918,-5.03490251822488,-5.31030124067655,-4.91039752182303,-6.12424814082205,-9.40644539473158,-5.41443320222265,-5.66413882840578,-7.37521096090591,-16.3098784425034,0.52769288861063,0.512303692982286,0.427821060711129,0,0,0,-4.00418039332297,0,-1884.93869041962
3.21279243002596,-0.0515361603270188,-0.00462777798937988,-0.0278898370828231,2.32966175365005,0.319399417948683,0.346298683141721,-1.15270213875997,-4.63367973014324,-2,-3.72429618153777,4.03286643351463,0.158816495066354,5.58245991679535,-0.0716469750966396,-0.415271232971673,-0.30951876384827,0.72848381751288,0.0277214870593013,-4.26154897535927,-5.08645487428742,-5.25567680247883,-4.98921047297412,-6.10852014853962,-9.46575809108905,-5.3993758222646,-5.65468858593406,-7.32888184189475,-16.3202131325329,0.515967263129193,0.501972035984867,0.404627344135892,0,0,0,-4.0061866884447,0,-1884.09622717701
3.23811634350698,-0.051192533293271,-0.00492703317925488,-0.0258347439096615,2.27311544971054,0.27776091968257,0.359617896922051,-1.18113804307291,-4.63368201883871,-2,-3.89751604142685,4.01521320682268,0.156666884301725,5.58685997826296,-0.0295156541159562,-0.405518057089498,-0.306857109728024,0.732708638772326,0.0653255899798404,-4.23319300927267,-5.201100932393,-5.26868067885349,-4.91521402025726,-6.16052971157435,-9.50335538191399,-5.35767403457699,-5.60138280200712,-7.29866924021469,-16.3178970914583,0.505522588297477,0.493786707652938,0.396508169437391,0,0,0,-4.00756258161011,0,-1883.70861984204
