"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_dcrb","B_mean_price_part","B_mean_price_crab","B_mean_price_slmn","w_psdn","w_nanc","w_dcrb","w_slmn","w_cmck","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","theta_part","theta_psdn","logLike"
2.34991004088437,-0.0787135102245738,-0.00444191367008464,0.00514577285873354,3.24694231988759,0.0350628650879807,0.967821385351249,-1.94668183462342,-3.68017786670358,-3.76592516183304,3.06788260590811,0.721233290984812,-0.14000281680203,-0.477457817113253,-1.13612688662662,-1.02554441115738,-0.152730643972073,-4.43033514476311,-9.40148839078445,-5.87583216922112,-6.67115933394881,-8.20548380621744,-3.91751319702309,-5.46052935621162,-8.09549171975592,-33.3416305787515,0.208630031391313,2.30244465848152,-2276.45786118297
2.28501541145731,-0.10659989351004,-0.00473671384603267,0.0118366632227738,3.99055109439059,0.0434867307098753,0.899452581835658,-2.33063328748509,-4.06174676333357,-3.45252799240707,2.82174351591564,0.542506685763423,-0.201725774423166,-0.541070371280372,-4.19079282701228,-1.23373698882445,-0.0401673245539285,-4.60865850111624,-9.52689423549576,-5.62060689168538,-6.46196110345452,-8.13925307034415,-4.00968297697405,-5.07820622176788,-7.48045673401016,-35.5163944865807,0.495660340377278,1.10490793985344,-2105.0654187395
1.25835945821755,-0.0563731479062941,-0.00438939551637646,0.00558994796562306,3.97302593289894,0.0849828883928492,0.663926808600095,-2.33946448885275,-3.58078579386035,-0.830036982995166,2.77503703672206,1.76752912833783,-0.0190628845905736,-0.508218465112764,-3.33377249780109,-1.12637172450728,0.232068941848699,-5.30214323646936,-8.56896913372339,-5.30016001142008,-5.71420615612844,-7.63566289286112,-5.76543383390144,-5.05587807062798,-7.55098318527302,-33.4855152180376,0.87566796427828,0.727529624591568,-2005.79237758656
0.592201578001828,-0.0467021489200394,-0.00394638737270964,-0.00415460785595292,3.52006712236915,0.0759785833208578,0.463351194770953,-2.30265018269607,-2.98886229556423,1.33196563855208,2.53833029592915,3.16806827324472,0.0650145678651395,-0.460041942968878,-2.58113528844266,-0.991035547735451,0.550429559339944,-4.89301372664045,-6.68336547389203,-4.23357012749344,-4.22513987166643,-6.35111175165223,-6.22893525075727,-4.23957212952613,-6.61278126890865,-29.3912067415568,1.0374978657266,0.524537287331508,-1947.3851405778
-0.0589363183337314,-0.0342693614873316,-0.00433549372156364,-0.00736146596758499,2.99753168195431,0.17073476455296,0.207948491552405,-1.68890011555009,-1.82559544914961,4.51745268185078,2.02854288913288,5.29545824678002,0.09848624346534,-0.42359931050797,-1.19954028091743,-0.860025261919565,0.436357528018581,-4.43499932385483,-4.86491742339772,-3.72326925695911,-3.23890875286011,-5.16017746347427,-8.27873074804181,-4.05525382952265,-5.24133235966844,-23.0704510843418,0.929461852228484,0.676943340704518,-1882.4019166527
0.0555430476910071,-0.0454164168841723,-0.00564358411859366,-0.0142180806415971,2.9197245044441,0.232483750914267,0.247740653824348,-1.57061782643234,-0.995825388771936,3.27759284328391,1.52207333722197,6.25763466308029,0.0210642854817219,-0.417591376511446,-0.511666291946347,-0.858391548831701,0.452250966920268,-3.29866604570088,-4.38534256960007,-3.52580673433134,-3.23538730717081,-4.91177377356698,-7.16167484068359,-3.77892770874837,-5.37784003274774,-18.6093216897516,1.20556420447226,0.70236151209403,-1835.86345291645
0.121811716008993,-0.0459877193255026,-0.00537329000034116,-0.0241841117665669,2.78166058385259,0.267433297322606,0.169915731533176,-1.15878194806574,-0.149081524105313,3.87833795997673,0.80574082437364,7.70358332722344,0.0123212345152342,-0.463474375303446,0.181721615188748,-0.844939427685167,-0.309013078179393,-2.6292587984626,-3.38279485109407,-3.54867845869788,-3.1926242092858,-4.41417592086856,-7.73847706289994,-3.84776470393192,-3.91253905599247,-11.7694053972359,0.258063051584834,1.40733983205326,-1788.65973952952
0.496372534018898,-0.055529623152761,-0.0054500324430202,-0.0298775598252482,2.4563640974916,0.193555943481674,0.282433080165656,-1.30145635703588,0.216023161285292,2.14502996957726,0.236552058270277,8.25455325937866,-0.0304731765273548,-0.409775255353653,0.193519711441825,-0.655221835805865,0.238356607532247,-1.85703360984147,-3.19742497632362,-3.20545977455383,-3.06669895659716,-4.27231844712707,-5.77986275629378,-3.36678528588391,-4.54602252552686,-6.87303801686157,0.306315371072078,0.79926206565139,-1757.42272837774
0.467483457675816,-0.0543469587037381,-0.00555546459133486,-0.0264191033710691,2.53657351059503,0.184286761400877,0.222645617810646,-1.35524403108313,0.635206267962174,3.28456986921713,-0.0348874855505671,9.15161961242295,-0.0525153528918352,-0.406324810109176,-0.0647862009713252,-0.652754217225119,0.348826050657376,-2.51235694263368,-3.1814678693041,-3.21284897426835,-2.93398610155677,-4.35127494929513,-6.7349972862026,-3.45521689966889,-4.52524359588678,-4.07208372240993,0.477061546494457,0.704994979152437,-1738.83687474647
0.478697426322462,-0.0497049264914668,-0.00464117263437925,-0.0255815746279296,2.5055079420766,0.279582264980359,0.31012122520617,-1.22006252545932,0.751470986298806,3.10282738305836,0.137085756569189,9.69844647196912,-0.0610233454309004,-0.407265639620032,-0.255767951794294,-0.575236108461077,0.160585293517662,-3.307967648097,-3.9052656216184,-3.89699392760726,-3.75135916152317,-4.8334013266991,-7.39790366114307,-4.11541101322446,-4.88073425804983,-6.40056772505005,0.271672163965289,1.07436089306302,-1713.22365180606
0.455530255114495,-0.05055052252214,-0.00592102270815082,-0.0257281542466819,2.40242427139935,0.22969967364823,0.257380550343642,-1.29920045938504,0.627003160345544,2.78409124610159,0.212796493998154,10.7211143156143,-0.0365854288655052,-0.420534198369045,-0.1940034954541,-0.181141490301152,0.1597665840328,-2.13730836726856,-3.31408930228999,-3.24754661304554,-3.03666095508067,-4.37287268326791,-6.30043650523786,-3.46098318293084,-4.36358461315579,-6.48481433373176,0.308167999732712,1.07108293800957,-1700.98702292092
0.341612802717212,-0.0502516719883108,-0.00480689006343903,-0.0222264612659325,2.30471905004747,0.270063375758549,0.287750234400743,-1.12725746281627,0.516542441044457,2.93185155557418,0.226587738814958,10.5461551864236,-0.0439368840335651,-0.409533968798271,-0.0764539218149225,0.580814842000427,-0.010146327948916,-2.7518064107038,-3.63940078283601,-3.55950000982465,-3.39294590808132,-4.45046329768548,-6.87218058878902,-3.76689710528439,-4.36272288534344,-6.98040865601344,0.0707203708784033,1.31630687009211,-1699.1885235266
0.350761975132344,-0.0506381656511849,-0.00534122621572038,-0.0218978692272608,2.3161662374977,0.260145101020063,0.271922322347656,-1.18359835107408,0.551167548634316,2.92869249662996,0.219302718201726,10.595506571483,-0.0475593212583246,-0.40490386962676,-0.0880395093176161,0.823550934624221,0.112581097189737,-2.53496843547381,-3.5213454670878,-3.40365992845991,-3.21893520106068,-4.39320722123265,-6.65609671277896,-3.61778160379848,-4.43601267249627,-6.75296582122979,0.202116067499848,1.05843272990451,-1698.67953591425
0.353205923394282,-0.0508071708920187,-0.00539463227556642,-0.0222138666738321,2.3153816294555,0.260308800078257,0.266278444662624,-1.15947939993,0.565306270251953,2.92721358452353,0.205890285896011,10.61273544239,-0.0406595460470049,-0.409845219688911,-0.0901891149035554,0.743225841018688,0.0878974697479422,-2.42932552698228,-3.46382821073296,-3.39067664059201,-3.20162357591401,-4.36161471808993,-6.63194411347726,-3.6048813760379,-4.35571345245733,-6.61895265183289,0.177077240980671,1.1372652855097,-1698.58024888244
0.341927975585408,-0.0506837017301631,-0.00533143110730877,-0.0218904828029736,2.30860886072801,0.262462904471595,0.266901978702345,-1.14956439659277,0.559274590433117,2.92987602940275,0.212700777476186,10.6077764432389,-0.043405872625075,-0.407401783016782,-0.0924701073627417,0.735240133542378,0.0762561777949106,-2.47609008491369,-3.47439032417064,-3.39646402504417,-3.21142017421398,-4.35822173761004,-6.64944169076115,-3.61316102991023,-4.35090843757168,-6.68753713305419,0.168121467797655,1.14397725727522,-1698.57303635494
0.346030644962463,-0.0507355207634154,-0.00534688865992368,-0.021837443064919,2.30552614715375,0.263128637644239,0.26789606948106,-1.1469531179884,0.558996006485981,2.9195135229482,0.212193943948725,10.6066111718184,-0.0445258554165985,-0.407072555932632,-0.0932615190808157,0.743237425489979,0.0758196888941373,-2.47040033697706,-3.4793219424634,-3.40007804439188,-3.2166514776011,-4.36097123700809,-6.64357961106342,-3.61533786968765,-4.35733371138866,-6.69312066308651,0.167868956470842,1.14120426905886,-1698.57206724886
0.346193849157248,-0.0507475022947235,-0.00536122069745013,-0.0218051997711062,2.30430166804723,0.262986323015795,0.266855485120469,-1.14520816158388,0.561050083178843,2.92588706392254,0.210912932440659,10.612197060396,-0.0444226224111743,-0.407499212670428,-0.0930351720098081,0.744848052562651,0.0743542926236193,-2.46182414789352,-3.47287679869934,-3.39617862199617,-3.21116640667451,-4.35659168083366,-6.64336809400729,-3.61172685497894,-4.3492906348834,-6.67674052860391,0.166637425932509,1.14186298085182,-1698.57184318443
0.344698486471953,-0.0507372942794901,-0.0053587539247514,-0.0218031330306856,2.30357631459214,0.263191408161221,0.26681464843023,-1.1447958833673,0.561191049930202,2.92447686006297,0.211138154313177,10.6127189264214,-0.0443702945407845,-0.407464641147551,-0.0934280404718228,0.743065175035713,0.0743928510469267,-2.46122190857043,-3.47139010180148,-3.39481040328525,-3.2102695239488,-4.35488748896791,-6.64117091750142,-3.61058094709373,-4.34848717378131,-6.67778636905937,0.16633779961584,1.14104227055483,-1698.57180249703
0.344872984142314,-0.0507385284259637,-0.00535845606326972,-0.0217982228434326,2.30355822020529,0.263285890772267,0.266861214310847,-1.14454942204602,0.561240862667284,2.92468715984961,0.211199650124242,10.6126446374739,-0.0444818813289048,-0.407420787762871,-0.0937996384151704,0.742508536600404,0.0743661302999264,-2.46194262560709,-3.47199809642428,-3.39545971492669,-3.21096170983987,-4.35538539499392,-6.6421667854995,-3.61125586844718,-4.34898513565486,-6.67911280787787,0.166290004867416,1.14069730662882,-1698.57179977254
0.344707481060809,-0.050738605360709,-0.00535930133754439,-0.021798842852445,2.30339378898466,0.26321545881247,0.266795689395752,-1.14457309096926,0.561366012166186,2.92436557840978,0.211118251303924,10.6130606137981,-0.0444629425544391,-0.407438978529715,-0.0937297891515954,0.742527810788142,0.0744602224822729,-2.46091725451578,-3.47116294662162,-3.39467657755283,-3.21014110402799,-4.35471696457009,-6.64095077502463,-3.61047402590266,-4.34836733536521,-6.67766810363852,0.166266868722447,1.1403374136281,-1698.5717995326
0.344707131301333,-0.0507380829755111,-0.00535895431823154,-0.0217980142676078,2.30337284211402,0.263260888995807,0.266813980806429,-1.14445687486861,0.561372443471049,2.92445876832931,0.211149215103638,10.6129874528902,-0.0444829555134275,-0.407434934634137,-0.0937933075242634,0.742448756920966,0.0743669761940691,-2.46118321395933,-3.47135762358868,-3.39493978148356,-3.21043794759434,-4.35485372401184,-6.64137125426569,-3.61074502899885,-4.34845136019798,-6.67824812430988,0.166173291996387,1.14043230944914,-1698.57179872756
