"asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_psdn","logLike"
-0.98586838851544,-0.6446341615267,-0.712493945010705,-0.719553991197662,-1.05538880483347,-1.14642960436554,-0.712011972058801,-1.30748898938046,-4.49156190076267,-4.62552181652328,-1.66416050746546,1.32618129349826,-2763.25174409846
-0.942928152863439,-0.634600823314321,-0.69571205681958,-0.702067916436719,-1.04327405109213,-1.13178109051906,-0.70795698267258,-1.28892069845263,-4.49073444080799,-4.62581595813995,-1.6926831398685,0.967046058282826,-2763.24755523072
-0.9079817713231,-0.626470799361072,-0.682462856199284,-0.688285039066564,-1.01401054160039,-1.09632651922055,-0.697840380707826,-1.24409349102803,-4.49057317362214,-4.62612946566712,-1.76233288666876,0.898382066422471,-2763.23215342372
-0.898816804601687,-0.625011375554023,-0.67943356304767,-0.685096217433505,-1.0158751505028,-1.10018065703499,-0.69910604889446,-1.24887726081298,-4.49147712838945,-4.62524918752096,-1.75876949456655,0.782474584033605,-2763.22791046728
-0.888277774569355,-0.622767002178129,-0.675564794566687,-0.681057643411095,-1.01552176067633,-1.09934817038927,-0.699075311984504,-1.24775053260561,-4.49157207825902,-4.62532200691312,-1.7602735272093,0.699400494932591,-2763.22524365005
-0.874982084777412,-0.61975885692844,-0.670469833667387,-0.675748975488467,-1.01042846891106,-1.09340834185583,-0.697395557031066,-1.24022990374658,-4.4913901417433,-4.62550650188194,-1.77324018665878,0.611808518146662,-2763.22205310758
-0.822242992945363,-0.607521220558099,-0.649982665790514,-0.654399976226954,-0.99658572918331,-1.07676432104102,-0.692768411411895,-1.21913762127955,-4.49035842155893,-4.62580233053896,-1.80830608425793,0.233208037980764,-2763.21591045191
-0.772551113279235,-0.596341423400084,-0.631229963191724,-0.634866432509978,-0.963761829184509,-1.03775676135068,-0.681780521236182,-1.16974558526611,-4.4902378897339,-4.62641407283976,-1.89397935933607,-0.00684995301652758,-2763.20018625965
-0.757856088356338,-0.59362742482994,-0.626373840224693,-0.629776199418535,-0.942805580233013,-1.01353915151544,-0.675418084632423,-1.13890460487214,-4.49282670362042,-4.6242077220805,-1.95438635571289,-0.0501586697824228,-2763.19709171061
-0.738296626883779,-0.589373061497655,-0.61890843919029,-0.62198131728832,-0.949035065893341,-1.02100681256827,-0.677701194193865,-1.14828765334175,-4.49142104136072,-4.62509588565592,-1.93837057844677,-0.260968112736534,-2763.19194819474
-0.719331944664602,-0.584668590383993,-0.611428960230239,-0.61421462397038,-0.931341748762729,-0.999745538575154,-0.671433856802512,-1.12147645152628,-4.49095646201577,-4.62576248808736,-1.98768453152512,-0.349021624795198,-2763.18640621629
-0.697072424006505,-0.580165670589026,-0.603334202527631,-0.605747206803826,-0.929786100173685,-0.998439946607681,-0.671450578958954,-1.11966889468915,-4.49116851672754,-4.62542846062824,-1.99419908898379,-0.573598269011419,-2763.18221646409
-0.681422637047347,-0.576598839436298,-0.597430434504328,-0.599597940726762,-0.907679344156122,-0.971349653845646,-0.664084461787291,-1.08528512177801,-4.49103344533259,-4.62625077901565,-2.06091604535886,-0.650295025620161,-2763.17702695096
