"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_msqd","c_psdn","B_d_d","B_unem_rate_part","B_unem_rate_nopart","w_cmck","w_jmck","w_msqd","w_psdn","w_nanc","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","lambda_part","lambda_laa","lambda_sba","lambda_mna","asc_no_participation","w_nopart","logLike"
1.26065343481446,1.67166444967193,-0.0146723959622972,-0.00359551593218799,-0.00764459219290039,2.2081925672374,0.167518559786197,-4.99996207373658,-1.20210940917592,-0.602574007134405,0.151224185521308,0,-1.2689117569848,-0.987227968088629,-1.98155475419309,-1.47976607356179,-1.05167239508066,-4.37089249966237,-5.43396709811709,-4.32014146103802,-5.69830167312434,-4.66267846699881,-5.07805188410019,-4.74796802894161,-4.87104998513813,-4.65006330905241,-4.11112609767422,-4.69762152588269,-4.95531368457473,-4.78965424405379,-4.96990711364909,0.533554947381074,0.505858948042643,0.308821487551338,0.4772502300547,0,0,-1714.06822791212
1.28041122674792,1.65645816832904,-0.0155899953625154,-0.00341892808898988,-0.00787726626132195,2.16436376944622,0.157482829548827,-4.99995328994848,-1.15442699341046,-0.606322153943863,0.15596107953888,0,-1.29018664030467,-1.03624066556347,-2.03134680016767,-1.50039497202227,-1.11281996752437,-4.40656592180038,-5.46750088207786,-4.37648097852742,-5.70028858309293,-4.62447441321808,-4.98013222092513,-4.67659587157591,-4.87769762462864,-4.6384274657006,-4.07058990151428,-4.63100634026152,-4.88778173980857,-4.70354157236786,-4.94289496693897,0.519786257699887,0.49891889740344,0.301377141435129,0.474586938599578,0,0,-1707.40749556019
1.25938188987829,1.60973649098414,-0.0162142537163917,-0.00335639640051102,-0.00729312721865113,2.13609017032628,0.154775912975248,-4.99994598360167,-1.11993114128537,-0.593233062012182,0.157644997623394,0,-1.28983756968517,-1.08564837504953,-2.06296465677074,-1.50248612408707,-1.16634149921365,-4.32083930312664,-5.44853796309298,-4.45124964705989,-5.69765965323129,-4.58340814848334,-4.97234734851101,-4.62747418386738,-4.86497845675491,-4.56774291774318,-4.11839530168049,-4.62609974037446,-4.84770974258109,-4.64705698457929,-4.91521001384923,0.513966585656733,0.500715534563618,0.294378921050157,0.473408752842606,0,0,-1702.50545706023
1.22492059708002,1.54408841873634,-0.0164499310799066,-0.00327111644927129,-0.00647375803292953,2.14557561675465,0.153878803800026,-4.99993937529429,-1.09281209678491,-0.528920323067935,0.15559165009489,0,-1.30437638258922,-1.10936846434435,-2.11949141142686,-1.48442513725124,-1.17914494641654,-4.33662455704736,-5.39377336237307,-4.47237526808366,-5.65022752523766,-4.55413216543322,-5.00215527288499,-4.59199916908887,-4.80885269806967,-4.50631569302206,-4.09934613877196,-4.66400090700376,-4.82913012093922,-4.61352764753738,-4.88309664371473,0.511200759387237,0.500683243162759,0.294414513888478,0.475230765520029,0,0,-1698.01977795126
1.17039064595971,1.48483601696663,-0.0164798208265196,-0.00312919903633939,-0.00576985453925962,2.11384406186043,0.146585411646058,-4.99993323443957,-1.06729820055022,-0.473455127292144,0.160001515149055,0,-1.33801839766318,-1.10327731461876,-2.18531964312813,-1.45799462568492,-1.15597648233357,-4.29372160119249,-5.37270055897784,-4.45509657137702,-5.56103988343259,-4.53837890105262,-4.94347253201383,-4.55081399899114,-4.73525914353159,-4.49957477691342,-4.09498629123506,-4.6980284993249,-4.83747592019827,-4.57172696637531,-4.92594262585776,0.497979245809565,0.492147446825421,0.281381862273214,0.478441714710937,0,0,-1693.76346549225
1.16280738845495,1.48051793521895,-0.0164566179531278,-0.00312920438399333,-0.00573719409477707,2.10945082491482,0.148563884703017,-4.99993246571498,-1.06338878428998,-0.474945607750625,0.160289176137584,0,-1.34400232335284,-1.10268072171153,-2.19106211038162,-1.45378498983926,-1.14875140674459,-4.29239272570747,-5.37225363545849,-4.44711858696576,-5.55957553141593,-4.53379500927681,-4.92837712658659,-4.5449629905836,-4.73058316089724,-4.48294481259865,-4.09400573835635,-4.69742701744777,-4.84310637530545,-4.56771489704979,-4.9224246193111,0.496757550678447,0.492102878367587,0.280570205156271,0.478864817357158,0,0,-1693.10593283005
1.15887057852365,1.48033631376414,-0.0166962216202895,-0.00311287496084785,-0.00588278146560974,2.113410966193,0.145940391089472,-4.99993163586497,-1.05848228341348,-0.476980366766737,0.160055937620781,0,-1.3472421871413,-1.10340408514113,-2.19787644861102,-1.45029031557601,-1.14611845946327,-4.28410916482746,-5.36859176331122,-4.43774914758515,-5.56615169072986,-4.52098300924865,-4.91668516601187,-4.53086306034726,-4.7210801607292,-4.48107627653919,-4.08744792153684,-4.69123352074753,-4.84899161435124,-4.55373044622548,-4.91115371651829,0.49620616034586,0.493345026101735,0.281542128641144,0.479815304492095,0,0,-1692.29156289163
1.15927795074532,1.48603426939638,-0.0169296608784299,-0.00309208039012733,-0.00589799025850752,2.10438072441828,0.146478532248837,-4.99993095114864,-1.05469434419286,-0.487269078789508,0.159838288375686,0,-1.34769616074881,-1.09947643036352,-2.2084615372455,-1.45213714156734,-1.15505489792209,-4.27391235370597,-5.36964167351598,-4.43028328691766,-5.55654932533191,-4.51254138841525,-4.91407377175296,-4.5208820489546,-4.71202571428838,-4.474050226416,-4.0725651121101,-4.68318488747434,-4.84617430777516,-4.53929883367403,-4.89578816124001,0.493920751583697,0.492965489158763,0.280467940017384,0.480863810298815,0,0,-1691.39727897027
1.15984597496025,1.48578095923275,-0.0169541160501536,-0.0030892448071188,-0.00588710177345597,2.10302607391731,0.14653892790413,-4.9999308942458,-1.05439236555308,-0.486619927910558,0.159856752925027,0,-1.3468716848389,-1.09954896816289,-2.21002813180056,-1.4537243014339,-1.15646224200104,-4.27288030147463,-5.36822359489876,-4.42824809688832,-5.55663702633442,-4.51145022265736,-4.91244152485128,-4.51960825791435,-4.71098532111069,-4.4724294718353,-4.07118921612133,-4.68156615787581,-4.84242050615727,-4.53789427598394,-4.89534941557162,0.493503731648399,0.492821898906027,0.280262055865634,0.480667326233801,0,0,-1691.2624408706
1.16097511666949,1.48522079096432,-0.0169705418981462,-0.0030860844955654,-0.00588516344358154,2.10220538844571,0.146788564501762,-4.99993086690819,-1.05414343016963,-0.484433885711882,0.15974219558797,0,-1.3480516809981,-1.09985892481047,-2.21151541359811,-1.45556947540161,-1.15477502421378,-4.27124134313932,-5.36927257114558,-4.42728892721929,-5.55527187189224,-4.50938480440627,-4.91127172757237,-4.51745951100422,-4.7095229298361,-4.47077560813542,-4.07057143721544,-4.67872091732669,-4.83758004081889,-4.53676061443165,-4.89286191040257,0.493177866893139,0.492908608062517,0.279923175709086,0.480494351806584,0,0,-1691.11102890106
