"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_msqd","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","B_mean_avail_nanc","B_mean_avail_cmck","B_mean_avail_msqd","B_mean_avail_ytna","B_mean_avail_btna","B_mean_avail_psdn","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_dist_to_cog","logLike"
-4.85082980797534,-5.41706588217669,-4.34116850539804,-3.30354378002767,-5.81119011052391,-3.74222653560086,-3.34962683968407,-7.07575901813402,-3.81435669140848,-4.6758715930434,-4.61179643590033,-4.25406868869893,-5.05070967956111,-4.70824573973232,-1.31358715798332,-3.52787274157562,3.68657671354406,12.0000007204925,1.20248902989321,0.517861463163039,0.0555727384432159,12.0000028621177,1.40411192792737,-3.98054382057081,2.95081202225183,1.59846340656763,3.4565165577186,-1.87462861530863,-0.134425026781646,-0.0466817886870901,-2.27410660919105,-2.29494507443183,-0.010187406089526,2.55262036720032,0.304304880749452,0.236202579363256,0,-0.00261073809360412,-18345.2682664105
-4.83436910030147,-5.4465056144375,-4.34346731769137,-3.32526673154292,-5.78694748235473,-3.77646604836616,-3.37767179516617,-7.0260003412762,-3.82738744521424,-4.68608752974062,-4.62951779737651,-4.26997461029777,-5.06912688263571,-4.7450697333324,-1.30925876958567,-3.54108868398211,3.67641020453513,12.000000791979,1.18279779667914,0.515712797976455,0.0617597806441766,12.000003505565,1.41424029741142,-3.98513966430786,3.00503824131297,1.60435741776077,3.48409190824276,-1.88032282669543,-0.148958657147742,-0.0465877139245095,-2.26861558467316,-2.29320927886844,-0.010255646418568,2.58072238949546,0.303265681153353,0.236913611553879,0,-0.00259147464044394,-18342.856348333
-4.74196749437769,-5.61857665196571,-4.40864450384514,-3.40674017676423,-5.6551092164177,-3.9014617051509,-3.47459103205852,-6.71991354027393,-4.04326839529417,-4.69553505348428,-4.76914560038695,-4.46348022241799,-5.08213436461627,-4.98446683534587,-1.27216728386017,-3.63694976187951,3.62974284782924,12.0000011577162,1.23955598137788,0.509486799636633,0.0896251834261714,12.0000077142184,1.47660665393094,-4.0225468947391,3.2289287092208,1.62466988282379,3.64631476465699,-1.88279420916004,-0.295676617144728,-0.0440785494943613,-2.2215537326318,-2.28067872894035,-0.0100263205677633,2.55908412688297,0.33283481534618,0.256316598968445,0,-0.00252793227656257,-18339.8970949281
-4.66711096300571,-5.79338877283453,-4.58766241454771,-3.48762032997147,-5.54192724667751,-3.96234679731661,-3.55379685170228,-6.41041420320316,-4.17014795731829,-4.77304294357419,-4.94018663598757,-4.68720545240734,-5.11097685531715,-5.0250656260051,-1.23570009527923,-3.67783110435132,3.57858825159402,12.0000014260788,1.42657262926102,0.500525522673319,0.0991662757470484,12.0000123812877,1.61108902914988,-4.07798870189634,3.43603310846672,1.62490841549343,3.79891158156469,-1.90432271570319,-0.436306299294314,-0.0438620677426846,-2.18052960962954,-2.26646919389536,-0.00926603582485105,2.66142696713235,0.3291920250058,0.257980747093119,0,-0.00250951197333696,-18337.3919528315
-4.65770788169988,-5.81759155140894,-4.59802890451188,-3.49392994155882,-5.52745567338018,-3.97672459261201,-3.56008012222444,-6.36445847770201,-4.16637961050896,-4.79165901204164,-4.96762032170371,-4.71090555055167,-5.12985511354046,-5.05173959881278,-1.23056612839232,-3.67015321708949,3.57198163452318,12.0000015205503,1.47980597925336,0.499080041885437,0.0987111547641201,12.0000132059929,1.6271443534754,-4.08408801352922,3.46599163640251,1.62077527245199,3.81795678494687,-1.91161555085799,-0.439495250640504,-0.043707913690829,-2.1719871177389,-2.26347799797607,-0.00948889674410088,2.6663355854935,0.329656291600416,0.259758375858364,0,-0.00255632922103303,-18336.0116047232
-4.63868388799898,-5.8818160776258,-4.51516269104639,-3.51004971017512,-5.48330907126775,-4.0075655652032,-3.57746178004521,-6.2230609639453,-4.24499498448032,-4.86338916299673,-5.0492256600171,-4.75655439896233,-5.23738823832599,-5.12394930580997,-1.21249392948476,-3.61328252217041,3.54688029151185,12.0000022176346,1.65901976697271,0.495148258693489,0.0881401722376596,12.0000166525484,1.70240339897115,-4.08630041718797,3.49654905927722,1.59090480981129,3.85476542291614,-1.94451323655725,-0.521825345936543,-0.0436810375177601,-2.16454557941033,-2.25002771541042,-0.00956437890849479,2.75031028162385,0.327982370701196,0.259223440452944,0,-0.00252622151827184,-18335.3808333802
-4.64117306363666,-5.88244137990138,-4.53399024363613,-3.51955464805439,-5.45886648111532,-4.0127935804744,-3.5846093603446,-6.19812721988184,-4.24889380298461,-4.8601248267392,-5.04412295303692,-4.73851692861692,-5.2548304960829,-5.14482455343403,-1.20487606040486,-3.61044476454251,3.53863457692411,12.0000027795801,1.67192225918915,0.49984003848624,0.0832483860687237,12.000018071081,1.72758110831469,-4.0868325246001,3.47627900548887,1.57989211749396,3.84098448128515,-1.94382928549699,-0.528114050940644,-0.0434694086849151,-2.17005283491151,-2.24248525066699,-0.00956101154027593,2.75771878885088,0.32964939417358,0.259595127580144,0,-0.00252170908087438,-18334.8716640683
-4.70254913589748,-6.01436494068935,-4.55951947073441,-3.50009679708754,-5.26013851546579,-3.97561353607797,-3.56282872692184,-5.98425819169419,-4.17614211026359,-4.98210952896694,-4.97422429047578,-4.74501772385374,-5.32476080295246,-5.25385113329722,-1.13594736786498,-3.64999013346988,3.43183637225789,12.0000095308122,1.62059921322509,0.564286542712061,0.0242705115563501,12.0000340912924,1.93175204903095,-4.06183010346192,3.34232862523681,1.40915770037464,3.62912738596439,-1.95050496108202,-0.57330369805409,-0.0413366828671018,-2.2070913156613,-2.15994132962109,-0.00955044730032673,2.7306469885967,0.32337566016983,0.265065764149409,0,-0.00254426990844808,-18332.5635869851
-4.84069880653294,-6.34792395446689,-4.53735654163113,-3.45393016110179,-5.01629817659476,-3.90457546259448,-3.52279780781676,-5.54264081018873,-4.08435076220468,-4.89652532980897,-4.94893860305643,-4.59886254036327,-5.31479930128569,-5.3331162683229,-0.999523444560024,-3.5148225047225,3.22819278873683,12.0000238446711,1.51324817501814,0.715580027153452,-0.0483658577008812,12.0000687218154,2.28763131385481,-4.01133595426827,3.31583458277004,0.944741997538534,3.15510289353507,-1.84989318960172,-0.60091799216102,-0.0397754801723205,-2.16968224053035,-2.00852996571413,-0.00904483007745513,2.68347076951496,0.316106488429664,0.262334513420664,0,-0.00258389078871784,-18329.1896528609
-4.86875110573938,-6.33699631858223,-4.52139935784242,-3.43606621235964,-4.96674204274976,-3.88698030815812,-3.50932083173623,-5.44082450287143,-4.06845555525666,-4.89844009961585,-4.95778481466517,-4.5493004841388,-5.2942215553598,-5.35211765759007,-0.985248943998144,-3.53876960683232,3.17142072071473,12.0000276557588,1.50317056067006,0.749029585014637,-0.0357320518341538,12.0000778555042,2.38947358629015,-3.99904255344733,3.3521970151622,0.820038617943757,3.0203951446684,-1.82738842089473,-0.608006577397077,-0.0399968297628664,-2.14483016019395,-1.98127968522504,-0.00891391383657355,2.67787557803756,0.315851154701789,0.260862732154713,0,-0.00259599840645492,-18327.3630704059
