"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_msqd","c_psdn","B_d_d","B_unem_rate_part","B_unem_rate_nopart","w_cmck","w_jmck","w_msqd","w_psdn","w_nanc","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","lambda_part","lambda_laa","lambda_sba","lambda_mna","asc_no_participation","w_nopart","logLike"
0.985381880538956,1.34313461769096,-0.0220376697286978,-0.00444176777342789,-0.00838185655610858,2.37034445422926,-0.530825888582259,-5.00235802104812,-1.46221325039948,-0.716546485440824,0.254266867862212,0,-1.13255002165128,-1.01691895160204,-2.39941580910786,-1.05660644603911,-1.11754295074758,-4.81476297936609,-5.52983657290183,-4.92230946758583,-5.52092456974913,-4.47527456508185,-5.22018744262908,-4.69897488270282,-5.12208315484916,-4.56616454994597,-4.61479473292703,-5.04531894493099,-5.15896124513944,-4.8820397401011,-5.21142280576096,0.557458342549464,0.516709287363248,0.325192759420192,0.376079857549102,0,0,-1772.07762440842
0.980015144476885,1.47737096322118,-0.0218589430080496,-0.00464349817989873,-0.00917193016058729,2.31761992768269,-0.460909445980052,-5.00300432936687,-1.45125503768902,-0.576323048762763,0.248097226339039,0,-1.14766464415971,-1.01778172783074,-2.54935736454103,-1.09568282270755,-1.15496108638475,-4.77112896291735,-5.5486748531453,-4.91858642783016,-5.59035063561457,-4.35282453186354,-5.20025939217357,-4.70303285288879,-5.10383258545624,-4.55122040044138,-4.57327340477692,-5.07876290581948,-5.21290218453314,-4.89599492083536,-5.17119031793735,0.55746437164279,0.527450567432633,0.347026184166472,0.380250999416478,0,0,-1765.17023274115
1.0101621898346,1.59194524266663,-0.0246523466358068,-0.00472974773948051,-0.00927934801545377,2.34947820218108,-0.41340711724692,-5.00404460955123,-1.43357639478397,-0.430715873396371,0.23591830450433,0,-1.17076312723858,-1.01952289710112,-2.69090677733689,-1.15214537194387,-1.20198497076894,-4.66508428973234,-5.56434490336816,-4.88475163776728,-5.67812964422678,-4.40675498956857,-5.1533300917897,-4.70748103273245,-5.06230486449043,-4.52590822718586,-4.47488226551248,-5.11419201749508,-5.27836306142042,-4.9050566651072,-5.07098268794054,0.564463361642948,0.532689901354381,0.240077214570713,0.388584111119147,0,0,-1758.48835543233
1.0548837532604,1.68069367408239,-0.0282942853653357,-0.00459517094692631,-0.00820952476962463,2.38657408657463,-0.412379240386783,-5.00575980906694,-1.40492306767945,-0.283441916065547,0.222565949776874,0,-1.21725874984535,-1.02063379186864,-2.8381921404061,-1.2339810246496,-1.26395742034489,-4.50162415761196,-5.60375140910909,-4.80045910566805,-5.79234467699912,-4.54362881824295,-5.08621777390514,-4.73597440253139,-5.00391510717418,-4.48807668114712,-4.30504474291911,-5.14472289166661,-5.35798551128767,-4.92239193169723,-4.93519425138677,0.547343514729145,0.516781715249992,0.368910638262903,0.405158095581865,0,0,-1752.60909794929
1.10205498027574,1.65501794046443,-0.0233951373922913,-0.00454803801148584,-0.00580577609290295,2.41533521918497,-0.269231909394116,-5.01175520786128,-1.30744808083941,-0.337576230090511,0.201793816264207,0,-1.43169509595565,-1.01517684891843,-2.90246902440962,-1.47049845703747,-1.40705486005617,-4.21146143144641,-5.79459411605505,-4.42626099798536,-5.98505086514407,-4.43068185687784,-4.99792232483746,-5.13695917837297,-4.85442605993829,-4.48780130649487,-3.85152900220851,-5.10775269729221,-5.48200194090065,-4.82476628352084,-4.90029800220968,0.539708371243306,0.492027357454306,0.372689498917681,0.429929016545082,0,0,-1751.08075425668
1.09810535830704,2.07455454863282,-0.0390454555187612,-0.00503670890518931,-0.0118677086933024,2.42628060149058,0.043199288768901,-5.02829053682774,-1.0399729517131,-0.700079421339521,0.20583303406873,0,-2.02373315426351,-1.0156873608331,-2.75149427877905,-2.13456075540885,-1.76315858428791,-3.76500144460803,-6.24474687978776,-3.42142368087513,-6.31788546391888,-4.27434265484858,-5.01662357145937,-4.78809003289416,-4.5155688767263,-4.33662066491775,-3.04094368207362,-4.95094028014903,-5.70847110007176,-4.87854785582453,-5.20767251614585,0.570601263471909,0.523521832045054,0.349752154625383,0.511129598487756,0,0,-1729.10679817598
1.14052919681292,2.20975111025378,-0.0457917705762752,-0.00508616367647173,-0.0125541142314661,2.45202065560817,0.0481710582375736,-5.03169458341446,-0.989634782499899,-0.785634718990599,0.198443526211278,0,-2.12789442924222,-1.04793476966469,-2.76238464993507,-2.26522017794632,-1.73227987491779,-3.71187386818837,-6.31299431129468,-3.2995582376022,-6.37556963585264,-4.25928725626114,-5.02875078016547,-4.75655250683572,-4.48075057216452,-4.26279577603713,-3.08245503959202,-4.90277608780922,-5.71468977761266,-4.69643886171913,-5.20006846339887,0.575255275119185,0.537745532040069,0.358773311865756,0.530937697501917,0,0,-1716.72711013975
1.17450427244217,2.13379167887637,-0.0404683072081963,-0.00365224335089576,-0.0153555557238239,2.31548618729553,0.160601904874389,-5.04184274800275,-0.853228792584236,-1.0296088262312,0.192632803121507,0,-2.29294687600515,-1.25110420973214,-3.02567674347798,-2.48113807233267,-1.32004792107289,-3.83833306270164,-6.27999308262138,-3.52450005543786,-6.46376343090039,-4.20596393853012,-4.97857284814575,-4.46020162246398,-4.49366744238877,-4.58933943813309,-3.06059278653727,-4.680611662679,-5.52078791508553,-4.49659754838417,-4.78515163971388,0.544515242441213,0.534535811584753,0.335683460671756,0.524806791191377,0,0,-1690.40569347824
1.1545166736203,2.08091751252662,-0.0388818798583952,-0.00352357203975161,-0.0144659894827826,2.2660593890503,0.188772762911119,-5.04306624251349,-0.850179460624778,-1.00298835801957,0.19397088585798,0,-2.27936868235858,-1.25569154338976,-3.06252355493822,-2.47341196175507,-1.33240021007927,-3.84461033387973,-6.23506219935342,-3.55415076483651,-6.44560502711974,-4.23164447920008,-4.93802719371361,-4.45495525177607,-4.52650026669208,-4.55804107926095,-3.11476846497359,-4.6631329908459,-5.46998795174158,-4.50126514823116,-4.79605571229087,0.535521816321255,0.528526152835427,0.327321157449146,0.519743609256492,0,0,-1686.56234069061
1.15507292569173,2.01222201839264,-0.0393740276227103,-0.00335280343945593,-0.0131967733266873,2.26618650758269,0.185437061837826,-5.04494730818571,-0.855015584781985,-0.882045291718184,0.19209855411372,0,-2.24432814820307,-1.25849458932678,-3.10310592344346,-2.43045514583232,-1.38110230670578,-3.93612192050525,-6.16000640934387,-3.6120858686398,-6.38814254109626,-4.25292276866961,-4.9163050645489,-4.4415874905014,-4.51998182998494,-4.54600639472644,-3.13074526424351,-4.64820931849631,-5.37405887661618,-4.44677931792583,-4.85581276421207,0.527700244340576,0.522250340799678,0.325868257303971,0.516800011624766,0,0,-1681.78060337894
