LANDING_YEAR,PORT_NAME,SDM_90,AGENCY_CODE
2004,HUNTINGTON BEACH,2.897205565,C
2004,ILWACO,NA,W
2004,LACONNER,NA,W
2004,LONG BEACH,2.897539828,C
2004,LOS ANGELES,3.078126314,C
2004,MISSION BAY,2.391374552,C
2004,MONTEREY,0.763323438,C
2004,MORRO BAY,1.540752671,C
2004,MOSS LANDING,0.948436038,C
2004,NASELLE,NA,W
2004,NATIONAL CITY,2.431179283,C
2004,NEAH BAY,NA,W
2004,NEWPORT,NA,O
2004,NEWPORT BEACH,2.899006594,C
2004,OCEANSIDE,2.626704618,C
2004,OXNARD,2.822695718,C
2004,PLAYA DEL REY,2.897539828,C
2004,POINT LOMA,2.381748482,C
2004,PORT HUENEME,2.779567977,C
2004,PORT ORFORD,0.955082118,O
2004,PRINCETON / HALF MOON BAY,0.944385192,C
2004,REDONDO BEACH,2.895295978,C
2004,RICHMOND,1.165215712,C
2004,SAN DIEGO,2.310630346,C
2004,SAN FRANCISCO,1.087308717,C
2004,SAN PEDRO,2.869101473,C
2004,SAN SIMEON,1.184214442,C
2004,SANTA BARBARA,2.562156288,C
2004,SANTA CRUZ,0.944796815,C
2004,SANTA MONICA,2.996418896,C
2004,SAUSALITO,0.807438981,C
2004,SEAL BEACH,2.931307373,C
2004,SHELTER COVE,0.302624709,C
2004,SOUTH SAN FRANCISCO,1.002178215,C
2004,TACOMA,NA,W
2004,TERMINAL ISLAND,2.887507229,C
2004,THE DALLES,NA,W
2004,VALLEJO,1.442306385,C
2004,VENTURA,2.845128124,C
2004,WESTPORT,NA,W
2004,WHIDBY ISLAND,NA,W
2004,WILLOW CREEK,1.417089733,C
2004,WILMINGTON,2.897539828,C
2004,WINCHESTER BAY,2.950334837,O
2005,ABERDEEN,NA,W
2005,ALAMEDA,1.75975617,C
2005,ANACORTES,NA,W
2005,ASTORIA,NA,O
2005,AVALON,3.393122583,C
2005,AVILA,2.300390021,C
2005,BELLINGHAM BAY,NA,W
2005,BERKELEY,1.796170974,C
2005,BODEGA BAY,0.6005457,C
2005,CATALINA ISLAND,3.397551271,C
2005,CHARLESTON (COOS BAY),1.806203709,O
2005,CHINOOK,NA,W
2005,CRESCENT CITY,1.536291654,C
2005,DANA POINT,3.57649968,C
2005,DILLON BEACH,0.706808595,C
2005,EMERYVILLE,1.756540466,C
2005,EUREKA,0.812270871,C
2005,FIELDS LANDING,0.655450386,C
2005,FORT BRAGG,0.124108949,C
2005,GARIBALDI (TILLAMOOK),NA,O
2005,GAVIOTA,2.622343435,C
2005,GOLETA,2.945150158,C
2005,GUADALUPE,2.462672677,C
2005,HUMBOLDT,1.018829938,C
2005,HUNTINGTON BEACH,3.687999452,C
2005,ILWACO,NA,W
2005,LACONNER,NA,W
