PORT_NAME,AGENCY_CODE,LANDING_YEAR,Model_Predictions
GOLETA,C,2000,2.38610591566333
GOLETA,C,2006,2.48932743389933
GOLETA,C,2001,2.63510074877246
GOLETA,C,1998,2.77763981404465
GOLETA,C,1999,2.47346194563796
GOLETA,C,2007,2.36262068458647
GOLETA,C,2002,3.47156583004833
GOLETA,C,2010,1.60300998066312
GOLETA,C,2005,2.49246742709297
GOLETA,C,2013,5.19657930247779
GOLETA,C,2008,3.12751241877652
GOLETA,C,2003,3.00543918626079
GOLETA,C,2011,1.96593386162621
GOLETA,C,2019,2.82899812918157
GOLETA,C,2014,7.39972236205326
GOLETA,C,2009,3.09668718797633
GOLETA,C,2004,1.80342582028881
GOLETA,C,2012,6.57090080287144
GOLETA,C,2021,2.68390412011788
GOLETA,C,2015,3.56973558978937
GOLETA,C,2016,3.26467668565444
GOLETA,C,2018,5.58225053495271
GOLETA,C,2017,5.33829988383299
GUADALUPE,C,2005,2.19637836448182
GUADALUPE,C,2000,2.55990936623901
GUADALUPE,C,2002,1.61877927709584
GUADALUPE,C,1998,1.21724917539023
GUADALUPE,C,2006,1.87565998845487
GUADALUPE,C,2001,2.88971682513907
GUADALUPE,C,2003,1.73898542217938
GUADALUPE,C,2004,1.46054946952542
GUADALUPE,C,1999,1.65887681715961
GUADALUPE,C,2007,1.00732056245006
GUADALUPE,C,2015,2.58944714772732
GUADALUPE,C,2010,0.643203441510177
GUADALUPE,C,2018,2.4266794268433
GUADALUPE,C,2013,1.25048621648774
GUADALUPE,C,2008,0.984803726883685
GUADALUPE,C,2016,1.10870899682312
GUADALUPE,C,2011,1.76268585995446
GUADALUPE,C,2019,1.5300050466384
GUADALUPE,C,2014,4.61398100480893
GUADALUPE,C,2009,3.6607104042517302
GUADALUPE,C,2017,3.24257193975774
GUADALUPE,C,2012,3.57982551873459
GUADALUPE,C,2021,2.02565891175115
HUMBOLDT,C,2001,1.51314506471244
HUMBOLDT,C,2000,1.21429394054133
HUMBOLDT,C,2002,0.704025729358187
HUMBOLDT,C,2003,1.06854515654271
HUMBOLDT,C,1998,0.495421261453621
HUMBOLDT,C,2006,1.15995054282528
HUMBOLDT,C,2014,1.63481816354843
HUMBOLDT,C,2009,0.565228057546433
HUMBOLDT,C,2004,1.16185937923001
HUMBOLDT,C,1999,0.495039508614593
HUMBOLDT,C,2007,1.15197763969238
HUMBOLDT,C,2015,1.08795856739371
HUMBOLDT,C,2010,0.906025779448066
HUMBOLDT,C,2005,1.44898945549412
HUMBOLDT,C,2013,1.33439496094272
HUMBOLDT,C,2008,1.64084855627552
HUMBOLDT,C,2016,0.760234587637718
HUMBOLDT,C,2011,0.745268344323044
HUMBOLDT,C,2019,0.433253255846048
HUMBOLDT,C,2021,0.970626340638036
HUMBOLDT,C,2017,1.35962347574582
HUMBOLDT,C,2012,0.722218345239352
HUMBOLDT,C,2018,1.14899478202326
HUNTINGTON BEACH,C,2000,2.38610591566333
HUNTINGTON BEACH,C,2006,2.48932743389933
HUNTINGTON BEACH,C,2001,2.63510074877246
HUNTINGTON BEACH,C,1998,2.77763981404465
HUNTINGTON BEACH,C,1999,2.47346194563796
HUNTINGTON BEACH,C,2007,2.36262068458647
HUNTINGTON BEACH,C,2002,3.47156583004833
HUNTINGTON BEACH,C,2010,1.60300998066312
HUNTINGTON BEACH,C,2005,2.49246742709297
HUNTINGTON BEACH,C,2013,5.19657930247779
HUNTINGTON BEACH,C,2008,3.12751241877652
HUNTINGTON BEACH,C,2003,3.00543918626079
HUNTINGTON BEACH,C,2011,1.96593386162621
HUNTINGTON BEACH,C,2019,2.82899812918157
HUNTINGTON BEACH,C,2014,7.39972236205326
HUNTINGTON BEACH,C,2009,3.09668718797633
HUNTINGTON BEACH,C,2004,1.80342582028881
HUNTINGTON BEACH,C,2012,6.57090080287144
HUNTINGTON BEACH,C,2021,2.68390412011788
HUNTINGTON BEACH,C,2015,3.56973558978937
HUNTINGTON BEACH,C,2016,3.26467668565444
HUNTINGTON BEACH,C,2018,5.58225053495271
HUNTINGTON BEACH,C,2017,5.33829988383299
LONG BEACH,C,2000,2.38610591566333
LONG BEACH,C,2006,2.48932743389933
LONG BEACH,C,2001,2.63510074877246
LONG BEACH,C,1998,2.77763981404465
LONG BEACH,C,1999,2.47346194563796
LONG BEACH,C,2007,2.36262068458647
LONG BEACH,C,2002,3.47156583004833
LONG BEACH,C,2010,1.60300998066312
LONG BEACH,C,2005,2.49246742709297
LONG BEACH,C,2013,5.19657930247779
LONG BEACH,C,2008,3.12751241877652
LONG BEACH,C,2003,3.00543918626079
LONG BEACH,C,2011,1.96593386162621
LONG BEACH,C,2019,2.82899812918157
LONG BEACH,C,2014,7.39972236205326
LONG BEACH,C,2009,3.09668718797633
LONG BEACH,C,2004,1.80342582028881
LONG BEACH,C,2012,6.57090080287144
LONG BEACH,C,2021,2.68390412011788
LONG BEACH,C,2015,3.56973558978937
LONG BEACH,C,2016,3.26467668565444
LONG BEACH,C,2018,5.58225053495271
LONG BEACH,C,2017,5.33829988383299
LOS ANGELES,C,2000,2.38610591566333
LOS ANGELES,C,2006,2.48932743389933
LOS ANGELES,C,2001,2.63510074877246
LOS ANGELES,C,1998,2.77763981404465
LOS ANGELES,C,1999,2.47346194563796
LOS ANGELES,C,2007,2.36262068458647
LOS ANGELES,C,2002,3.47156583004833
LOS ANGELES,C,2010,1.60300998066312
LOS ANGELES,C,2005,2.49246742709297
LOS ANGELES,C,2013,5.19657930247779
LOS ANGELES,C,2008,3.12751241877652
LOS ANGELES,C,2003,3.00543918626079
LOS ANGELES,C,2011,1.96593386162621
LOS ANGELES,C,2019,2.82899812918157
LOS ANGELES,C,2014,7.39972236205326
LOS ANGELES,C,2009,3.09668718797633
LOS ANGELES,C,2004,1.80342582028881
LOS ANGELES,C,2012,6.57090080287144
LOS ANGELES,C,2021,2.68390412011788
LOS ANGELES,C,2015,3.56973558978937
LOS ANGELES,C,2016,3.26467668565444
LOS ANGELES,C,2018,5.58225053495271
LOS ANGELES,C,2017,5.33829988383299
MISSION BAY,C,2000,2.38610591566333
MISSION BAY,C,2006,2.48932743389933
MISSION BAY,C,2001,2.63510074877246
MISSION BAY,C,1998,2.77763981404465
MISSION BAY,C,1999,2.47346194563796
MISSION BAY,C,2007,2.36262068458647
MISSION BAY,C,2002,3.47156583004833
MISSION BAY,C,2010,1.60300998066312
MISSION BAY,C,2005,2.49246742709297
MISSION BAY,C,2013,5.19657930247779
MISSION BAY,C,2008,3.12751241877652
MISSION BAY,C,2003,3.00543918626079
MISSION BAY,C,2011,1.96593386162621
MISSION BAY,C,2019,2.82899812918157
MISSION BAY,C,2014,7.39972236205326
MISSION BAY,C,2009,3.09668718797633
MISSION BAY,C,2004,1.80342582028881
MISSION BAY,C,2012,6.57090080287144
MISSION BAY,C,2021,2.68390412011788
MISSION BAY,C,2015,3.56973558978937
MISSION BAY,C,2016,3.26467668565444
MISSION BAY,C,2018,5.58225053495271
MISSION BAY,C,2017,5.33829988383299
MONTEREY,C,1998,0.574709470332484
MONTEREY,C,2006,0.967116879769868
MONTEREY,C,2001,1.51659320980842
MONTEREY,C,2009,1.29669949187802
MONTEREY,C,2004,0.90153255230997
MONTEREY,C,1999,0.830507237803677
MONTEREY,C,2007,0.744933230208952
MONTEREY,C,2002,1.78806907748558
MONTEREY,C,2010,0.478957087082936
MONTEREY,C,2005,1.31973096706881
MONTEREY,C,2000,1.47923375891182
MONTEREY,C,2008,0.520479530553433
MONTEREY,C,2003,0.920584695145975
MONTEREY,C,2011,0.963823508210615
MONTEREY,C,2019,1.19891207125343
MONTEREY,C,2014,2.53439460979448
MONTEREY,C,2015,3.61548329784928
MONTEREY,C,2017,2.61537041513105
MONTEREY,C,2012,1.50159246514854
MONTEREY,C,2021,1.76878622368137
MONTEREY,C,2016,0.865323273363103
MONTEREY,C,2018,2.94422870303162
MONTEREY,C,2013,1.77657585958392
MORRO BAY,C,2005,2.19637836448182
MORRO BAY,C,2000,2.55990936623901
MORRO BAY,C,2002,1.61877927709584
MORRO BAY,C,1998,1.21724917539023
MORRO BAY,C,2006,1.87565998845487
MORRO BAY,C,2001,2.88971682513907
MORRO BAY,C,2003,1.73898542217938
MORRO BAY,C,2004,1.46054946952542
MORRO BAY,C,1999,1.65887681715961
MORRO BAY,C,2007,1.00732056245006
MORRO BAY,C,2015,2.58944714772732
MORRO BAY,C,2010,0.643203441510177
MORRO BAY,C,2018,2.4266794268433
MORRO BAY,C,2013,1.25048621648774
MORRO BAY,C,2008,0.984803726883685
MORRO BAY,C,2016,1.10870899682312
MORRO BAY,C,2011,1.76268585995446
MORRO BAY,C,2019,1.5300050466384
MORRO BAY,C,2014,4.61398100480893
MORRO BAY,C,2009,3.6607104042517302
MORRO BAY,C,2017,3.24257193975774
MORRO BAY,C,2012,3.57982551873459
MORRO BAY,C,2021,2.02565891175115
MOSS LANDING,C,1998,0.574709470332484
MOSS LANDING,C,2006,0.967116879769868
MOSS LANDING,C,2001,1.51659320980842
MOSS LANDING,C,2009,1.29669949187802
MOSS LANDING,C,2004,0.90153255230997
MOSS LANDING,C,1999,0.830507237803677
MOSS LANDING,C,2007,0.744933230208952
MOSS LANDING,C,2002,1.78806907748558
MOSS LANDING,C,2010,0.478957087082936
MOSS LANDING,C,2005,1.31973096706881
MOSS LANDING,C,2000,1.47923375891182
MOSS LANDING,C,2008,0.520479530553433
MOSS LANDING,C,2003,0.920584695145975
MOSS LANDING,C,2011,0.963823508210615
MOSS LANDING,C,2019,1.19891207125343
MOSS LANDING,C,2014,2.53439460979448
MOSS LANDING,C,2015,3.61548329784928
MOSS LANDING,C,2017,2.61537041513105
MOSS LANDING,C,2012,1.50159246514854
MOSS LANDING,C,2021,1.76878622368137
MOSS LANDING,C,2016,0.865323273363103
MOSS LANDING,C,2018,2.94422870303162
MOSS LANDING,C,2013,1.77657585958392
"NATIONAL CITY",C,2000,2.38610591566333
"NATIONAL CITY",C,2006,2.48932743389933
"NATIONAL CITY",C,2001,2.63510074877246
"NATIONAL CITY",C,1998,2.77763981404465
"NATIONAL CITY",C,1999,2.47346194563796
"NATIONAL CITY",C,2007,2.36262068458647
"NATIONAL CITY",C,2002,3.47156583004833
"NATIONAL CITY",C,2010,1.60300998066312
"NATIONAL CITY",C,2005,2.49246742709297
"NATIONAL CITY",C,2013,5.19657930247779
"NATIONAL CITY",C,2008,3.12751241877652
"NATIONAL CITY",C,2003,3.00543918626079
"NATIONAL CITY",C,2011,1.96593386162621
