LANDING_YEAR,PORT_NAME,SDM_90_JS_prob,AGENCY_CODE
2003,SAN FRANCISCO,0.424640246,C
2003,SAN PEDRO,0.98452522,C
2003,SAN SIMEON,0.49667205,C
2003,SANTA BARBARA,0.968607474,C
2003,SANTA CRUZ,0.393079008,C
2003,SANTA MONICA,0.986298012,C
2003,SAUSALITO,0.323717746,C
2003,SEAL BEACH,0.98720597,C
2003,SHELTER COVE,0.256624608,C
2003,SOUTH SAN FRANCISCO,0.392587685,C
2003,TACOMA,NA,W
2003,TERMINAL ISLAND,0.985245809,C
2003,THE DALLES,NA,W
2003,VALLEJO,0.538205174,C
2003,VENTURA,0.983411733,C
2003,WESTPORT,NA,W
2003,WHIDBY ISLAND,NA,W
2003,WILLOW CREEK,0.544915125,C
2003,WILMINGTON,0.985228862,C
2003,WINCHESTER BAY,0.670414964,O
2004,ABERDEEN,NA,W
2004,ALAMEDA,0.53860774,C
2004,ANACORTES,NA,W
2004,ASTORIA,NA,O
2004,AVALON,0.917016207,C
2004,AVILA,0.556804082,C
2004,BELLINGHAM BAY,NA,W
2004,BERKELEY,0.557930811,C
2004,BODEGA BAY,0.33767416,C
2004,CATALINA ISLAND,0.917510944,C
2004,CHARLESTON (COOS BAY),0.341633497,O
2004,CHINOOK,NA,W
2004,CRESCENT CITY,0.358806446,C
2004,DANA POINT,0.959159209,C
2004,DILLON BEACH,0.353570151,C
2004,EMERYVILLE,0.542032788,C
2004,EUREKA,0.292168569,C
2004,FIELDS LANDING,0.260149103,C
2004,FORT BRAGG,0.25291946,C
2004,GARIBALDI (TILLAMOOK),NA,O
2004,GAVIOTA,0.664464123,C
2004,GOLETA,0.765120251,C
2004,GUADALUPE,0.604973373,C
2004,HUMBOLDT,0.386843372,C
2004,HUNTINGTON BEACH,0.945931395,C
2004,ILWACO,NA,W
2004,LACONNER,NA,W
2004,LONG BEACH,0.935940405,C
2004,LOS ANGELES,0.944144593,C
2004,MISSION BAY,0.98372348,C
2004,MONTEREY,0.314063538,C
2004,MORRO BAY,0.542983603,C
2004,MOSS LANDING,0.383911372,C
2004,NASELLE,NA,W
