LANDING_YEAR,PORT_NAME,AGENCY_CODE,SDM_90_JS_CPUE
2004,ILWACO,W,NA
2004,LACONNER,W,NA
2004,LONG BEACH,C,2.274011842158331
2004,LOS ANGELES,C,2.426008354171662
2004,MISSION BAY,C,2.1094690167916528
2004,MONTEREY,C,0.7810201671078957
2004,MORRO BAY,C,1.4739240148857438
2004,MOSS LANDING,C,0.9966613549984128
2004,"NASELLE",W,NA
2004,"NATIONAL CITY",C,2.237647803820922
2004,NEAH BAY,W,NA
2004,NEWPORT,O,NA
2004,NEWPORT BEACH,C,2.3160371293812023
2004,OCEANSIDE,C,2.241810574253229
2004,OXNARD,C,2.380759581557418
2004,PLAYA DEL REY,C,2.274011842158331
2004,POINT LOMA,C,2.1009499526003386
2004,PORT HUENEME,C,2.336368884508909
2004,PRINCETON / HALF MOON BAY,C,0.911339774479131
2004,REDONDO BEACH,C,2.270145368667161
2004,SAN DIEGO,C,2.100767510063327
2004,SAN FRANCISCO,C,1.00885910365367
2004,SAN PEDRO,C,2.246948554357998
2004,SAN SIMEON,C,1.157238862745989
2004,SANTA BARBARA,C,2.2481486590008397
2004,SANTA CRUZ,C,0.971313356344598
2004,SANTA MONICA,C,2.3946847107696208
2004,SEAL BEACH,C,2.3035346937241648
2004,TACOMA,W,NA
2004,TERMINAL ISLAND,C,2.261895477949637
2004,VALLEJO,C,1.3003549884819126
2004,VENTURA,C,2.4173670404085836
2004,WESTPORT,W,NA
2004,WILLOW CREEK,C,1.4134275862618204
2004,WILMINGTON,C,2.274011842158331
2004,WINCHESTER BAY,O,2.3012111791007417
2005,ABERDEEN,W,NA
2005,ALAMEDA,C,1.7961764509384952
2005,ANACORTES,W,NA
2005,ASTORIA,O,NA
2005,AVALON,C,3.1659434859199616
2005,AVILA,C,2.3307566322181628
2005,BELLINGHAM BAY,W,NA
2005,BERKELEY,C,1.8431499919007073
2005,BODEGA BAY,C,0.6854156187699975
2005,CATALINA ISLAND,C,3.175572339476267
2005,CHARLESTON (COOS BAY),O,1.7896263278610987
2005,CRESCENT CITY,C,1.6023708845961129
2005,DANA POINT,C,3.302232434863157
2005,DILLON BEACH,C,0.7844365774932199
2005,EUREKA,C,0.8853327532960704
2005,FORT BRAGG,C,0.18672443409201978
2005,GARIBALDI (TILLAMOOK),O,NA
2005,GAVIOTA,C,2.684037365496225
2005,GOLETA,C,2.9144176871003595
2005,GUADALUPE,C,2.490220689931803
2005,HUMBOLDT,C,1.1210042395768505
2005,HUNTINGTON BEACH,C,3.4114827859076593
2005,ILWACO,W,NA
2005,LACONNER,W,NA
2005,LONG BEACH,C,3.4238774434719037
2005,LOS ANGELES,C,3.639730677932277
2005,MISSION BAY,C,2.8391050039118753
2005,MONTEREY,C,1.2476537092949598
2005,MORRO BAY,C,2.288988153754774
2005,MOSS LANDING,C,1.5135408878021859
2005,"NASELLE",W,NA
2005,"NATIONAL CITY",C,3.0394288441437753
2005,NEAH BAY,W,NA
2005,NEWPORT,O,NA
2005,NEWPORT BEACH,C,3.3997510840359175
2005,OCEANSIDE,C,3.1232648630856454
2005,OXNARD,C,3.454619112951227
2005,PLAYA DEL REY,C,3.4238774434719037
2005,POINT LOMA,C,2.813789671653171
2005,PORT HUENEME,C,3.4095124674771253
2005,PRINCETON / HALF MOON BAY,C,1.3941911447740851
2005,REDONDO BEACH,C,3.4264435535645927
