"VESSEL_NUM","AVG_REVENUE","LAT","DISTANCE_A","Percentage","diversity","group_all"
"532023",718373.4341455,37.4247766695847,76047.6643032921,0.78234720438196,1.11658582646112,4
"538663",11602.54622,33.9699103393697,102129.553596696,0.808873350904867,1,1
"542076",29377.0222,46.887187,0,0.999619770856149,1.02606420908683,6
"542513",435824.171842375,33.968692616054,244573.05969076,0.984709019243177,1.73351103784429,7
"547850",27916.6983,33.732368,0,1,1,1
"549243",645119.352402,36.0388738545817,1134758.96091287,1,1.66128981426184,5
"549506",2822143.6647884,33.9669775068021,237929.495670598,0.93682106488779,1.26915711965311,4
"550564",967336.861098,33.7372691778787,20030.0811528996,0.922895777676311,1.13326351749185,4
"553607",93172.5635175,33.7326641862792,1830.13353230098,0.40398477664973,1.000873370973,2
"553750",25840.112025,33.7280076972538,19366.4600929011,0.995419214905668,1,1
"557621",149393.8839185,33.732368,0,1,1,1
