year,port,SDM_mean
1988,TLA,0.21410698902995315
1988,NPA,0.20872767792229613
1988,CBA,0.20289268046350398
1988,BRA,0.20685398799586768
1988,OR1,NaN
1988,CCA,0.2105544456997528
1988,ERA,0.22282616549405218
1988,BGA,0.24646798666979408
1988,BDA,0.26925787514340876
1988,SFA,0.28179633381998875
1988,MNA,0.2766416926977027
1988,MRA,0.2626920593874195
1988,SBA,0.22665850120743056
1988,LAA,0.1811814633803376
1988,SDA,0.14156006038922847
1988,CA2,NaN
1989,NPS,0.24200874351878285
1989,SPS,0.25907230672136894
1989,CWA,0.22387602594191142
1989,CLW,0.22907979081374052
1989,WA5,NaN
1989,CLO,0.2307506865382489
1989,TLA,0.23035381573516067
1989,NPA,0.22659301235754323
1989,CBA,0.2230422344341597
1989,BRA,0.23224004285024846
