LANDING_YEAR,LANDING_MONTH,length_month_MSQD,days_open_month_MSQD,MSQD.Open
2013,9,30,30,1
2013,10,31,31,1
2013,11,30,30,1
2013,12,31,31,1
2014,1,31,31,1
2014,2,28,28,1
2014,3,31,31,1
2014,4,30,30,1
2014,5,31,31,1
2014,6,30,30,1
2014,7,31,31,1
2014,8,31,31,1
2014,9,30,30,1
2014,10,31,31,1
2014,11,30,30,1
2014,12,31,31,1
2015,1,31,31,1
2015,2,28,28,1
2015,3,31,31,1
2015,4,30,30,1
2015,5,31,31,1
2015,6,30,30,1
2015,7,31,31,1
2015,8,31,31,1
2015,9,30,30,1
2015,10,31,31,1
2015,11,30,30,1
2015,12,31,31,1
2016,1,31,31,1
2016,2,29,29,1
2016,3,31,31,1
2016,4,30,30,1
2016,5,31,31,1
2016,6,30,30,1
2016,7,31,31,1
2016,8,31,31,1
2016,9,30,30,1
2016,10,31,31,1
2016,11,30,30,1
2016,12,31,31,1
2017,1,31,31,1
2017,2,28,28,1
2017,3,31,31,1
2017,4,30,30,1
2017,5,31,31,1
2017,6,30,30,1
2017,7,31,31,1
2017,8,31,31,1
2017,9,30,30,1
2017,10,31,31,1
2017,11,30,30,1
2017,12,31,31,1
2018,1,31,31,1
2018,2,28,28,1
2018,3,31,31,1
2018,4,30,30,1
2018,5,31,31,1
2018,6,30,30,1
2018,7,31,31,1
2018,8,31,31,1
2018,9,30,30,1
2018,10,31,31,1
2018,11,30,30,1
2018,12,31,31,1
2019,1,31,31,1
2019,2,28,28,1
2019,3,31,31,1
2019,4,30,30,1
2019,5,31,31,1
2019,6,30,30,1
2019,7,31,31,1
2019,8,31,31,1
2019,9,30,30,1
2019,10,31,31,1
2019,11,30,30,1
2019,12,31,31,1
2020,1,31,31,1
2020,2,29,29,1
2020,3,31,31,1
2020,4,30,30,1
2020,5,31,31,1
2020,6,30,30,1
2020,7,31,31,1
2020,8,31,31,1
2020,9,30,30,1
2020,10,31,31,1
2020,11,30,30,1
2020,12,31,31,1
