LANDING_YEAR,LANDING_MONTH,LANDING_DAY,PORT_AREA_CODE,MSQD_SPAWN_SDM_30,MSQD_SPAWN_SDM_90,MSQD_SPAWN_SDM_220
2000,11,14,NPS,0,0.003215434,0.013484358
2000,11,15,NPS,0,0.003215434,0.013484358
2000,11,16,NPS,0,0.003215434,0.013484358
2000,11,17,NPS,0,0,0.014023732
2000,11,18,NPS,0,0,0.014563107
2000,11,19,NPS,0,0,0.013484358
2000,11,20,NPS,0,0,0.011866235
2000,11,21,NPS,0,0,0.013484358
2000,11,22,NPS,0,0,0.012405609
2000,11,23,NPS,0,0,0.011866235
2000,11,24,NPS,0,0,0.012405609
2000,11,25,NPS,0,0,0.011866235
2000,11,26,NPS,0,0,0.012944984
2000,11,27,NPS,0,0,0.012944984
2000,11,28,NPS,0,0,0.014023732
2000,11,29,NPS,0,0,0.013484358
2000,11,30,NPS,0,0,0.012944984
2000,11,1,SPS,0,0,0.02420242
2000,11,2,SPS,0,0,0.02420242
2000,11,3,SPS,0,0,0.02420242
2000,11,4,SPS,0,0,0.02420242
2000,11,5,SPS,0,0,0.021452145
2000,11,6,SPS,0,0,0.01980198
2000,11,7,SPS,0,0,0.01870187
2000,11,8,SPS,0,0,0.01870187
2000,11,9,SPS,0,0,0.01760176
2000,11,10,SPS,0,0,0.01540154
2000,11,11,SPS,0,0,0.01540154
2000,11,12,SPS,0,0,0.01540154
2000,11,13,SPS,0,0,0.01650165
2000,11,14,SPS,0,0,0.01650165
2000,11,15,SPS,0,0,0.01650165
2000,11,16,SPS,0,0,0.01650165
2000,11,17,SPS,0,0,0.017051705
2000,11,18,SPS,0,0,0.01760176
2000,11,19,SPS,0,0,0.017051705
2000,11,20,SPS,0,0,0.01760176
2000,11,21,SPS,0,0,0.019251925
2000,11,22,SPS,0,0,0.019251925
2000,11,23,SPS,0,0,0.01870187
2000,11,24,SPS,0,0,0.01980198
2000,11,25,SPS,0,0,0.02090209
2000,11,26,SPS,0,0,0.0220022
2000,11,27,SPS,0,0,0.02310231
2000,11,28,SPS,0,0,0.02310231
2000,11,29,SPS,0,0,0.023652365
2000,11,30,SPS,0,0,0.023652365
2000,11,1,CWA,0.205882353,0.101639344,0.024889381
2000,11,2,CWA,0.205882353,0.101639344,0.024889381
2000,11,3,CWA,0.205882353,0.101639344,0.024889381
2000,11,4,CWA,0.205882353,0.101639344,0.024889381
2000,11,5,CWA,0.205882353,0.08852459,0.022123894
2000,11,6,CWA,0.205882353,0.085245902,0.019911504
2000,11,7,CWA,0.205882353,0.078688525,0.01880531
2000,11,8,CWA,0.205882353,0.078688525,0.01880531
2000,11,9,CWA,0.205882353,0.075409836,0.017699115
2000,11,10,CWA,0.205882353,0.068852459,0.015486726
2000,11,11,CWA,0.205882353,0.068852459,0.015486726
2000,11,12,CWA,0.205882353,0.068852459,0.015486726
2000,11,13,CWA,0.205882353,0.075409836,0.017146018
2000,11,14,CWA,0.205882353,0.075409836,0.017146018
2000,11,15,CWA,0.205882353,0.075409836,0.017146018
2000,11,16,CWA,0.205882353,0.075409836,0.017146018
2000,11,17,CWA,0.205882353,0.075409836,0.017699115
2000,11,18,CWA,0.205882353,0.075409836,0.018252212
2000,11,19,CWA,0.205882353,0.072131148,0.017699115
2000,11,20,CWA,0.205882353,0.075409836,0.017699115
2000,11,21,CWA,0.205882353,0.078688525,0.020464602
2000,11,22,CWA,0.205882353,0.078688525,0.019911504
2000,11,23,CWA,0.205882353,0.075409836,0.019358407
2000,11,24,CWA,0.235294118,0.081967213,0.020464602
2000,11,25,CWA,0.205882353,0.08852459,0.021570796
2000,11,26,CWA,0.205882353,0.095081967,0.022676991
2000,11,27,CWA,0.205882353,0.095081967,0.023783186
2000,11,28,CWA,0.205882353,0.098360656,0.023783186
2000,11,29,CWA,0.205882353,0.098360656,0.025442478
2000,11,30,CWA,0.235294118,0.095081967,0.026548673
2000,11,1,CLW,0.272727273,0.05704698,0.027072758
2000,11,2,CLW,0.272727273,0.05704698,0.026508742
2000,11,3,CLW,0.272727273,0.05704698,0.027072758
2000,11,4,CLW,0.272727273,0.05704698,0.026508742
2000,11,5,CLW,0.212121212,0.046979866,0.023688663
2000,11,6,CLW,0.181818182,0.040268456,0.021996616
2000,11,7,CLW,0.181818182,0.040268456,0.020304569
2000,11,8,CLW,0.181818182,0.040268456,0.019740553
2000,11,9,CLW,0.181818182,0.040268456,0.018612521
2000,11,10,CLW,0.181818182,0.040268456,0.016920474
2000,11,11,CLW,0.181818182,0.040268456,0.015792442
2000,11,12,CLW,0.181818182,0.040268456,0.015792442
2000,11,13,CLW,0.181818182,0.040268456,0.016920474
2000,11,14,CLW,0.181818182,0.040268456,0.016920474
2000,11,15,CLW,0.181818182,0.040268456,0.01748449
2000,11,16,CLW,0.181818182,0.040268456,0.01748449
2000,11,17,CLW,0.181818182,0.040268456,0.018612521
2000,11,18,CLW,0.181818182,0.040268456,0.018048505
2000,11,19,CLW,0.181818182,0.040268456,0.018048505
2000,11,20,CLW,0.181818182,0.043624161,0.018612521
2000,11,21,CLW,0.181818182,0.043624161,0.0214326
2000,11,22,CLW,0.181818182,0.043624161,0.0214326
2000,11,23,CLW,0.181818182,0.043624161,0.0214326
2000,11,24,CLW,0.212121212,0.046979866,0.022560632
2000,11,25,CLW,0.272727273,0.05704698,0.023688663
2000,11,26,CLW,0.272727273,0.05704698,0.024816695
