LANDING_YEAR,LANDING_MONTH,LANDING_DAY,PORT_AREA_CODE,PSDN_SDM_30,PSDN_SDM_60,PSDN_SDM_90,PSDN_SDM_220
2001,1,15,ERA,0.17008848275457109,0.17230369022180295,0.18395960222983707,0.23839468793756158
2001,1,16,ERA,0.15987389108964375,0.16482147728574686,0.1747073120828988,0.2243820389435136
2001,1,17,ERA,0.15149328538349696,0.1592622160397727,0.17276539075849712,0.22657077048833554
2001,1,18,ERA,0.15027239386524474,0.1544851509147677,0.16992694258257962,0.22683100899648384
2001,1,19,ERA,0.16061589121818542,0.16434854423177653,0.1824011500870836,0.2398875868972942
2001,1,20,ERA,0.14807943254709244,0.14786653683103365,0.17165551377811294,0.2563351926101735
2001,1,21,ERA,0.14127878259335244,0.14448280979333253,0.1727589523230774,0.248047519885224
2001,1,22,ERA,0.14983096612351282,0.1519008702759085,0.18413981023258058,0.25568684752170856
2001,1,23,ERA,0.1375626027584076,0.14579004987046637,0.1818357063052447,0.25153849669814815
2001,1,24,ERA,0.13873703245605742,0.15615417153157038,0.18584442862134049,0.24430695709127645
2001,1,25,ERA,0.1335084800209318,0.15015898876149078,0.18060698025468466,0.23686736249888438
2001,1,26,ERA,0.12334285144295011,0.1425504963202723,0.17302683848833691,0.22519933588846902
2001,1,27,ERA,0.13922080557261193,0.15687122170267434,0.1849177538052849,0.2313969705055451
2001,1,28,ERA,0.1349476666322776,0.15833725369182125,0.1851998076274775,0.23766162844275582
2001,1,29,ERA,0.1370233510221754,0.15662893807065897,0.1782642489542132,0.22363852586090213
2001,1,30,ERA,0.1333266289106437,0.14890662734878474,0.16581923795351083,0.21031095539853417
2001,1,31,ERA,0.11410946984376226,0.1294343725874506,0.1466472687712614,0.19840698255413383
2001,1,1,BGA,0.22152892334593666,0.25545073648293815,0.26509268525423424,0.32641714868637234
2001,1,2,BGA,0.22752580295006433,0.25693781624237694,0.2666070244529031,0.33480814455528934
2001,1,3,BGA,0.2403282043006685,0.26353774418433507,0.2729032535218831,0.3400919277287094
2001,1,4,BGA,0.22797643807199267,0.26032394369443257,0.27755970045021083,0.3496263656831352
2001,1,5,BGA,0.2360475311676661,0.2599306717514992,0.2746424185055675,0.3426625637965795
2001,1,6,BGA,0.24155105070935357,0.2653657227754593,0.28018938332344545,0.34887799601230396
2001,1,7,BGA,0.23142089860306847,0.25205274919668835,0.2690229568291794,0.3330510739567717
2001,1,8,BGA,0.18832621516452897,0.2219732633481423,0.2520080978107272,0.2994505892932062
