LANDING_YEAR,LANDING_MONTH,PORT_NAME,SDM_20,AGENCY_CODE
2000,4,SANTA MONICA,0.47151463,C
2000,4,SAUSALITO,0.507464111,C
2000,4,SEAL BEACH,0.529850565,C
2000,4,TACOMA,NA,W
2000,4,TERMINAL ISLAND,0.443412485,C
2000,4,THE DALLES,NA,W
2000,4,TOMALES BAY,0.465870457,C
2000,4,VALLEJO,NA,C
2000,4,VENTURA,0.427941146,C
2000,4,WESTPORT,0.381997186,W
2000,4,WHIDBY ISLAND,NA,W
2000,4,WILLOW CREEK,0.296963865,C
2000,4,WILMINGTON,0.443412485,C
2000,4,WINCHESTER BAY,0.182795481,O
2000,5,ABERDEEN,0.424911475,W
2000,5,ALAMEDA,NA,C
2000,5,ANACORTES,NA,W
2000,5,ASTORIA,0.372969334,O
2000,5,AVALON,0.334843287,C
2000,5,AVILA,0.386194562,C
2000,5,BELLINGHAM BAY,NA,W
2000,5,BERKELEY,NA,C
2000,5,BODEGA BAY,0.356075939,C
2000,5,BROOKINGS,0.225251555,O
2000,5,CHARLESTON (COOS BAY),0.259317061,O
2000,5,CHINOOK,0.372969334,W
2000,5,CRESCENT CITY,0.36571978,C
2000,5,DANA POINT,0.347579977,C
2000,5,DILLON BEACH,0.449159724,C
2000,5,EUREKA,0.317257351,C
2000,5,FIELDS LANDING,0.358264556,C
2000,5,FORT BRAGG,0.149779999,C
2000,5,GARIBALDI (TILLAMOOK),0.244320022,O
2000,5,GAVIOTA,0.403700387,C
2000,5,GOLETA,0.47626964,C
2000,5,GUADALUPE,0.418945375,C
2000,5,HUMBOLDT,0.317257351,C
2000,5,HUNTINGTON BEACH,0.484129179,C
2000,5,ILWACO,0.372969334,W
2000,5,LACONNER,NA,W
2000,5,LONG BEACH,0.458910921,C
2000,5,LOS ANGELES,0.452573433,C
2000,5,MARCONI,0.450554675,C
2000,5,MISSION BAY,0.39139297,C
2000,5,MONTEREY,0.283333197,C
2000,5,MORRO BAY,0.340120752,C
2000,5,MOSS LANDING,0.428278739,C
2000,5,NASELLE,0.549061999,W
2000,5,NATIONAL CITY,0.414655828,C
2000,5,NEAH BAY,NA,W
2000,5,NEWPORT,0.247477001,O
2000,5,NEWPORT BEACH,0.442804728,C
2000,5,OCEANSIDE,0.346751692,C
2000,5,OXNARD,0.437080648,C
2000,5,PLAYA DEL REY,0.495345116,C
2000,5,POINT LOMA,0.379427923,C
2000,5,PORT HUENEME,0.431780483,C
2000,5,PORT ORFORD,0.174353953,O
2000,5,PRINCETON / HALF MOON BAY,0.447772605,C
2000,5,REDONDO BEACH,0.440173539,C
2000,5,REDWOOD CITY,NA,C
2000,5,SAN DIEGO,0.445361627,C
2000,5,SAN FRANCISCO,0.463541379,C
2000,5,SAN PEDRO,0.452573433,C
2000,5,SAN SIMEON,0.159329515,C
2000,5,SANTA BARBARA,0.471455485,C
2000,5,SANTA CRUZ,0.340004048,C
2000,5,SANTA MONICA,0.495345116,C
2000,5,SAUSALITO,0.463541379,C
2000,5,SEAL BEACH,0.484129179,C
2000,5,TACOMA,NA,W
2000,5,TERMINAL ISLAND,0.452573433,C
2000,5,THE DALLES,NA,W
2000,5,TOMALES BAY,0.450554675,C
2000,5,VALLEJO,NA,C
2000,5,VENTURA,0.49522768,C
2000,5,WESTPORT,0.424911475,W
2000,5,WHIDBY ISLAND,NA,W
2000,5,WILLOW CREEK,0.311634296,C
2000,5,WILMINGTON,0.452573433,C
2000,5,WINCHESTER BAY,0.249668144,O
2000,6,ABERDEEN,0.493348907,W
2000,6,ALAMEDA,NA,C
2000,6,ANACORTES,NA,W
2000,6,ASTORIA,0.488542194,O
2000,6,AVALON,0.392433504,C
2000,6,AVILA,0.363200673,C
2000,6,BELLINGHAM BAY,NA,W
2000,6,BERKELEY,NA,C
2000,6,BODEGA BAY,0.42266069,C
2000,6,BROOKINGS,0.269212433,O
2000,6,CHARLESTON (COOS BAY),0.187799878,O
2000,6,CHINOOK,0.488542194,W
2000,6,CRESCENT CITY,0.29662664,C
2000,6,DANA POINT,0.410414675,C
2000,6,DILLON BEACH,0.444464568,C
2000,6,EUREKA,0.346271606,C
2000,6,FIELDS LANDING,0.353311921,C
2000,6,FORT BRAGG,0.267671435,C
2000,6,GARIBALDI (TILLAMOOK),0.31947496,O
2000,6,GAVIOTA,0.289854315,C
2000,6,GOLETA,0.357504867,C
2000,6,GUADALUPE,0.409393514,C
2000,6,HUMBOLDT,0.346271606,C
2000,6,HUNTINGTON BEACH,0.573754216,C
2000,6,ILWACO,0.488542194,W
2000,6,LACONNER,NA,W
2000,6,LONG BEACH,0.54709511,C
2000,6,LOS ANGELES,0.520575931,C
2000,6,MARCONI,0.446287124,C
2000,6,MISSION BAY,0.42055615,C
2000,6,MONTEREY,0.393891719,C
2000,6,MORRO BAY,0.419409544,C
2000,6,MOSS LANDING,0.48515426,C
2000,6,NASELLE,0.543349439,W
2000,6,NATIONAL CITY,0.422538193,C
2000,6,NEAH BAY,NA,W
2000,6,NEWPORT,0.231858621,O
2000,6,NEWPORT BEACH,0.505096205,C
2000,6,OCEANSIDE,0.411453198,C
2000,6,OXNARD,0.424713975,C
2000,6,PLAYA DEL REY,0.548521998,C
2000,6,POINT LOMA,0.406514053,C
2000,6,PORT HUENEME,0.425615334,C
2000,6,PORT ORFORD,0.133769372,O
2000,6,PRINCETON / HALF MOON BAY,0.433884133,C
2000,6,REDONDO BEACH,0.478414531,C
2000,6,REDWOOD CITY,NA,C
2000,6,SAN DIEGO,0.458544493,C
2000,6,SAN FRANCISCO,0.449435999,C
2000,6,SAN PEDRO,0.520575931,C
2000,6,SAN SIMEON,0.345976615,C
2000,6,SANTA BARBARA,0.407871208,C
2000,6,SANTA CRUZ,0.44308779,C
2000,6,SANTA MONICA,0.548521998,C
2000,6,SAUSALITO,0.449435999,C
2000,6,SEAL BEACH,0.573754216,C
2000,6,TACOMA,NA,W
2000,6,TERMINAL ISLAND,0.520575931,C
2000,6,THE DALLES,NA,W
2000,6,TOMALES BAY,0.446287124,C
2000,6,VALLEJO,NA,C
2000,6,VENTURA,0.504112878,C
2000,6,WESTPORT,0.493348907,W
2000,6,WHIDBY ISLAND,NA,W
2000,6,WILLOW CREEK,0.400653797,C
2000,6,WILMINGTON,0.520575931,C
2000,6,WINCHESTER BAY,0.219498766,O
2000,7,ABERDEEN,0.394520891,W
2000,7,ALAMEDA,NA,C
2000,7,ANACORTES,NA,W
2000,7,ASTORIA,0.410514192,O
2000,7,AVALON,0.448472086,C
2000,7,AVILA,0.311130802,C
2000,7,BELLINGHAM BAY,NA,W
2000,7,BERKELEY,NA,C
2000,7,BODEGA BAY,0.183655084,C
2000,7,BROOKINGS,0.335580121,O
2000,7,CHARLESTON (COOS BAY),0.336773804,O
2000,7,CHINOOK,0.410514192,W
2000,7,CRESCENT CITY,0.359193049,C
2000,7,DANA POINT,0.468183226,C
2000,7,DILLON BEACH,0.241743302,C
2000,7,EUREKA,0.313008379,C
2000,7,FIELDS LANDING,0.344630683,C
2000,7,FORT BRAGG,0.197260441,C
2000,7,GARIBALDI (TILLAMOOK),0.265136857,O
2000,7,GAVIOTA,0.299140557,C
2000,7,GOLETA,0.378401862,C
2000,7,GUADALUPE,0.385851046,C
2000,7,HUMBOLDT,0.313008379,C
2000,7,HUNTINGTON BEACH,0.634442107,C
2000,7,ILWACO,0.410514192,W
2000,7,LACONNER,NA,W
2000,7,LONG BEACH,0.602240149,C
2000,7,LOS ANGELES,0.57011316,C
2000,7,MARCONI,0.273246987,C
2000,7,MISSION BAY,0.408739047,C
2000,7,MONTEREY,0.293663979,C
2000,7,MORRO BAY,0.311879694,C
2000,7,MOSS LANDING,0.415863902,C
2000,7,NASELLE,0.454312607,W
2000,7,NATIONAL CITY,0.389439293,C
2000,7,NEAH BAY,NA,W
2000,7,NEWPORT,0.30217819,O
2000,7,NEWPORT BEACH,0.558592157,C
2000,7,OCEANSIDE,0.511788907,C
2000,7,OXNARD,0.464946464,C
2000,7,PLAYA DEL REY,0.579273418,C
2000,7,POINT LOMA,0.388700666,C
2000,7,PORT HUENEME,0.462753598,C
2000,7,PORT ORFORD,0.30427929,O
2000,7,PRINCETON / HALF MOON BAY,0.383732098,C
2000,7,REDONDO BEACH,0.523387624,C
2000,7,REDWOOD CITY,NA,C
2000,7,SAN DIEGO,0.432888248,C
2000,7,SAN FRANCISCO,0.459561101,C
2000,7,SAN PEDRO,0.57011316,C
2000,7,SAN SIMEON,0.27447386,C
2000,7,SANTA BARBARA,0.396401812,C
2000,7,SANTA CRUZ,0.331706192,C
2000,7,SANTA MONICA,0.579273418,C
2000,7,SAUSALITO,0.459561101,C
2000,7,SEAL BEACH,0.634442107,C
2000,7,TACOMA,NA,W
2000,7,TERMINAL ISLAND,0.57011316,C
2000,7,THE DALLES,NA,W
2000,7,TOMALES BAY,0.273246987,C
2000,7,VALLEJO,NA,C
2000,7,VENTURA,0.547555008,C
2000,7,WESTPORT,0.394520891,W
2000,7,WHIDBY ISLAND,NA,W
2000,7,WILLOW CREEK,0.312664624,C
2000,7,WILMINGTON,0.57011316,C
2000,7,WINCHESTER BAY,0.341547294,O
2000,8,ABERDEEN,0.450288623,W
2000,8,ALAMEDA,NA,C
2000,8,ANACORTES,NA,W
2000,8,ASTORIA,0.459569546,O
2000,8,AVALON,0.453125326,C
2000,8,AVILA,0.546318565,C
2000,8,BELLINGHAM BAY,NA,W
2000,8,BERKELEY,NA,C
2000,8,BODEGA BAY,0.360156791,C
2000,8,BROOKINGS,0.260841295,O
2000,8,CHARLESTON (COOS BAY),0.296595906,O
2000,8,CHINOOK,0.459569546,W
2000,8,CRESCENT CITY,0.329565469,C
2000,8,DANA POINT,0.464089943,C
2000,8,DILLON BEACH,0.46385241,C
2000,8,EUREKA,0.354552267,C
2000,8,FIELDS LANDING,0.372558194,C
2000,8,FORT BRAGG,0.197384728,C
2000,8,GARIBALDI (TILLAMOOK),0.358895425,O
2000,8,GAVIOTA,0.388207464,C
2000,8,GOLETA,0.511431372,C
2000,8,GUADALUPE,0.583473172,C
2000,8,HUMBOLDT,0.354552267,C
2000,8,HUNTINGTON BEACH,0.635977921,C
2000,8,ILWACO,0.459569546,W
2000,8,LACONNER,NA,W
2000,8,LONG BEACH,0.608924493,C
2000,8,LOS ANGELES,0.569952162,C
2000,8,MARCONI,0.442191581,C
2000,8,MISSION BAY,0.497221164,C
2000,8,MONTEREY,0.427010148,C
2000,8,MORRO BAY,0.557226009,C
2000,8,MOSS LANDING,0.513961961,C
2000,8,NASELLE,0.512695948,W
2000,8,NATIONAL CITY,0.480883056,C
2000,8,NEAH BAY,NA,W
2000,8,NEWPORT,0.28230473,O
2000,8,NEWPORT BEACH,0.550025132,C
2000,8,OCEANSIDE,0.489098565,C
2000,8,OXNARD,0.455195496,C
2000,8,PLAYA DEL REY,0.541652429,C
2000,8,POINT LOMA,0.482117051,C
2000,8,PORT HUENEME,0.447520464,C
2000,8,PORT ORFORD,0.221922876,O
2000,8,PRINCETON / HALF MOON BAY,0.423846346,C
2000,8,REDONDO BEACH,0.502621389,C
2000,8,REDWOOD CITY,NA,C
2000,8,SAN DIEGO,0.514682588,C
2000,8,SAN FRANCISCO,0.462643726,C
2000,8,SAN PEDRO,0.569952162,C
2000,8,SAN SIMEON,0.50058495,C
2000,8,SANTA BARBARA,0.555333794,C
2000,8,SANTA CRUZ,0.430125363,C
2000,8,SANTA MONICA,0.541652429,C
2000,8,SAUSALITO,0.462643726,C
2000,8,SEAL BEACH,0.635977921,C
2000,8,TACOMA,NA,W
2000,8,TERMINAL ISLAND,0.569952162,C
2000,8,THE DALLES,NA,W
2000,8,TOMALES BAY,0.442191581,C
2000,8,VALLEJO,NA,C
2000,8,VENTURA,0.566634737,C
2000,8,WESTPORT,0.450288623,W
2000,8,WHIDBY ISLAND,NA,W
2000,8,WILLOW CREEK,0.443548552,C
2000,8,WILMINGTON,0.569952162,C
2000,8,WINCHESTER BAY,0.237018587,O
2000,9,ABERDEEN,0.570442664,W
2000,9,ALAMEDA,NA,C
2000,9,ANACORTES,NA,W
2000,9,ASTORIA,0.54464626,O
2000,9,AVALON,0.510911544,C
2000,9,AVILA,0.453700547,C
2000,9,BELLINGHAM BAY,NA,W
2000,9,BERKELEY,NA,C
2000,9,BODEGA BAY,0.503163227,C
2000,9,BROOKINGS,0.314657725,O
2000,9,CHARLESTON (COOS BAY),0.32585912,O
2000,9,CHINOOK,0.54464626,W
2000,9,CRESCENT CITY,0.450668712,C
2000,9,DANA POINT,0.517504837,C
2000,9,DILLON BEACH,0.53911525,C
2000,9,EUREKA,0.363180247,C
2000,9,FIELDS LANDING,0.407811481,C
2000,9,FORT BRAGG,0.19462817,C
2000,9,GARIBALDI (TILLAMOOK),0.351769017,O
2000,9,GAVIOTA,0.3634536,C
2000,9,GOLETA,0.448290222,C
2000,9,GUADALUPE,0.491503654,C
2000,9,HUMBOLDT,0.363180247,C
2000,9,HUNTINGTON BEACH,0.637535967,C
2000,9,ILWACO,0.54464626,W
2000,9,LACONNER,NA,W
2000,9,LONG BEACH,0.610065307,C
2000,9,LOS ANGELES,0.577292423,C
2000,9,MARCONI,0.532540373,C
2000,9,MISSION BAY,0.510568279,C
2000,9,MONTEREY,0.248828398,C
2000,9,MORRO BAY,0.440994198,C
2000,9,MOSS LANDING,0.34268808,C
2000,9,NASELLE,0.592787367,W
2000,9,NATIONAL CITY,0.517982646,C
2000,9,NEAH BAY,NA,W
2000,9,NEWPORT,0.236298282,O
2000,9,NEWPORT BEACH,0.596022699,C
2000,9,OCEANSIDE,0.510614081,C
2000,9,OXNARD,0.422353955,C
2000,9,PLAYA DEL REY,0.485834293,C
2000,9,POINT LOMA,0.50742735,C
2000,9,PORT HUENEME,0.41599379,C
2000,9,PORT ORFORD,0.207200278,O
2000,9,PRINCETON / HALF MOON BAY,0.399511053,C
2000,9,REDONDO BEACH,0.489628667,C
2000,9,REDWOOD CITY,NA,C
2000,9,SAN DIEGO,0.538872351,C
2000,9,SAN FRANCISCO,0.550574502,C
2000,9,SAN PEDRO,0.577292423,C
2000,9,SAN SIMEON,0.309880164,C
2000,9,SANTA BARBARA,0.472507522,C
2000,9,SANTA CRUZ,0.345330647,C
