"CRAB_YEAR","AGENCY_CODE","PACFIN_GROUP_PORT_CODE","PORT_DESCRIPTION","NOV_ROUND_WEIGHT_MTONS","NOV_ROUND_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_ROUND_WEIGHT_MTONS","DEC_ROUND_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","JAN_ROUND_WEIGHT_MTONS","JAN_ROUND_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_ROUND_WEIGHT_MTONS","FEB_ROUND_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_ROUND_WEIGHT_MTONS","MAR_ROUND_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_ROUND_WEIGHT_MTONS","APR_ROUND_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_ROUND_WEIGHT_MTONS","MAY_ROUND_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_ROUND_WEIGHT_MTONS","JUN_ROUND_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_ROUND_WEIGHT_MTONS","JUL_ROUND_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_ROUND_WEIGHT_MTONS","AUG_ROUND_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_ROUND_WEIGHT_MTONS","SEP_ROUND_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_ROUND_WEIGHT_MTONS","OCT_ROUND_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","TOTAL_ROUND_WEIGHT_MTONS","TOTAL_ROUND_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2002","C","SFA","SAN FRANCISCO AREA PORTS",,,,"*",307.67,2.16,1465577,"",113.54,1.9,474770,"",55.46,2.39,292039,"",25.86,2.9,165238,"",26.27,3.44,199444,"",13.68,3.81,114767,"",15.39,2.6,88191,"",.8,2.86,5060,"",0,0,0,"",0,0,0,"",0,0,0,"",558.66,2.28,2805088,"*"
"2002","C","XXX","WITHHELD FOR CONFIDENTIALITY**",4.77,2.45,25773,"",0,0,0,"",,,,"*",,,,"*",,,,"*",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",,,,"*",0,0,0,"",4.77,2.45,25773,"*"
"2002","O","BRA","BROOKINGS AREA PORTS",0,0,0,"",189.38,1.8,750727,"",64.03,1.69,238677,"",16.8,2.11,78143,"",10.36,2.58,58916,"",5.34,2.96,34822,"",4.47,3.03,29856,"",5.86,2.15,27830,"",26.83,1.71,101332,"",17.86,1.58,62130,"",0,0,0,"",0,0,0,"",340.92,1.84,1382434,""
"2002","O","CBA","COOS BAY AREA PORTS",.11,2.01,499,"",470.17,1.73,1793999,"",365.68,1.64,1325567,"",81.53,2.13,382541,"",38.52,2.75,233423,"",18.69,3.08,127099,"",11.36,3.23,80952,"",6.8,2.68,40160,"",18.1,1.85,73784,"",17.9,1.71,67388,"",.94,2.9,5979,"",1.51,2.27,7579,"",1031.32,1.82,4138967,""
"2002","O","CLO","COLUMBIA RIVER PORTS (OREGON)",0,0,0,"",1280.12,1.64,4637567,"",814.09,1.62,2901179,"",234.25,1.88,973028,"",121.8,2.56,686254,"",93.16,2.98,611481,"",52.66,3.1,359388,"",15.63,2.31,79585,"",4.67,1.54,15814,"",2.19,1.55,7506,"",0,0,0,"",0,0,0,"",2618.57,1.78,10271803,""
"2002","O","NPA","NEWPORT AREA PORTS",1.1,2.5,6059,"",936.44,1.67,3452940,"",534.02,1.63,1923019,"",118.32,2.1,547140,"",58.53,2.84,366648,"",23.31,3.14,161445,"",14.67,3.35,108266,"",6.01,2.89,38247,"",3.91,2.93,25243,"",4.56,2.58,25910,"",1.99,2.85,12482,"",3.04,2.87,19248,"",1705.9,1.78,6686646,""
"2002","O","TLA","TILLAMOOK AREA PORTS",,,,"*",110.88,1.68,409885,"",91.48,1.62,326234,"",34.14,1.89,142560,"",16.23,2.32,83150,"",5.03,3.04,33720,"",5.52,3.18,38670,"",3.98,2.78,24392,"",6.75,2.39,35646,"",3.43,2.35,17769,"",0,0,0,"",,,,"*",277.45,1.82,1112026,"*"
"2002","O","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"*"
"2002","W","CLW","COLUMBIA RIVER PORTS (WASHINGTON)",0,0,0,"",613.96,1.63,2212483,"",364.25,1.6,1283130,"",116.8,1.83,472391,"",49.51,2.35,256239,"",21.11,2.64,122734,"",13.15,2.64,76652,"",5.2,2.15,24676,"",2.88,1.92,12186,"",4.68,1.96,20165,"",6.89,1.61,24463,"",28.01,1.72,106227,"",1226.44,1.71,4611346,""
"2002","W","CWA","WASHINGTON COASTAL PORTS",231.61,1.9,969409,"",1697.08,1.63,6082490,"",1358.41,1.6,4801382,"",288.46,1.93,1228849,"",115.99,2.82,722297,"",100.26,3.25,718227,"",77.62,3.29,562600,"",80.11,1.91,338168,"",68.42,1.67,251336,"",65.24,1.54,221679,"",59.3,1.51,197143,"",127.74,1.85,519862,"",4270.23,1.76,16613441,""
