"LANDING_YEAR","PORT_AREA_CODE","ROUND_WEIGHT_MTONS","LANDING_MONTH"
2016,"CBA",1.31,11
2016,"CLO",0,11
2016,"NPA",2.38,11
2016,"TLA",0.34,11
2016,"XXX",0,11
2016,"CLW",0,11
2016,"CWA",374.11,11
2016,"NPS",382.15,11
2016,"SPS",56.06,11
2016,"WA5",0,11
2016,"XXX",0,11
2017,"BDA",346.98,11
2017,"BGA",0,11
2017,"CCA",0,11
2017,"ERA",3.98,11
2017,"MNA",21.4,11
2017,"MRA",10.1,11
2017,"SBA",0,11
2017,"SFA",1754.36,11
2017,"XXX",0,11
2017,"BRA",0,11
2017,"CBA",1,11
2017,"CLO",0,11
2017,"NPA",0.74,11
2017,"TLA",0.71,11
2017,"XXX",0,11
2017,"CLW",0,11
2017,"CWA",224.37,11
2017,"NPS",316.35,11
2017,"SPS",17.45,11
2017,"WA5",30.75,11
2017,"XXX",0,11
2018,"BDA",429.91,11
2018,"BGA",0,11
2018,"CCA",0,11
2018,"ERA",0,11
2018,"MNA",31.77,11
2018,"MRA",4.04,11
2018,"SBA",0,11
2018,"SFA",935.51,11
2018,"XXX",0,11
2018,"BRA",0,11
2018,"CBA",4.94,11
2018,"CLO",0,11
2018,"NPA",3.2,11
2018,"TLA",2.61,11
2018,"XXX",0,11
2018,"CLW",0,11
2018,"CWA",2.25,11
2018,"NPS",256.65,11
2018,"SPS",13.95,11
2018,"WA5",0,11
2018,"XXX",0,11
2019,"BDA",235.1,11
2019,"BGA",0,11
2019,"CCA",0,11
2019,"ERA",0,11
2019,"MNA",15.78,11
2019,"MRA",4.82,11
2019,"SBA",0,11
2019,"SFA",632.3,11
2019,"XXX",0,11
2019,"BRA",0,11
2019,"CBA",1.96,11
2019,"CLO",0,11
2019,"NPA",4.92,11
2019,"TLA",2.04,11
2019,"XXX",0,11
2019,"CLW",0,11
2019,"CWA",0,11
2019,"NPS",423.57,11
2019,"SPS",39.05,11
2019,"WA5",52.71,11
2019,"XXX",0,11
2020,"BDA",0,11
2020,"BGA",0,11
2020,"CCA",0,11
2020,"ERA",0,11
2020,"MNA",0,11
2020,"MRA",0,11
2020,"SBA",0,11
2020,"SFA",0,11
2020,"XXX",0,11
2020,"BRA",0,11
2020,"CBA",1.72,11
2020,"CLO",0,11
2020,"NPA",9.5,11
2020,"TLA",1.47,11
2020,"XXX",0,11
2020,"CLW",0,11
2020,"CWA",0,11
2020,"NPS",369.11,11
2020,"SPS",53.04,11
2020,"WA5",76.76,11
2020,"XXX",0,11
2021,"BDA",0,11
2021,"BGA",0,11
2021,"CCA",0,11
2021,"ERA",0,11
2021,"MNA",0,11
2021,"MRA",0,11
2021,"SBA",0,11
2021,"SFA",0,11
2021,"XXX",0,11
2021,"BRA",0,11
2021,"CBA",0.8,11
2021,"CLO",0,11
2021,"NPA",3.34,11
2021,"TLA",0.38,11
2021,"XXX",0,11
2021,"CLW",0,11
2021,"CWA",3.9,11
2021,"NPS",213.32,11
2021,"SPS",36.29,11
2021,"WA5",36.75,11
2021,"XXX",0,11
2022,"BDA",0,11
2022,"BGA",0,11
2022,"CCA",0,11
2022,"ERA",0,11
2022,"MNA",0,11
2022,"MRA",0,11
2022,"SBA",0,11
2022,"SFA",0,11
2022,"XXX",0,11
2022,"BRA",0,11
2022,"CBA",1.55,11
2022,"CLO",0,11
2022,"NPA",2.91,11
2022,"TLA",0.52,11
2022,"XXX",0,11
2022,"CLW",0,11
2022,"CWA",230.54,11
2022,"NPS",233.11,11
2022,"SPS",27.22,11
2022,"WA5",48.83,11
2022,"XXX",0,11
2000,"BDA",28.85,12
2000,"BGA",178.98,12
2000,"CA2",0,12
2000,"CCA",1432.3,12
2000,"ERA",1080.54,12
2000,"LAA",0,12
2000,"MNA",3.5,12
2000,"MRA",0,12
2000,"SFA",80.13,12
2000,"XXX",0,12
2000,"BRA",772.01,12
2000,"CBA",652.35,12
2000,"CLO",1261.76,12
2000,"NPA",1157.89,12
2000,"TLA",156.09,12
2000,"XXX",0,12
2000,"CLW",584.47,12
2000,"CWA",3083.6,12
2000,"NPS",164.82,12
2000,"SPS",181.35,12
2000,"WA5",0,12
2000,"XXX",0,12
2001,"BDA",62.6,12
2001,"BGA",109.92,12
2001,"CA2",0,12
2001,"CCA",981.1,12
2001,"ERA",394.21,12
2001,"LAA",0,12
2001,"MNA",3.58,12
2001,"MRA",0,12
2001,"SFA",79.3,12
2001,"XXX",0,12
2001,"BRA",344.32,12
2001,"CBA",350.79,12
2001,"CLO",561.38,12
2001,"NPA",615.15,12
2001,"TLA",79.33,12
2001,"XXX",0,12
2001,"CLW",301.49,12
2001,"CWA",874.94,12
2001,"NPS",135.23,12
2001,"SPS",94.1,12
2001,"XXX",0,12
2002,"BDA",82.01,12
2002,"BGA",92.74,12
2002,"CCA",330.73,12
2002,"ERA",141.84,12
2002,"LAA",0,12
2002,"MNA",4.79,12
2002,"MRA",0,12
2002,"SBA",0,12
2002,"SFA",307.67,12
2002,"XXX",0,12
2002,"BRA",189.38,12
2002,"CBA",470.17,12
2002,"CLO",1280.12,12
2002,"NPA",936.44,12
2002,"TLA",110.88,12
2002,"XXX",0,12
2002,"CLW",613.96,12
2002,"CWA",1697.08,12
2002,"NPS",249.34,12
2002,"SPS",33.01,12
2003,"BDA",195.72,12
2003,"BGA",25.83,12
2003,"CCA",602.85,12
2003,"ERA",435.87,12
2003,"LAA",0,12
2003,"MNA",11.88,12
2003,"MRA",0,12
2003,"SBA",0,12
2003,"SFA",309.46,12
2003,"XXX",0,12
2003,"BRA",120.52,12
2003,"CBA",498.93,12
2003,"CLO",1068.68,12
2003,"NPA",792.78,12
2003,"TLA",172.12,12
2003,"XXX",0,12
2003,"CLW",477.65,12
2003,"CWA",2692.4,12
2003,"NPS",259.53,12
