year,month,port,SDM_60,SDM_90
2006,12,BGA,0.407098336734118,0.3463720386540144
2006,12,BDA,0.5620215790014683,0.4561943915451377
2006,12,SFA,0.670984485428745,0.540935856370943
2006,12,MNA,0.48871707720426105,0.41078706561883593
2006,12,MRA,0.4913114798233806,0.4193454855676096
2006,12,SBA,0.7524266636539851,0.7131132374527633
2006,12,LAA,0.7328390353490113,0.6802146641969499
2006,12,SDA,0.666932592535178,0.5892051985406439
2006,12,CA2,NA,NA
2007,1,NPS,NA,NA
2007,1,SPS,NA,NA
2007,1,CWA,0.11145753277535801,0.08834400380644776
2007,1,CLW,0.14797335426827493,0.1005748212346591
2007,1,WA5,NA,NA
2007,1,CLO,0.14938290989251865,0.10526397345526359
2007,1,TLA,0.10816767036046543,0.081712238862419
2007,1,NPA,0.13345678506562675,0.09468550709417226
2007,1,CBA,0.13715506111127068,0.10900283899940717
2007,1,BRA,0.11000494997393345,0.09020669307244564
2007,1,OR1,NA,NA
2007,1,CCA,0.11632842819324864,0.09361940912941208
2007,1,ERA,0.13149166013255562,0.0924778222253345
2007,1,BGA,0.08687411482065355,0.06992188174686534
2007,1,BDA,0.11035743064698825,0.09287516133322461
2007,1,SFA,0.1563146297963057,0.11495031060978075
2007,1,MNA,0.1304480070659942,0.10509882588856057
2007,1,MRA,0.13738100845526127,0.11451820100813317
2007,1,SBA,0.2537872560562626,0.2318786750680129
2007,1,LAA,0.2662092351415713,0.2326911954043146
2007,1,SDA,0.20148247718247475,0.1718514627179262
2007,1,CA2,NA,NA
2007,2,NPS,NA,NA
2007,2,SPS,NA,NA
2007,2,CWA,0.10588290116597256,0.08823839195554042
2007,2,CLW,0.14634932543120227,0.09825673030005608
2007,2,WA5,NA,NA
2007,2,CLO,0.1521382849512397,0.10195186635937892
2007,2,TLA,0.10001150131077964,0.07538910536053459
2007,2,NPA,0.1103543470403281,0.084442531568218
2007,2,CBA,0.12792925751693904,0.09159044864118158
2007,2,BRA,0.10331417920259965,0.07640981365982778
2007,2,OR1,NA,NA
2007,2,CCA,0.1073547741711746,0.08555734436563647
2007,2,ERA,0.14493123540715566,0.10092468149167066
2007,2,BGA,0.09731887460579206,0.07717675948590735
2007,2,BDA,0.1368759017081675,0.1098416875757155
2007,2,SFA,0.17291621358853868,0.13509383112384332
2007,2,MNA,0.15218182684971937,0.1203462349597058
2007,2,MRA,0.14599799655605944,0.11621911500689465
2007,2,SBA,0.2985147960772294,0.2615921129955172
2007,2,LAA,0.25422327023016694,0.21451662690876339
2007,2,SDA,0.20005794928817472,0.16314152305572807
2007,2,CA2,NA,NA
2007,3,NPS,NA,NA
2007,3,SPS,NA,NA
2007,3,CWA,0.1368044858016613,0.10649494670941727
2007,3,CLW,0.17689301037869554,0.12217500189077075
2007,3,WA5,NA,NA
2007,3,CLO,0.1785300135595589,0.12750142722947974
2007,3,TLA,0.12717430262190685,0.10253092798778242
2007,3,NPA,0.14733744686313419,0.11040715374490072
2007,3,CBA,0.1628540989080195,0.12353317504877759
2007,3,BRA,0.11310417881397444,0.09204287632673709
2007,3,OR1,NA,NA
2007,3,CCA,0.12139003110921728,0.10063816987257321
2007,3,ERA,0.15593213938151768,0.11033609727794429
2007,3,BGA,0.12142475234014133,0.09036149363600643
2007,3,BDA,0.13231457421375858,0.117753596352021
2007,3,SFA,0.2725768274569308,0.1793009005885865
2007,3,MNA,0.23903461348314367,0.1823550611102985
2007,3,MRA,0.16361659233549694,0.1307866232202025
2007,3,SBA,0.36571917858134995,0.30426355060673
2007,3,LAA,0.33128613693703596,0.2714592224303496
2007,3,SDA,0.2322763755557037,0.19043777202527354
2007,3,CA2,NA,NA
2007,4,NPS,NA,NA
2007,4,SPS,NA,NA
2007,4,CWA,0.21264332515968354,0.16206059089464622
2007,4,CLW,0.281820629257216,0.19751665277141123
2007,4,WA5,NA,NA
