"VESSEL_NUM","group"
"WN5102SK",4
"WN5187NP",2
"WN5447NK",1
"WN6035RP",1
"WN7102LH",1
"WN7717NJ",3
"WN7995RP",2
"WN8521SB",5
"WN9415RJ",2
"WN9664RJ",1
"WN9665RJ",1
"1000086",1
