"VESSEL_NUM","LANDING_MONTH","LANDING_YEAR","LAT","DISTANCE_A","LANDED_WEIGHT_LBS","AFI_EXVESSEL_REVENUE","Percentage","diversity"
"988037",10,2009,34.311203,0,5060,1815.528,1,1
"988037",10,2010,33.828815,0,5910,2444.967,1,1
"988037",10,2013,34.21707,0,2010,56.12925,1,1
"988037",11,2003,34.154072,0,3726,1536.975,1,1
"988037",11,2004,34.21707,0,4025,1078.7,1,1
"988037",11,2005,34.21707,0,6270,1628.946,1,1
"988037",11,2010,33.828815,0,3000,1241.1,1,1
"988037",12,2003,34.154072,0,17753,7487.90625,1,1
"988037",12,2011,34.21707,0,6170,2857.944,1,1
"988037",3,2009,34.311203,0,5500,1644.5,1,1
"988037",3,2010,33.828815,0,14128,4174.824,1,1
"988037",4,2004,34.21707,0,23773,6371.164,1,1
"988037",4,2005,34.2996509209205,10185.4541647046,31805,8460.506508,1,1.75429470042803
"988037",4,2010,33.828815,0,18240,5389.92,1,1
"988037",5,2004,34.21707,0,11335,3037.78,1,1.5546212112073
"988037",5,2005,34.311203,0,27192,7064.4816,1,1
"988037",5,2009,34.311203,0,6510,2335.788,1,1
"988037",5,2010,33.828815,0,26650,7875.075,1,1
"988037",6,2004,34.2465924850884,14407.4181238393,36381,9750.108,1,1
"988037",6,2006,34.311203,0,18197,5732.055,1,1.7700369762189
"988037",6,2007,34.311203,0,6720,2061.36,1,1
"988037",6,2008,34.311203,0,7625.4,2295.2454,1,1
"988037",6,2009,34.311203,0,16110,5780.268,1,1
"988037",6,2010,33.828815,0,8250,2437.875,1,1
"988037",7,2004,34.2769711935772,14935.0340999413,35793,9867.64476,1,1
"988037",7,2006,34.267326496673,18229.3282860822,26150,8237.25,1,1
"988037",7,2008,34.311203,0,18380,5532.38,1,1.50224030195606
"988037",7,2009,34.311203,0,19676,7059.7488,1,1
"988037",7,2011,34.21707,0,10105,2925.3975,1,1
"988037",7,2015,34.21707,0,7215,1958.8725,1,1
"988037",8,2004,34.2735601984717,15209.3474925628,40491,11329.8474,1,1
"988037",8,2005,34.311203,0,13075,3396.885,1,1
"988037",8,2006,34.154072,0,11645,3668.175,1,1
"988037",8,2008,34.311203,0,4310,1297.31,1,1
"988037",8,2009,34.311203,0,5060,1815.528,1,1
"988037",8,2011,34.21707,0,11440,20508.18,1,1
"988037",8,2013,34.21707,0,11380,3401.265,1,1
"988037",9,2004,34.2758043904643,15038.9028242849,8713,2491.2208,1,1
"988037",9,2005,34.21707,0,10855,2820.129,1,1
"988037",9,2008,34.311203,0,14510,4921.952,1,1.7797774903262
"988037",9,2011,34.21707,0,3655,1058.1225,1,1
"988037",9,2013,34.21707,0,15325,2237.490625,1,1
"991476",10,2000,46.887187,0,38625,4220.746875,1,1
"992459",9,2015,36.812905,0,4162,5281.9782,0.0937557826346197,1
"993903",1,2012,33.732368,0,1e+05,39532.8,1,1
"993903",11,2011,33.732368,0,15791,6400.0923,1,1
"993903",12,2011,33.732368,0,80039,32439.8067,1,1
"993903",12,2012,33.732368,0,3993,1360.8144,1,1
"993903",2,2010,33.732368,0,47198,13947.009,1,1
"993903",3,2010,33.732368,0,14310,4228.605,1,1
"993903",8,2010,33.732368,0,4453,1315.8615,1,1
"994147",5,2019,43.366,0,5111,39407.28,7.70416024653313e-05,1
"995514",1,2020,32.7805,0,880.75,5224.4875,0.000229687600936934,1
"995514",2,2020,32.7805,0,2447.35,30023.7,0.012456825774305,1
"995514",6,2018,32.7805,0,3502.5,39741.21615,0.000492435861200991,1
"995514",6,2020,32.7805,0,1344.05,12358.15,0.00792998952108528,1
"995514",7,2019,32.7805,0,3983,55629.1846,0.00222850650951299,1
"995514",7,2020,32.7805,0,2656.3,28745.45,0.00709677531574562,1
"995514",8,2001,32.7805,0,4258,17743.396,0.00124395577937842,1
"995514",8,2019,32.7805,0,3585.6,46369.334,0.00240072458232848,1
"995514",8,2020,32.7805,0,3443.3,33404.8,0.00126927866653894,1
"996920",10,2012,46.887187,0,2019346.8368,291541.0680744,0.000204178438369476,1
"996920",10,2013,46.887187,0,3972079.0424,623889.297285,0.0159991376089278,1
"996920",10,2014,46.887187,0,1172262.2337,134118.995037352,7.8449737839668e-05,1
"996920",10,2015,46.887187,0,595638.1428,82691.2647684,0.109120619611664,1
"996920",10,2016,46.887187,0,2007543.8709,150589.7734435,0.00847266033293227,1
"996920",10,2018,46.887187,0,619195.5797,22183.96210458,0.0254788931452108,1
"996920",10,2019,46.887187,0,1282438.2608,113744.234254728,0.00108338868169819,1
"996920",10,2020,46.887187,0,4139065,249378.72,0,0
"996920",11,2012,46.887187,0,1667096.0099,338172.09797056,0.000277607290972222,1
"996920",5,2017,46.887187,0,3234592.99999906,263922.661299802,5.99607472964349e-07,1
"996920",6,2012,46.887187,0,1766290.6019,194046.01921536,5.85428139465836e-06,1
"996920",6,2017,46.887187,0,9597152.9886,760002.9337446,5.27497963757496e-07,1
"996920",6,2018,46.887187,0,1747239,124254.2457,3.31578206989188e-07,1
"996920",6,2019,46.887187,2.79579227061223e-09,4946411.9153,413402.78145628,0.000279705713620673,1
"996920",7,2013,46.887187,0,3170248.0019,386087.647212417,0.000351799819788774,1.28321028170791
"996920",7,2014,46.887187,0,3347963.4978,431449.687173008,0.00071287681772421,1
"996920",7,2015,46.887187,0,1090901.6533,95214.634209696,0.00342299739426831,1
"996920",7,2016,46.887187,0,74021.0002,5966.34145025,0.000279274998572229,1
"996920",7,2017,46.887187,0,5386799.9358,439029.70942685,1.51390665763302e-05,1
"996920",7,2018,46.887187,0,5113597.995,322697.748447,1.96617423906262e-05,1
"996920",7,2019,46.887187,0,5043912,408096.679056,0.000167138826411867,1
"996920",7,2020,46.887187,0,5963308.3657,332751.59857,0,0
"996920",8,2011,46.887187,0,6968953,853570.98294,6.24060576854736e-05,1
"996920",8,2012,46.887187,0,2043733.054,387045.999047176,7.27892810398645e-07,1
"996920",8,2013,46.887187,2.79579227061223e-09,5412208.7052,755476.598248754,0.000148652071118187,1.00498551179398
"996920",8,2014,46.887187,0,5122434.8071,642984.610721184,0.00891844556212342,1.00028214244191
"996920",8,2015,46.887187,0,3148749.8428,260475.9677364,0.0129575881158281,1
"996920",8,2016,46.887187,0,6547119.99690053,455040.511655245,0.00273593381932382,1.00000518089975
"996920",8,2017,46.887187,0,6456442.0885,497489.06317723,0.00126144722859251,1.00292943459603
"996920",8,2018,46.887187,0,5437577.0589,288927.31819436,0.00129898204969158,1
"996920",8,2019,46.887187,0,7245792,626141.35606,0.000591159035284247,1
"996920",8,2020,46.887187,0,5522469.7829,302052.81325,0,0
"996920",9,2013,46.887187,0,4443920.9346,651152.78273073,4.60590061125521e-05,1
"996920",9,2014,46.887187,0,5237037.4633,642705.8024004,0.000171079843358096,1.00005980861239
"996920",9,2015,46.887187,0,2249997.0722,188951.325214939,0.0449559119754107,1
"996920",9,2016,46.887187,0,4829608.1572,323250.308413625,0.00357329659070888,1.00000558409649
"996920",9,2017,46.887187,0,3808892.9277,281791.4943797,0.00161972472236863,1
"996920",9,2018,46.887187,0,825191,35847.5123,0.00103093346312904,1
"996920",9,2019,46.887187,0,6083756,540227.134348,0,0
"996920",9,2020,46.887187,0,5074846.5,279452.95,0,0
"AK1114AM",3,2020,44.636,0,38874,27890.7,0.841882778130345,1
"AK1114AM",4,2020,44.636,0,87405,52415.4,1,1
"AK1114AM",5,2020,44.636,0,131267,78733.2,1,1
"AK1224I",9,2013,34.311203,0,80469,29212.258725,1,1
"AK1301AN",4,2020,44.636,0,11139,6681,1,1
"AK1301AN",5,2020,44.636,0,35260,21150,1,1
"AK1301AN",7,2020,44.636,0,3735,2241,1,1
"AK1301AN",8,2020,44.636,0,7526,4473.6,1,1
"AK1795AN",10,2013,34.154072,0,505790,183614.41475,1,1
"AK1795AN",10,2014,34.154072,0,360903,128553.6486,1,1
"AK1795AN",10,2015,34.154072,0,24736,8058.9888,1,1
"AK1795AN",10,2016,34.154072,0,63538,34151.675,1,1
"AK1795AN",10,2017,34.154072,0,37679,19875.6725,1,1
"AK1795AN",10,2018,34.154072,0,4021,2070.815,1,1
"AK1795AN",11,2014,34.154072,0,495980,160005.725,1,1
