year,month,port,SDM_20
2001,3,SFA,0.570906457
2001,3,MNA,0.344104269
2001,3,MRA,0.304805678
2001,3,SBA,0.474063835
2001,3,LAA,0.478417863
2001,3,SDA,0.356280876
2001,3,CA2,NA
2001,4,NPS,NA
2001,4,SPS,NA
2001,4,CWA,0.357196254
2001,4,CLW,0.478297044
2001,4,WA5,NA
2001,4,CLO,0.430976053
2001,4,TLA,0.336960583
2001,4,NPA,0.238155237
2001,4,CBA,0.301227762
2001,4,BRA,0.353133687
2001,4,OR1,NA
2001,4,CCA,0.438390276
2001,4,ERA,0.415136102
2001,4,BGA,0.204440619
2001,4,BDA,0.247333367
2001,4,SFA,0.546032243
2001,4,MNA,0.405871159
2001,4,MRA,0.272121006
2001,4,SBA,0.492711049
2001,4,LAA,0.580598094
2001,4,SDA,0.4664994
2001,4,CA2,NA
2001,5,NPS,NA
2001,5,SPS,NA
2001,5,CWA,0.421946939
2001,5,CLW,0.476535657
2001,5,WA5,NA
2001,5,CLO,0.375439008
2001,5,TLA,0.312931277
2001,5,NPA,0.300362405
2001,5,CBA,0.363970579
2001,5,BRA,0.263628485
2001,5,OR1,NA
2001,5,CCA,0.384966548
2001,5,ERA,0.428109833
2001,5,BGA,0.302323129
2001,5,BDA,0.403150711
2001,5,SFA,0.497322135
2001,5,MNA,0.447748206
2001,5,MRA,0.396045446
2001,5,SBA,0.395267659
2001,5,LAA,0.380166609
2001,5,SDA,0.469162507
2001,5,CA2,NA
2001,6,NPS,NA
2001,6,SPS,NA
2001,6,CWA,0.448874695
2001,6,CLW,0.570631794
2001,6,WA5,NA
2001,6,CLO,0.529806663
2001,6,TLA,0.397004692
2001,6,NPA,0.292741102
2001,6,CBA,0.305038705
2001,6,BRA,0.361255228
2001,6,OR1,NA
2001,6,CCA,0.321869428
2001,6,ERA,0.411046677
2001,6,BGA,0.442296034
2001,6,BDA,0.304097815
2001,6,SFA,0.497361821
2001,6,MNA,0.386836089
2001,6,MRA,0.611622897
2001,6,SBA,0.453547059
2001,6,LAA,0.501212409
2001,6,SDA,0.489196862
2001,6,CA2,NA
2001,7,NPS,NA
2001,7,SPS,NA
2001,7,CWA,0.36158898
2001,7,CLW,0.495469293
2001,7,WA5,NA
2001,7,CLO,0.472266745
2001,7,TLA,0.489073461
2001,7,NPA,0.339706564
2001,7,CBA,0.333558086
2001,7,BRA,0.325587169
2001,7,OR1,NA
2001,7,CCA,0.444414161
2001,7,ERA,0.368464795
2001,7,BGA,0.254289808
2001,7,BDA,0.492963846
2001,7,SFA,0.569753535
2001,7,MNA,0.513154527
2001,7,MRA,0.517179561
2001,7,SBA,0.469579098
2001,7,LAA,0.487417733
2001,7,SDA,0.430642735
2001,7,CA2,NA
2001,8,NPS,NA
2001,8,SPS,NA
2001,8,CWA,0.502957517
2001,8,CLW,0.565573458
2001,8,WA5,NA
2001,8,CLO,0.564909843
2001,8,TLA,0.513359319
2001,8,NPA,0.378349001
2001,8,CBA,0.25752789
2001,8,BRA,0.298545455
2001,8,OR1,NA
2001,8,CCA,0.389133441
2001,8,ERA,0.324918328
2001,8,BGA,0.201203554
2001,8,BDA,0.535588416
2001,8,SFA,0.521235162
2001,8,MNA,0.544064234
2001,8,MRA,0.524843365
2001,8,SBA,0.375442689
2001,8,LAA,0.551971474
2001,8,SDA,0.433798163
2001,8,CA2,NA
2001,9,NPS,NA
2001,9,SPS,NA
2001,9,CWA,0.484892317
2001,9,CLW,0.454875484
2001,9,WA5,NA
2001,9,CLO,0.437047035
2001,9,TLA,0.317149563
2001,9,NPA,0.370249833
2001,9,CBA,0.184374539
2001,9,BRA,0.267730688
2001,9,OR1,NA
2001,9,CCA,0.397108941
2001,9,ERA,0.334636279
2001,9,BGA,0.200710984
2001,9,BDA,0.546066614
2001,9,SFA,0.647164255
2001,9,MNA,0.48631632
2001,9,MRA,0.398795998
2001,9,SBA,0.490180561
2001,9,LAA,0.521635744
2001,9,SDA,0.433239301
2001,9,CA2,NA
2001,10,NPS,NA
2001,10,SPS,NA
2001,10,CWA,0.48651598
2001,10,CLW,0.556873114
2001,10,WA5,NA
2001,10,CLO,0.542755795
2001,10,TLA,0.382645157
2001,10,NPA,0.409852901
2001,10,CBA,0.31554656
2001,10,BRA,0.315749103
2001,10,OR1,NA
2001,10,CCA,0.454604836
2001,10,ERA,0.403932125
2001,10,BGA,0.261190096
2001,10,BDA,0.449249358
2001,10,SFA,0.63141018
2001,10,MNA,0.360041348
2001,10,MRA,0.514502301
2001,10,SBA,0.516564531
2001,10,LAA,0.544485454
2001,10,SDA,0.397790273
2001,10,CA2,NA
2001,11,NPS,NA
2001,11,SPS,NA
2001,11,CWA,0.409601927
2001,11,CLW,0.535516993
2001,11,WA5,NA
2001,11,CLO,0.544922307
2001,11,TLA,0.299138655
2001,11,NPA,0.246180174
2001,11,CBA,0.247954152
2001,11,BRA,0.254495089
2001,11,OR1,NA
2001,11,CCA,0.371688694
2001,11,ERA,0.44332416
2001,11,BGA,0.364724084
2001,11,BDA,0.4784101
2001,11,SFA,0.649910982
2001,11,MNA,0.38890028
2001,11,MRA,0.48641854
2001,11,SBA,0.489603229
2001,11,LAA,0.547424095
2001,11,SDA,0.412257585
2001,11,CA2,NA
2001,12,NPS,NA
2001,12,SPS,NA
2001,12,CWA,NA
2001,12,CLW,0.363893867
2001,12,WA5,NA
2001,12,CLO,0.365900881
2001,12,TLA,0.152608715
2001,12,NPA,0.252152867
2001,12,CBA,0.232979234
2001,12,BRA,0.357121383
2001,12,OR1,NA
2001,12,CCA,0.36121258
2001,12,ERA,0.336789586
2001,12,BGA,0.321494708
2001,12,BDA,0.278623311
2001,12,SFA,0.588532232
2001,12,MNA,0.22896268
2001,12,MRA,0.305386293
2001,12,SBA,0.421466479
2001,12,LAA,0.480447034
2001,12,SDA,0.360212901
2001,12,CA2,NA
2002,1,NPS,NA
2002,1,SPS,NA
2002,1,CWA,0.200574395
2002,1,CLW,0.287881468
2002,1,WA5,NA
2002,1,CLO,0.297752332
2002,1,TLA,0.210902826
2002,1,NPA,0.16056958
2002,1,CBA,0.142961626
2002,1,BRA,0.161963697
2002,1,OR1,NA
2002,1,CCA,0.214382707
2002,1,ERA,0.204752829
2002,1,BGA,0.163869756
2002,1,BDA,0.210881354
2002,1,SFA,0.437422984
2002,1,MNA,0.160906029
2002,1,MRA,0.222542195
2002,1,SBA,0.288125867
2002,1,LAA,0.348559328
2002,1,SDA,0.248496016
2002,1,CA2,NA
2002,2,NPS,NA
2002,2,SPS,NA
2002,2,CWA,0.215625554
2002,2,CLW,0.241840449
2002,2,WA5,NA
2002,2,CLO,0.184943994
2002,2,TLA,0.188730594
2002,2,NPA,0.16523043
2002,2,CBA,0.13647695
2002,2,BRA,0.203402984
2002,2,OR1,NA
2002,2,CCA,0.317092241
2002,2,ERA,0.227623304
2002,2,BGA,0.191571186
2002,2,BDA,0.228445485
2002,2,SFA,0.474143167
2002,2,MNA,0.202025399
2002,2,MRA,0.202828377
2002,2,SBA,0.37351074
2002,2,LAA,0.392638651
2002,2,SDA,0.282575373
2002,2,CA2,NA
2002,3,NPS,NA
2002,3,SPS,NA
2002,3,CWA,0.239305448
2002,3,CLW,0.342617215
2002,3,WA5,NA
2002,3,CLO,0.303536881
2002,3,TLA,0.255702018
2002,3,NPA,0.169184468
2002,3,CBA,0.179975382
2002,3,BRA,0.131167622
2002,3,OR1,NA
2002,3,CCA,0.191153747
2002,3,ERA,0.193500466
2002,3,BGA,0.168540577
2002,3,BDA,0.232966436
2002,3,SFA,0.44560008
2002,3,MNA,0.272412895
2002,3,MRA,0.205511216
2002,3,SBA,0.33813976
2002,3,LAA,0.429486778
2002,3,SDA,0.304840664
2002,3,CA2,NA
2002,4,NPS,NA
2002,4,SPS,NA
2002,4,CWA,0.301765298
2002,4,CLW,0.433240574
2002,4,WA5,NA
2002,4,CLO,0.366864295
2002,4,TLA,0.301637685
2002,4,NPA,0.183913167
2002,4,CBA,0.224701767
2002,4,BRA,0.149707073
2002,4,OR1,NA
2002,4,CCA,0.262140821
2002,4,ERA,0.241846269
2002,4,BGA,0.184220391
2002,4,BDA,0.196021389
2002,4,SFA,0.472760102
2002,4,MNA,0.326110909
2002,4,MRA,0.183101614
2002,4,SBA,0.475645506
2002,4,LAA,0.380800718
2002,4,SDA,0.326308738
2002,4,CA2,NA
2002,5,NPS,NA
2002,5,SPS,NA
2002,5,CWA,0.419340586
2002,5,CLW,0.477199462
2002,5,WA5,NA
2002,5,CLO,0.452998081
2002,5,TLA,0.400873188
2002,5,NPA,0.349801006
2002,5,CBA,0.369425352
2002,5,BRA,0.331476205
2002,5,OR1,NA
2002,5,CCA,0.335693969
2002,5,ERA,0.406260952
2002,5,BGA,0.249151662
2002,5,BDA,0.272758855
2002,5,SFA,0.428092478
2002,5,MNA,0.370367406
2002,5,MRA,0.233292748
2002,5,SBA,0.472170143
2002,5,LAA,0.44545191
2002,5,SDA,0.323002493
2002,5,CA2,NA
2002,6,NPS,NA
2002,6,SPS,NA
2002,6,CWA,0.450155864
2002,6,CLW,0.531197765
2002,6,WA5,NA
2002,6,CLO,0.504563476
2002,6,TLA,0.406200777
2002,6,NPA,0.281280172
2002,6,CBA,0.25312083
2002,6,BRA,0.221615904
2002,6,OR1,NA
2002,6,CCA,0.303997251
2002,6,ERA,0.328179698
