year,month,port,SDM_60,SDM_90,SDM_120
2003,1,BRA,0.24017236409389048,0.18085645644325093,0.1441862842219002
2003,1,OR1,NA,NA,NA
2003,1,CCA,0.2506398247906545,0.1831287703148688,0.14386473758996204
2003,1,ERA,0.18521729637418063,0.14238611460881515,0.1147604451096218
2003,1,BGA,0.1940975304662941,0.14419762980814693,0.11231984500926011
2003,1,BDA,0.22294991103578427,0.18561349502833915,0.13543578528372896
2003,1,SFA,0.2659218974227697,0.1855952784078576,0.135463745031177
2003,1,MNA,0.11681907922096257,0.0902671079951282,0.0722958202339804
2003,1,MRA,0.1394536210747633,0.10497244211033947,0.08328513247665785
2003,1,SBA,0.13791223757109175,0.11126927679591941,0.09875706149108002
2003,1,LAA,0.07829993429742017,0.06661571468140742,0.06492212519322464
2003,1,SDA,0.07748085835034875,0.06176217536709054,0.05405027999505542
2003,1,CA2,NA,NA,NA
2003,2,NPS,NA,NA,NA
2003,2,SPS,NA,NA,NA
2003,2,CWA,0.5454510762081259,0.4136092875368821,0.3328557123041982
2003,2,CLW,0.6587199249860246,0.4638387796104602,0.34356447978178717
2003,2,WA5,NA,NA,NA
2003,2,CLO,0.647521024636392,0.4611604128635662,0.3439583422129232
2003,2,TLA,0.37012556536162416,0.3067887494302939,0.2681654824025639
2003,2,NPA,0.31614694331905674,0.23398153129767296,0.18949787453370723
2003,2,CBA,0.2541136903257496,0.19868592173095334,0.16405485788697888
2003,2,BRA,0.2332863349828028,0.18417241455077643,0.15045476038842964
2003,2,OR1,NA,NA,NA
2003,2,CCA,0.2613333962853361,0.20525255628789846,0.1609579491670645
2003,2,ERA,0.2561073522886326,0.20788039138259107,0.16018122297104218
2003,2,BGA,0.17677034610172823,0.15446084244096112,0.13218478717722537
2003,2,BDA,0.2808639013982087,0.24164817169739689,0.1828787843950411
2003,2,SFA,0.3860937530534858,0.2717202042842964,0.198181154206121
2003,2,MNA,0.19584634135324488,0.15180382468302445,0.12164927818381716
2003,2,MRA,0.18215958124879236,0.13380201952259793,0.10452445638963045
2003,2,SBA,0.1717264299957259,0.14465226664753103,0.12588721926879193
2003,2,LAA,0.08835931739465158,0.07747172415507926,0.07697502491627718
2003,2,SDA,0.0779775271416995,0.06329408197135207,0.05764993253363713
2003,2,CA2,NA,NA,NA
2003,3,NPS,NA,NA,NA
2003,3,SPS,NA,NA,NA
2003,3,CWA,0.5132996115344827,0.4002188205298397,0.3253432412620855
2003,3,CLW,0.6289073844567605,0.4394559177812563,0.3302133058924338
2003,3,WA5,NA,NA,NA
2003,3,CLO,0.620129993498703,0.437142929683129,0.33373970207831755
2003,3,TLA,0.39648073791890215,0.30221080708318765,0.25950350321684235
2003,3,NPA,0.3597546398461244,0.2626637027790947,0.20522516538111915
2003,3,CBA,0.2708589269665651,0.21000057006798944,0.173358399643424
2003,3,BRA,0.2160552270772492,0.1700786727151767,0.1386979215396168
2003,3,OR1,NA,NA,NA
2003,3,CCA,0.2368276520483964,0.18412570080005797,0.14791718160536158
2003,3,ERA,0.2613883029474764,0.2060583324906124,0.15927176556404302
2003,3,BGA,0.2637585534704148,0.21486754312962003,0.17738228611940363
2003,3,BDA,0.3831390798305525,0.32014171623231824,0.24740733533407924
2003,3,SFA,0.5477380919529998,0.3898271721991373,0.2906865927947699
2003,3,MNA,0.3530911381201754,0.26581051956023055,0.2060917582646288
2003,3,MRA,0.292058092464127,0.22029842257150106,0.1806383476572572
2003,3,SBA,0.30974719968814685,0.27558897139951066,0.2404190863506481
2003,3,LAA,0.1575880161739506,0.1414559868613581,0.1438714154454398
2003,3,SDA,0.1081906462365863,0.09238169477849911,0.08826958511180093
2003,3,CA2,NA,NA,NA
2003,4,NPS,NA,NA,NA
2003,4,SPS,NA,NA,NA
2003,4,CWA,0.42588467427260346,0.3245941918167006,0.2644506322306824
2003,4,CLW,0.5191881275050855,0.35362909146931004,0.2617758557033174
2003,4,WA5,NA,NA,NA
