year,month,port,SDM_60,SDM_90
2010,3,BRA,0.2258218028480875,0.17214026549889472
2010,3,OR1,NA,NA
2010,3,CCA,0.24132679646321542,0.19052096066427957
2010,3,ERA,0.27318048057818706,0.20177410391750195
2010,3,BGA,0.21432540960690027,0.17441916385736547
2010,3,BDA,0.309504148404569,0.24562368098963216
2010,3,SFA,0.4387980972326571,0.3164387457887225
2010,3,MNA,0.28674618121828516,0.21792467380275551
2010,3,MRA,0.22266912822555837,0.1788093558116611
2010,3,SBA,0.48042128691750186,0.41014647210025096
2010,3,LAA,0.4321535861160331,0.3631688289463535
2010,3,SDA,0.3138541729335525,0.261993187008691
2010,3,CA2,NA,NA
2010,4,NPS,NA,NA
2010,4,SPS,NA,NA
2010,4,CWA,0.2736590205960804,0.20837980935545522
2010,4,CLW,0.33232884401918716,0.2344511092752938
2010,4,WA5,NA,NA
2010,4,CLO,0.33113997571968606,0.23842940429470152
2010,4,TLA,0.21993253693147435,0.178251786109348
2010,4,NPA,0.21304117952746274,0.16113413582128044
2010,4,CBA,0.232763427480188,0.17066217151518578
2010,4,BRA,0.1991055850760751,0.15873979067846655
2010,4,OR1,NA,NA
2010,4,CCA,0.23089827125067594,0.1739691845480448
2010,4,ERA,0.23327654861770142,0.17942555272357835
2010,4,BGA,0.19301594017694393,0.1533262807320841
2010,4,BDA,0.30321912758374286,0.23747035918741927
2010,4,SFA,0.4818723126588499,0.34195380465024044
2010,4,MNA,0.3375740570694576,0.25901521241008224
2010,4,MRA,0.30464518300073895,0.2436393437466838
2010,4,SBA,0.4559352778829634,0.38140039785089447
2010,4,LAA,0.3864818790306648,0.3272222388447739
2010,4,SDA,0.28551890437287847,0.24696686832610704
2010,4,CA2,NA,NA
2010,5,NPS,NA,NA
2010,5,SPS,NA,NA
2010,5,CWA,0.4017514766223969,0.30739362659329666
2010,5,CLW,0.4463302003676563,0.3328244664391495
2010,5,WA5,NA,NA
2010,5,CLO,0.4376177383578181,0.33217593756315905
2010,5,TLA,0.2895076293527828,0.23543319791727824
2010,5,NPA,0.2868129821951234,0.21320962313556135
2010,5,CBA,0.2555659710998512,0.20651730754307349
2010,5,BRA,0.2276291749386832,0.19135617888546982
2010,5,OR1,NA,NA
2010,5,CCA,0.2707592410556007,0.21254818745410398
2010,5,ERA,0.2841441053068379,0.215566719867822
2010,5,BGA,0.21048152517847796,0.16354547893011237
2010,5,BDA,0.2069247719033965,0.1735762821178227
2010,5,SFA,0.38831324026030994,0.26584996131038474
2010,5,MNA,0.26164687209926196,0.19575541073373917
2010,5,MRA,0.1570820424526714,0.12356745935266406
2010,5,SBA,0.5243153282571383,0.4134875547628588
2010,5,LAA,0.37637078816325065,0.31746642021871563
2010,5,SDA,0.34017441492192074,0.2877232089131533
2010,5,CA2,NA,NA
2010,6,NPS,NA,NA
2010,6,SPS,NA,NA
2010,6,CWA,0.3654515215191576,0.2795036198379694
2010,6,CLW,0.46027088184599524,0.33644064039324867
2010,6,WA5,NA,NA
2010,6,CLO,0.4725908239416423,0.3443354445448465
2010,6,TLA,0.33501052987135826,0.2637023671903616
2010,6,NPA,0.27065619648518885,0.22126750693371233
2010,6,CBA,0.2719368168896941,0.2120608280705804
2010,6,BRA,0.22685133350051698,0.19240543303466892
2010,6,OR1,NA,NA
2010,6,CCA,0.29170086454661165,0.22931451136867206
2010,6,ERA,0.34958834544509304,0.2473793610084604
2010,6,BGA,0.15331407610016565,0.12183256089343981
2010,6,BDA,0.21301997483328536,0.17294859009084212
2010,6,SFA,0.4184873650909639,0.28775544225134786
2010,6,MNA,0.30106888851955715,0.2229410677180115
2010,6,MRA,0.23737184165337052,0.19051344878745802
2010,6,SBA,0.4679468312714663,0.39354690743086773
2010,6,LAA,0.38213070316981246,0.31832757389803573
2010,6,SDA,0.29190779082348633,0.25270808197174294
2010,6,CA2,NA,NA
2010,7,NPS,NA,NA
2010,7,SPS,NA,NA
2010,7,CWA,0.3829509676656415,0.2921061651853155
2010,7,CLW,0.37282888911363105,0.3113497292440926
2010,7,WA5,NA,NA
