"asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_nanc","theta_psdn","asc_no_participation","logLike"
-3.66544043547132,-1.36694026913609,-1.76752916921763,-1.94367160554501,-3.6711605622148,-4.44062169670836,-1.4359749687563,-4.93264939233618,-3.88453538218782,-3.7106802577412,3.95774140479437,10.001045028519,1.48930256467931,0,-2814.73238724144
-3.71551299772598,-1.35451551236237,-1.76610624341362,-1.95783182536758,-3.68512154386875,-4.46866415551945,-1.42587017493615,-5.09136340799774,-3.81849631403393,-4.00466866422938,3.84489621550811,10.0010607986814,1.55397715388334,0,-2811.28014748712
-3.50181701603333,-1.42820661792155,-1.81104566080019,-1.8318336172601,-3.52040292315779,-4.11882110486455,-1.4277845264701,-4.92605693807453,-4.39625605355563,-4.49208040615181,4.11581133478565,10.0016937400623,1.55364225283147,0,-2801.07560436935
-3.6127916265118,-1.40416596717278,-1.81846561680272,-1.86543614893612,-3.54592460276395,-4.13205145254805,-1.41993284930377,-5.15619615938926,-4.45708897588315,-4.58012259898971,3.8898741955795,10.0018560413917,1.6798262338229,0,-2800.13308371151
-3.69599752665546,-1.40869195385947,-1.82775972530271,-1.88677752011076,-3.54754499780875,-4.12122137803507,-1.41669216740451,-5.21074318850901,-4.49799991931814,-4.63788439011841,3.73466424152544,10.0020617944022,1.79608802525038,0,-2799.83365043053
-3.91944194629701,-1.42327504852305,-1.86292189756731,-1.93599300458876,-3.52903271415384,-4.07641482942934,-1.40546213086246,-5.28109876532984,-4.57361745027919,-4.74997547282535,3.23646296368719,10.0027417080127,2.17559091365731,0,-2799.12219126681
-3.99419918764396,-1.42463423821421,-1.86934755599357,-1.94671754338164,-3.51230513289734,-4.05068276837707,-1.40115538572377,-5.28830916227769,-4.59447957370587,-4.78186129928086,3.01718804878054,10.003020017418,2.32981970216861,0,-2798.79420395688
-4.14213115922681,-1.41876852767166,-1.87051801791562,-1.95528141421749,-3.45693365271019,-3.97274407501116,-1.38957825553167,-5.27235164438675,-4.63639207281823,-4.84541099072767,2.47147683075424,10.0036832682361,2.68941987585618,0,-2798.00074315315
-4.26772542414309,-1.38757935215014,-1.82889576771832,-1.91517324221499,-3.31875367540008,-3.78572572120269,-1.37835352831541,-5.1115490751258,-4.6911801172123,-4.92215711453166,1.67988993424964,10.0046073955055,3.17184447701722,0,-2797.94927718699
-4.11659377964164,-1.37817918532109,-1.792494226811,-1.85952859535847,-3.2679540583481,-3.72095915398209,-1.39629287942661,-4.89378606316732,-4.66258044450367,-4.87189542397413,1.93851845787234,10.0042958650028,3.01359352677223,0,-2794.89161564322
-3.95293440566965,-1.33509754839408,-1.73088378431915,-1.76171567089855,-3.12582852344614,-3.56385838247625,-1.33708130637876,-4.5039518345957,-4.60498996775839,-4.78704359578206,1.62135494415413,10.0045366879108,3.20654201526495,0,-2791.3590487855
