"asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_laa","theta_sba","theta_mna","asc_no_participation","logLike"
-2.98978567690174,-4.04350743268042,-4.83140880729189,-4.29138798866129,-2.48465775302368,-5.56237164758867,-1.85887476630796,-4.0663507829927,-3.28887020230961,-3.58916846503357,-4.29138798866129,-5.2803267618694,-1.90249576700191,-2.90023194112239,2.0184432066613,9.99964377870215,0.695550929085518,9.99911129357917,0,-2419.47116143101
-3.0580238163094,-4.31333145506724,-4.7662395663732,-4.29204848558842,-2.48412402679439,-5.54275138019664,-1.86444605276479,-4.05175543352838,-3.15087672102123,-3.51565718760282,-4.29204848558842,-5.22804268217875,-1.90947155306814,-2.95637048288659,2.01020428020274,9.99964824534867,0.723116287371438,9.99900573535836,0,-2416.22451784089
-3.09896699864064,-4.26918318759256,-4.6346034572556,-4.74347469400039,-2.49152255303743,-5.08348544313377,-1.87424437179036,-4.14083900236111,-3.13533661773444,-3.54043740746747,-4.7434746940004,-4.7904243543303,-1.96758655986508,-2.99555871950763,2.02798575436177,9.99969244207047,1.05727883917416,9.99891063853944,0,-2413.57928823735
-3.2249760593879,-4.32074611448073,-4.87097318642362,-4.69279703451626,-2.49823199608457,-4.89685848965055,-1.88330016474564,-4.13186242088345,-3.16604117883164,-3.55310566177573,-4.69279703451626,-4.83384829402349,-1.99296543048268,-2.99904206701494,2.0353884411033,9.99970826042859,1.24023895959727,9.99895611110217,0,-2411.98395529924
-3.23936489236511,-4.32736859069577,-4.84908523843972,-4.68875383618557,-2.49853976551212,-4.92272597945385,-1.88543914084977,-4.08517625511109,-3.14870049234931,-3.61391531100251,-4.68875383618558,-4.85469264928008,-1.99492741518391,-3.01112923834851,2.03613792800056,9.99971807062514,1.26444759734679,9.99896818133903,0,-2411.64421713763
-3.2827540609856,-4.34115361380141,-4.77399634595308,-4.68807624070534,-2.4993167303932,-4.99601553366879,-1.88835801936221,-4.08011187638579,-3.165597299861,-3.59658696683888,-4.6880762019592,-4.87929183494685,-1.9938932447485,-3.00361111624953,2.03600193564329,9.99974199073971,1.28063986357575,9.99898579187314,0,-2411.22950724556
-3.31154268104407,-4.35880339674357,-4.78692198541511,-4.67058009512373,-2.49504135265119,-5.01319079253241,-1.88982050964743,-4.0401179741655,-3.15561961095392,-3.59317035624934,-4.67058028912542,-4.82029702777503,-1.98107213353252,-2.99879163423631,2.03771961684314,9.99974498203969,1.2458919712489,9.99901106907903,0,-2410.9427910763
-3.34602440977602,-4.3879476115024,-4.73535278861582,-4.65742162530871,-2.49173136443197,-4.9536357793138,-1.89572324298563,-3.99728102509834,-3.14694967863265,-3.5888177220368,-4.65742159769277,-4.92194979833785,-1.98614144947935,-2.99451165662894,2.03928595578156,9.99975675681807,1.30450828684918,9.99902532842511,0,-2410.70542579474
-3.37016370587463,-4.41233833368915,-4.75277273630093,-4.64366829690059,-2.49282943966315,-5.01741932278759,-1.90411818897647,-3.9771201678068,-3.14765164373344,-3.59105833569869,-4.64366801290798,-4.91139247617619,-2.00652776066457,-2.99488821497749,2.03855543560589,9.99976354978105,1.43007646556577,9.99904739807166,0,-2410.5812956414
-3.42098739473421,-4.45022887466994,-4.7478516412221,-4.62775866249935,-2.49388088100015,-5.03454838402117,-1.92555843404737,-3.93103141367476,-3.14969619227462,-3.58966187085779,-4.62776266628529,-4.88273181274774,-2.01420643496753,-2.99504416277372,2.03849120563156,9.99982887291481,1.61939408655172,9.99910314879433,0,-2410.46346934227
