"asc_mna_msqd","asc_sba_msqd","asc_mra_msqd","asc_laa_msqd","asc_npa_msqd","asc_sfa_msqd","asc_cba_msqd","asc_laa_psdn","asc_clo_psdn","asc_cwa_psdn","asc_clw_psdn","asc_sba_cmck","asc_laa_cmck","asc_laa_nanc","asc_cwa_albc","asc_cwa_dcrb","asc_clw_dcrb","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_part_crab","asc_no_participation","logLike"
-2.06866637827114,-0.739871079183051,-4.28643900351423,-1.83908329633042,-5.45472213263375,-4.55739411944172,-3.39456113655237,-4.30728985842993,-1.08449287084254,-1.5553170360778,-2.73210441444506,-5.9009782487037,-2.82934825073876,-5.65048353771706,-4.98800675673749,-6.00963153958741,-3.80875041831593,24.4584229000314,10.0002529377557,9.99474941429234,0.980872501912206,10.0003066787118,0,-7810.94618634885
-2.41381685594189,-0.931906147296473,-4.43550232661457,-2.21541322254075,-5.82675373534176,-5.25814585671296,-3.17630458779534,-4.60082696026755,-1.29103680960492,-1.88412053488079,-3.04923426412539,-6.46922939269924,-2.92230176596065,-4.83710135557177,-5.01498944702542,-7.15166291948861,-5.44298972535434,25.2115202567654,10.0002143890849,9.9920361436786,0.84828867206655,10.0002638789786,0,-7643.8272587972
-2.39671910317499,-1.01620694937068,-4.3958291490856,-2.32085884064055,-5.84942277662638,-5.13070499191525,-3.39144564819947,-3.63412352516238,-1.38659418745026,-1.9862736479649,-2.9938068281003,-6.45835368381285,-3.17718108351528,-4.74899659109373,-4.5774929904538,-7.3582887774172,-5.12534511638936,25.8322231572217,10.0002624663329,9.99157241091186,0.72879100158227,10.0002953661269,0,-7497.17088832977
-2.40771343788845,-1.08325190262168,-4.42617108599147,-2.40383979881176,-5.32511027296121,-4.94799725211434,-3.56368925688665,-3.91273584316485,-1.46221141278282,-2.0663725594727,-2.89668302548871,-5.59895266433168,-3.27253020341408,-5.08227999826518,-4.79165635320294,-6.42851413113083,-5.16000938404562,26.1498745058282,10.0003899628088,9.99309507674298,0.624779543069042,10.0004616712733,0,-7382.92906325983
-2.35976295866463,-1.11479890741968,-4.83809768824619,-2.44157438830864,-5.7651414224022,-4.74697507673952,-3.58798180835323,-3.78666602959559,-1.49920655158965,-2.10122591237181,-2.79115481851847,-5.70548794240488,-3.3489790085938,-4.95186277590567,-4.83528436408696,-5.34888400763767,-5.22049452610493,26.2364956471224,10.0002951457073,9.99406445062419,0.554131194637101,10.0005467054485,0,-7323.13042108097
-2.6322120718436,-1.30958429788305,-2.85719715643916,-2.73691891750649,-6.5509157586432,-4.0503713805361,-4.2098560040042,-2.92670108204098,-1.72234265366677,-2.35164953392201,-2.5102955494621,-6.43218301652689,-3.94527435438188,-5.33564926839646,-6.3579995317427,-4.35042299731018,-4.9048697733024,27.1050005354126,9.99951180323505,10.0038468378398,0.167419726343891,10.0006069649099,0,-7250.28198217139
-2.78518576168008,-1.40266044079176,-3.29331642392276,-2.88793335707258,-6.38379721636236,-3.74906577941356,-4.50394444024686,-3.03295988446501,-1.82838051681219,-2.47917481252755,-2.41488572046995,-6.4869116755779,-4.20180273720778,-5.60589290948127,-5.67903154676892,-4.64004351620895,-4.60747935079151,27.4785920645442,9.9991386504232,10.0096352122294,-0.00991742137504045,10.0005899651001,0,-7138.0916940413
-2.33746027562368,-1.73321710174811,-4.3406014113979,-3.35345182822364,-5.28005654523683,-4.31875923224771,-4.73969226874261,-3.69480757752903,-2.19949165165505,-2.82941984223458,-3.24106730373895,-3.54573472921648,-4.45780126931843,-5.25789061315813,-3.65081903638189,-4.92380861814854,-4.26075017899682,29.2346943530412,9.99843789981299,9.98462165543556,-0.140013976991534,9.99958871764699,0,-7127.0117989067
-2.31494766410228,-1.75153391213735,-4.45831521016686,-3.38150204972256,-4.71680135945245,-4.35266221543115,-4.76492791047116,-3.74747377470846,-2.22067776440687,-2.8498727915151,-3.29605727498347,-4.12943890035586,-4.51113586210421,-5.17523317294642,-3.64169362401055,-4.79999940407709,-4.28792122079728,29.2924644943527,9.99844985338153,9.98410168909735,-0.137445788356739,9.9995396661985,0,-7104.29524535081
-2.42959680862138,-1.72679841258965,-4.53709436234835,-3.3805079572186,-6.04504377205606,-4.38376120406866,-4.93323657278153,-3.92969510595111,-2.19868407822695,-2.84512994389011,-3.31926276656801,-4.64083328174297,-4.66368256876991,-5.43155557665311,-4.32187042481727,-5.00094452418661,-4.52054265918433,28.8435594596364,9.99862211645065,9.99168373711749,-0.0613481425828703,9.99950313075549,0,-7042.75621443217
